gene	cluster
Akr1b7	A_Enterocyte
Aldh1a1	A_Enterocyte
Apoa1	A_Enterocyte
Apoa4	A_Enterocyte
Gm3776	A_Enterocyte
Gsta1	A_Enterocyte
Mep1b	A_Enterocyte
Rbp2	A_Enterocyte
Reg1	A_Enterocyte
Reg3a	A_Enterocyte
Alpi	B_Late_Enterocytes_Prog
Apol10a	B_Late_Enterocytes_Prog
Cdkn2b	B_Late_Enterocytes_Prog
Chp2	B_Late_Enterocytes_Prog
Fam3b	B_Late_Enterocytes_Prog
Lgals3	B_Late_Enterocytes_Prog
Slc13a1	B_Late_Enterocytes_Prog
Slc26a6	B_Late_Enterocytes_Prog
Slc40a1	B_Late_Enterocytes_Prog
St3gal4	B_Late_Enterocytes_Prog
Aurka	C_Early_Enterocytes_Prog
Birc5	C_Early_Enterocytes_Prog
Cdc20	C_Early_Enterocytes_Prog
Cdkn2d	C_Early_Enterocytes_Prog
Cdkn3	C_Early_Enterocytes_Prog
Dlgap5	C_Early_Enterocytes_Prog
Hmmr	C_Early_Enterocytes_Prog
Nek2	C_Early_Enterocytes_Prog
Rbp7	C_Early_Enterocytes_Prog
Rrm2	C_Early_Enterocytes_Prog
Ankle1	D_TA
Aurkb	D_TA
Esco2	D_TA
Hist1h1b	D_TA
Hist1h2ap	D_TA
Mis18bp1	D_TA
Mns1	D_TA
Neil3	D_TA
Pbk	D_TA
Top2a	D_TA
Acot1	E_Stem
Afap1l1	E_Stem
Cyp2e1	E_Stem
Gkn3	E_Stem
Lgr5	E_Stem
Nrn1	E_Stem
Olfm4	E_Stem
Rgcc	E_Stem
Sfrp5	E_Stem
Sp5	E_Stem
Abhd2	F_Secretory_precursos
Fn3krp	F_Secretory_precursos
Gkn2	F_Secretory_precursos
Gm45123	F_Secretory_precursos
Hsf2	F_Secretory_precursos
Notch2	F_Secretory_precursos
Rpgrip1	F_Secretory_precursos
Slc24a5	F_Secretory_precursos
Slc39a1	F_Secretory_precursos
Tff1	F_Secretory_precursos
Agr2	G_Goblet
Ccl9	G_Goblet
Clca1	G_Goblet
Fcgbp	G_Goblet
Guca2a	G_Goblet
Muc2	G_Goblet
Rep15	G_Goblet
Tff3	G_Goblet
Tpsg1	G_Goblet
Zg16	G_Goblet
AY761184	H_Paneth
Defa23	H_Paneth
Defa24	H_Paneth
Defa26	H_Paneth
Defa27	H_Paneth
Defa29	H_Paneth
Defa30	H_Paneth
Gm14851	H_Paneth
Gm15292	H_Paneth
Gm7849	H_Paneth
Aplp1	I_Enteroendocrine
Cck	I_Enteroendocrine
Chgb	I_Enteroendocrine
Cpe	I_Enteroendocrine
Gfra3	I_Enteroendocrine
Hmgn3	I_Enteroendocrine
Isl1	I_Enteroendocrine
Neurod1	I_Enteroendocrine
Pcsk1	I_Enteroendocrine
Rbp4	I_Enteroendocrine
Alox5ap	J_Tuft
Avil	J_Tuft
Dclk1	J_Tuft
Hck	J_Tuft
Hpgds	J_Tuft
Kctd12	J_Tuft
Lrmp	J_Tuft
Ltc4s	J_Tuft
Rgs13	J_Tuft
Sh2d6	J_Tuft
