CellType,Gene
Enterocyte,Treh
Enterocyte,Lct
Enterocyte,Fabp1
Enterocyte,Apoa4
Enterocyte,Apoa1
Enterocyte,Alpi
Enteroendocrine,Vgf
Enteroendocrine,Ucn3
Enteroendocrine,Tph1
Enteroendocrine,Tac1
Enteroendocrine,Reg4
Enteroendocrine,Pappa2
Enteroendocrine,Neurog3
Enteroendocrine,Chgb
Enteroendocrine,Chga
Enteroendocrine,Afp
ENTEROENDOCRINE_precursor,Pax4
ENTEROENDOCRINE_precursor,Krt7
Goblet,Tff3
Goblet,Spdef
Goblet,Muc2
Goblet,Fcgbp
Goblet,Clca3
Goblet,Agr2
Paneth,Lyz1
Paneth,Itln1
Paneth,Defa5
Paneth,Defa24
Paneth,Defa22
Paneth,Defa17
Paneth,Ang4
Proliferating cells,Mki67
Stem,Smoc2
Stem,Slc12a2
Stem,Olfm4
Stem,Lgr5
Stem,Kcnq1
Stem,Gkn3
Stem,Clca4
Stem,Cdca7
Stem,Axin2
Stem,Ascl2
Tuft,Trpm5
Tuft,Krt18
Tuft,Il25
Tuft,Gfi1b
Tuft,Dclk1
Tuft,Cd24a
