Cluster,GeneSymbol
Early_Enterocytes_Progenitors,Rbp7
Early_Enterocytes_Progenitors,Cdc20
Early_Enterocytes_Progenitors,Nek2
Early_Enterocytes_Progenitors,Cdkn2d
Early_Enterocytes_Progenitors,Aurka
Early_Enterocytes_Progenitors,Birc5
Early_Enterocytes_Progenitors,Hmmr
Early_Enterocytes_Progenitors,Rrm2
Early_Enterocytes_Progenitors,Dlgap5
Early_Enterocytes_Progenitors,Cdkn3
Early_Enterocytes_Progenitors,Ccna2
Early_Enterocytes_Progenitors,Lrr1
Early_Enterocytes_Progenitors,1700025G04Rik
Early_Enterocytes_Progenitors,Anln
Early_Enterocytes_Progenitors,Ccnb1
Early_Enterocytes_Progenitors,Foxm1
Early_Enterocytes_Progenitors,Cenpa
Early_Enterocytes_Progenitors,Arhgap19
Early_Enterocytes_Progenitors,Cdca3
Early_Enterocytes_Progenitors,Lmna
Early_Enterocytes_Progenitors,1810065E05Rik
Early_Enterocytes_Progenitors,Fam83d
Early_Enterocytes_Progenitors,Plk1
Early_Enterocytes_Progenitors,Kif22
Early_Enterocytes_Progenitors,Cenpe
Early_Enterocytes_Progenitors,E2f8
Early_Enterocytes_Progenitors,Kif23
Early_Enterocytes_Progenitors,Gjb3
Early_Enterocytes_Progenitors,Cep55
Early_Enterocytes_Progenitors,Gsdmc4
Enterocyte,Apoa1
Enterocyte,Gm3776
Enterocyte,Gsta1
Enterocyte,Apoa4
Enterocyte,Reg3a
Enterocyte,Mep1b
Enterocyte,Reg1
Enterocyte,Akr1b7
Enterocyte,Aldh1a1
Enterocyte,Rbp2
Enterocyte,Cyp3a11
Enterocyte,Papss2
Enterocyte,Ace2
Enterocyte,Dpep1
Enterocyte,Hsd17b6
Enterocyte,Gda
Enterocyte,Il18
Enterocyte,Apoc3
Enterocyte,Slc51b
Enterocyte,Fabp1
Enterocyte,Spink1
Enterocyte,Cyp2c66
Enterocyte,Cyp3a13
Enterocyte,Anpep
Enterocyte,Creb3l3
Enterocyte,2010106E10Rik
Enterocyte,Sis
Enterocyte,Nat8
Enterocyte,Ugt2b5
Enterocyte,Enpep
Enterocyte,Gsta4
Enterocyte,Clec2h
Enterocyte,Reg3b
Enterocyte,Cyp2d26
Enterocyte,Adh6a
Enterocyte,Krt20
Enterocyte,Sult6b2
Enterocyte,Slc6a20a
Enterocyte,Gstm3
Enterocyte,Fmo5
Enterocyte,Alpi
Enterocyte,Ces2c
Enterocyte,Mogat2
Enterocyte,Clic5
Enterocyte,Slc13a1
Enterocyte,Cox7a1
Enterocyte,Mme
Enterocyte,Ms4a18
Enterocyte,Slc51a
Enterocyte,Apob
Enterocyte,S100g
Enterocyte,Cyp4f14
Enterocyte,BC025446
Enterocyte,Gpt
Enterocyte,Rdh7
Enterocyte,Slc43a2
Enterocyte,Ces2a
Enterocyte,Slc25a45
Enterocyte,Slc27a4
Enterocyte,Rhoc
Enterocyte,Reg3g
Enterocyte,Cyp2c68
Enterocyte,Exoc3l4
Enterocyte,Maob
Enterocyte,Mpp1
Enterocyte,Ces1f
Enterocyte,Gde1
Enterocyte,Dgat2
Enterocyte,St3gal4
Enterocyte,Mttp
Enterocyte,Naaladl1
Enterocyte,Slc26a6
Enterocyte,Gchfr
Enterocyte,Maf
Enterocyte,Ces2e
Enterocyte,Slc7a9
Enterocyte,Slc5a1
Enterocyte,Xdh
Enterocyte,Hkdc1
Enterocyte,Fabp2
Enterocyte,Plpp1
Enterocyte,Guca2b
Enterocyte,Abcc2
Enterocyte,Ugt2b36
Enterocyte,Cyp2c65
Enterocyte,Ms4a10
Enterocyte,Erich4
Enterocyte,Abcg8
Enterocyte,Fam3b
Enterocyte,Sult1b1
Enterocyte,Gsdmd
Enterocyte,Nr1i3
Enterocyte,Soat2
Enterocyte,Npc1l1
Enterocyte,Ugt2a3
Enterocyte,Slc26a3
Enterocyte,Sult2b1
Enterocyte,Nat8f4
Enterocyte,Tubal3
Enterocyte,Apol10a
Enterocyte,Cst6
Enterocyte,Cideb
Enterocyte,2200002D01Rik
Enterocyte,H2-Q2
Enterocyte,Chp2
Enterocyte,Btnl1
Enterocyte,Acox1
Enterocyte,Smlr1
Enterocyte,Tm6sf2
Enterocyte,Tmem139
Enterocyte,Khk
Enterocyte,Car4
Enterocyte,RP23-383B20.1
Enterocyte,Cdkn2b
Enterocyte,Selenop
Enterocyte,Gstm4
Enterocyte,Cndp2
Enterocyte,Acad11
Enterocyte,Arg2
Enterocyte,Myo15b
Enterocyte,Gstm1
Enterocyte,Mall
Enterocyte,Efnb2
Enterocyte,Mical1
Enterocyte,Tgfbi
Enterocyte,Slc3a1
Enterocyte,Abcg5
Enterocyte,Myo5b
Enterocyte,Bche
Enterocyte,Slc7a7
Enterocyte,Cdhr5
Enterocyte,Slc40a1
Enterocyte,Agmo
Enterocyte,Cgref1
Enterocyte,Tmem120a
Enterocyte,Cyp4v3
Enterocyte,Plac8
Enterocyte,Ces1g
Enterocyte,Hsd17b2
Enterocyte,Dgat1
Enterocyte,Pccb
Enterocyte,Sec23a
Enterocyte,Ifi27l2b
Enterocyte,Ppargc1a
Enterocyte,Pla2g12b
Enterocyte,Gstm6
Enterocyte,Sgpl1
Enterocyte,Heph
Enterocyte,Pls1
Enterocyte,Iqgap2
Enterocyte,Upp1
Enterocyte,Entpd5
Enterocyte,Fam213a
Enterocyte,Emc9
Enterocyte,Akr1b8
Enterocyte,Akr1c19
Enterocyte,AA467197
Enterocyte,Acsl5
Enterocyte,Dhrs1
Enterocyte,Acbd4
Enterocyte,Gpd1
Enterocyte,Ms4a8a
Enterocyte,Lgals3
Enterocyte,Idh1
Enterocyte,Ckmt1
Enterocyte,Adh1
Enterocyte,Tmem252
Enterocyte,Tmem236
Enterocyte,Cbr1
Enterocyte,Muc3
Enterocyte,Tmem106a
Enterocyte,Aldob
Enterocyte,Maoa
Enterocyte,Hsd17b13
Enterocyte,Cmbl
Enterocyte,Cobl
Enterocyte,Abhd3
Enterocyte,Sec24d
Enterocyte,Tmem37
Enterocyte,Ephx2
Enterocyte,2210407C18Rik
Enterocyte,Cyb5r3
Enterocyte,Tmem253
Enterocyte,Tm4sf5
Enterocyte,Cyp2j6
Enterocyte,Gstk1
Enterocyte,Aldh3b1
Enterocyte,Ugdh
Enterocyte,Agpat2
Enterocyte,Mgst2
Enterocyte,Dpyd
Enterocyte,Espn
Enterocyte,Anxa13
Enterocyte,Lpgat1
Enterocyte,Smim24
Enterocyte,Cda
Enterocyte,Fahd1
Enterocyte,Trim31
Enterocyte,Tmc5
Enterocyte,Nat8f1
Enterocyte,Abcb1a
Enterocyte,Myo1a
Enterocyte,Slc35f5
Enterocyte,Pklr
Enterocyte,Tkfc
Enterocyte,Dst
Enterocyte,Ugt2b34
Enterocyte,Ypel2
Enterocyte,Dhrs11
Enterocyte,Agpat9
Enterocyte,Abhd6
Enterocyte,Mylk
Enterocyte,Slc9a3r1
Enterocyte,Ces2g
Enterocyte,Gna11
Enterocyte,Slc22a18
Enterocyte,Mgam
Enterocyte,Eps8l2
Enterocyte,Mical2
Enterocyte,Stap2
Enterocyte,Adipor2
Enterocyte,Ccl25
Enterocyte,Edn2
Enterocyte,Scoc
Enterocyte,Myh14
Enterocyte,Tstd3
Enterocyte,Pfkp
Enterocyte,Sdcbp2
Enterocyte,Scp2
Enterocyte,Hagh
Enterocyte,Aadac
Enterocyte,Coro2a
Enterocyte,Bpnt1
Enterocyte,Mertk
Enterocyte,Tcn2
