"","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj","source_1","source_2","source_3"
"1","AA467197",9.28e-12,-0.172021829,0.086,0.241,1.71e-07,NA,NA,NA
"2","Aadac",2.65e-10,0.22131023,0.745,0.638,4.87e-06,NA,NA,NA
"3","Acaa2",2.39e-24,0.337262684,0.942,0.869,4.4e-20,NA,NA,NA
"4","Acadvl",5.83e-07,0.182393686,0.769,0.705,0.010742929,NA,NA,NA
"5","Acot1",4.73e-18,0.36000059,0.667,0.432,8.72e-14,"dresden.E_Stem","Haber_Stem",NA
"6","Adh1",1.61e-06,0.246905803,0.526,0.402,0.029751415,NA,"Haber_Tuft",NA
"7","Ahsa1",1.39e-07,0.156469603,0.929,0.925,0.002553631,NA,NA,NA
"8","Akr1a1",1.22e-09,-0.129963234,0.998,1,2.25e-05,NA,NA,NA
"9","Akr1c19",1.14e-09,0.190238006,0.343,0.172,2.11e-05,NA,NA,NA
"10","Amn",7.97e-10,0.193470892,0.455,0.273,1.47e-05,NA,"Haber_EC",NA
"11","Anxa4",2.03e-06,-0.135492491,0.947,0.979,0.037391107,NA,NA,NA
"12","Apobec3",1.2e-07,-0.246459592,0.507,0.643,0.002204092,NA,NA,NA
"13","Aqp1",1.73e-09,0.212194628,0.787,0.673,3.18e-05,NA,"Haber_Stem",NA
"14","Arg2",1.5e-18,0.389298952,0.595,0.346,2.77e-14,NA,"Kim_P1",NA
"15","Atp1b1",5.72e-14,0.226301364,0.992,0.973,1.05e-09,NA,NA,NA
"16","AW112010",1.02e-55,-0.613720175,0.211,0.668,1.88e-51,NA,"Haber_Gob",NA
"17","B2m",1.23e-93,-0.581448533,1,1,2.26e-89,NA,NA,NA
"18","Bag1",7.89e-10,-0.193984035,0.764,0.89,1.45e-05,NA,NA,NA
"19","Barx2",2.89e-11,-0.161566738,0.153,0.34,5.33e-07,NA,NA,NA
"20","Bin1",5.21e-09,0.118926537,0.188,0.056,9.6e-05,NA,NA,NA
"21","Bsg",1.77e-06,0.11231585,1,1,0.032662542,NA,NA,NA
"22","Btg1",2.31e-09,-0.21837479,0.593,0.735,4.26e-05,NA,NA,NA
"23","Calml4",1.8e-08,0.171152305,0.982,0.954,0.000331946,NA,NA,NA
"24","Car4",1.84e-06,0.18743266,0.252,0.137,0.0339122,NA,NA,NA
"25","Casp1",7.4e-07,-0.156977407,0.685,0.804,0.013639132,NA,NA,NA
"26","Casp12",1.76e-16,-0.127252074,0.026,0.177,3.24e-12,NA,"Kim_P2",NA
"27","Casp4",3.36e-12,-0.175952134,0.138,0.327,6.19e-08,NA,NA,NA
"28","Cast",1.87e-10,-0.190869545,0.277,0.477,3.44e-06,NA,NA,NA
"29","Ccl25",4.56e-14,0.229784543,0.972,0.944,8.41e-10,NA,NA,NA
"30","Ccnd2",2.13e-15,0.320825443,0.97,0.962,3.93e-11,NA,NA,"Cell Cycle"
"31","Cd14",4.07e-35,-0.395976429,0.199,0.568,7.5e-31,NA,"Kim_P2",NA
"32","Cd177",2.05e-17,-0.207839227,0.089,0.3,3.77e-13,NA,NA,NA
"33","Cd302",2.52e-06,-0.178114589,0.614,0.732,0.046359476,NA,NA,NA
"34","Cd63",2.16e-12,0.196228845,0.98,0.976,3.98e-08,NA,NA,NA
"35","Cd74",3.27e-199,-3.609729288,0.002,1,6.03e-195,NA,NA,NA
"36","Cd9",3.8e-08,-0.20405061,0.811,0.895,0.000701005,NA,"Kim_P1",NA
"37","Cd9",3.8e-08,-0.20405061,0.811,0.895,0.000701005,NA,"Kim_Ent_Prec",NA
"38","Cda",1.08e-07,0.185692618,0.75,0.643,0.001990545,NA,NA,NA
"39","Cdx2",2.89e-10,-0.22378315,0.763,0.887,5.32e-06,NA,NA,NA
"40","Ceacam10",8.96e-98,-1.096633852,0.488,0.96,1.65e-93,NA,NA,NA
"41","Cebpd",1.01e-21,-0.360125511,0.267,0.547,1.86e-17,NA,NA,NA
"42","Ces2a",9e-09,0.17740665,0.438,0.257,0.000165877,NA,NA,NA
"43","Ciita",8.77e-18,-0.117496189,0.007,0.137,1.62e-13,NA,NA,NA
"44","Clca3a2",2.06e-13,-0.24255873,0.318,0.55,3.79e-09,NA,NA,NA
"45","Clca3b",3.98e-11,-0.167157446,0.995,1,7.34e-07,NA,NA,NA
"46","Clic1",4.42e-08,-0.189830088,0.89,0.933,0.000815154,NA,NA,NA
"47","Cmbl",3.44e-09,0.195501312,0.45,0.298,6.34e-05,NA,NA,NA
"48","Cnn3",1.08e-07,-0.178928917,0.896,0.925,0.001989726,NA,"Haber_Stem",NA
"49","Cox5b",2.39e-06,-0.108220326,0.993,1,0.044032699,NA,NA,NA
"50","Cox6b2",4.44e-10,0.152699828,0.222,0.072,8.18e-06,NA,NA,NA
"51","Cycs",1.14e-07,0.169493749,0.9,0.812,0.002097535,NA,NA,NA
"52","Cyyr1",8.4e-16,-0.156185189,0.038,0.193,1.55e-11,NA,NA,NA
"53","Dcun1d4",1.52e-14,-0.190319705,0.109,0.303,2.8e-10,NA,NA,NA
"54","Defa17",1.13e-07,0.144903746,0.339,0.193,0.00207592,NA,"Haber_Pan",NA
"55","Defa24",8.15e-10,0.159080697,1,1,1.5e-05,"dresden.H_Paneth","Haber_Pan",NA
"56","Defa30",6.56e-12,0.245264739,0.96,0.93,1.21e-07,"dresden.H_Paneth",NA,NA
"57","Duoxa2",8.79e-09,-0.105159906,0.031,0.126,0.000161927,NA,NA,NA
"58","Dus2",2.72e-10,-0.174789615,0.199,0.386,5.01e-06,NA,NA,NA
"59","E230001N04Rik",6.09e-10,0.129176059,0.18,0.043,1.12e-05,NA,NA,NA
"60","Ech1",4.01e-14,0.22385496,0.965,0.903,7.4e-10,NA,NA,NA
"61","Eif5a",1.97e-06,-0.115477181,1,1,0.036360324,NA,"Kim_Ent_Prec",NA
"62","Eif5b",9.63e-08,0.180677344,0.85,0.777,0.001774271,NA,NA,NA
"63","Erdr1",4.63e-11,-0.16804326,0.114,0.276,8.54e-07,NA,NA,NA
"64","Erh",4.47e-15,-0.268116541,0.766,0.855,8.24e-11,NA,NA,NA
"65","Etfb",2.27e-08,0.18403946,0.941,0.895,0.000417873,NA,NA,NA
"66","Fabp1",1.23e-13,0.380415392,0.565,0.375,2.27e-09,NA,"Haber_EC",NA
"67","Fam213b",1.6e-06,0.146433297,0.547,0.399,0.029413944,NA,NA,NA
"68","Fermt1",5.48e-09,-0.208990951,0.862,0.925,0.000101034,NA,NA,NA
"69","Fkbp5",1.45e-10,0.141344415,0.229,0.072,2.68e-06,NA,NA,NA
