Expr Log Ratio,Expr False Discovery Rate (q-value),ID,Flags,Symbol,Entrez Gene Name,Location,Type(s),Drug(s)
-0.01,0.991,0610009B22Rik, ,0610009B22Rik,RIKEN cDNA 0610009B22 gene,Nucleus,other, 
-0.083,0.967,0610009L18Rik, ,0610009L18Rik,RIKEN cDNA 0610009L18 gene,Other,other, 
-0.292,0.645,0610039K10Rik, ,0610039K10Rik,RIKEN cDNA 0610039K10 gene,Other,other, 
0.124,0.954,1110002L01Rik, ,1110002L01Rik,RIKEN cDNA 1110002L01 gene,Other,other, 
 , ,1110025L11Rik, ,1110025L11Rik,RIKEN cDNA 1110025L11 gene,Other,other, 
 , ,1110057P08Rik, ,1110057P08Rik,RIKEN cDNA 1110057P08 gene,Other,other, 
-0.013,0.994,1110065P20Rik, ,1110065P20Rik,RIKEN cDNA 1110065P20 gene,Other,other, 
0.975,0.753,1300017J02Rik, ,1300017J02Rik,RIKEN cDNA 1300017J02 gene,Extracellular Space,other, 
-0.14,0.982,1500002C15Rik, ,1500002C15Rik,RIKEN cDNA 1500002C15 gene,Other,other, 
0.268,0.859,1500009L16Rik, ,1500009L16Rik,RIKEN cDNA 1500009L16 gene,Other,other, 
0.235,0.876,1500011B03Rik, ,1500011B03Rik,RIKEN cDNA 1500011B03 gene,Other,other, 
-0.723,0.366,1500035N22Rik, ,1500035N22Rik,RIKEN cDNA 1500035N22 gene,Other,other, 
-0.789,0.826,1520401A03Rik, ,1520401A03Rik,RIKEN cDNA 1520401A03 gene,Other,other, 
0.872, ,1600015I10Rik, ,1600015I10Rik,RIKEN cDNA 1600015I10 gene,Other,other, 
-0.239,0.937,1600029I14Rik, ,1600029I14Rik,RIKEN cDNA 1600029I14 gene,Other,other, 
-0.622, ,1600029O15Rik, ,1600029O15Rik,ribosomal protein L17 pseudogene,Other,other, 
-0.079,0.977,1700001C19Rik, ,1700001C19Rik,RIKEN cDNA 1700001C19 gene,Other,other, 
 , ,1700001F09Rik, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,BC061237, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm10375, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm10377, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm17027, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm17079, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm17093, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm17124, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm17654, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
-0.984, ,Gm5800, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm7970, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm7980, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8005, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8020, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8068, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8094, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8127, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8165, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8212, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8220, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8229, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
 , ,Gm8232, ,1700001F09Rik (includes others),predicted gene 5800,Other,other, 
-0.279,0.967,1700001G17Rik, ,1700001G17Rik,RIKEN cDNA 1700001G17 gene,Other,other, 
-0.083,0.989,Gm6309,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
