"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Iigp1",3.41684532081542e-96,-1.09706896366826,0.031,0.919,1.06103297747281e-91
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Trim30a",1.61625140636091e-95,-0.626936395950766,0.02,0.838,5.01894549217253e-91
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gm4951",2.49170472533946e-88,-0.4851247728839,0.003,0.568,7.73749068359661e-84
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Serping1",4.24132005786128e-83,-0.63460130259228,0.017,0.73,1.31705711756766e-78
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.Eb1",1.09662271075759e-82,-1.15922983199224,0.049,0.946,3.40534250371555e-78
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Icam1",1.33071333270952e-82,-0.437379261087912,0.015,0.703,4.13226411206287e-78
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ciita",3.96857808583743e-75,-0.297702871583847,0.004,0.514,1.2323625529951e-70
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.Aa",2.91828138474568e-73,-1.3960048795809,0.076,1,9.06213918405075e-69
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gbp2",6.98898112990181e-73,-0.59342672307544,0.031,0.784,2.17028831026841e-68
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.DMb1",6.80370055563101e-71,-0.598916211133953,0.029,0.757,2.1127531335401e-66
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cxcl9",2.07643704034767e-70,-1.40717050943785,0.061,0.919,6.44795994139161e-66
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Xaf1",4.52278077320878e-70,-0.444708813928362,0.023,0.703,1.40445911350452e-65
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Apol10b",5.1380690807231e-67,-0.412122816541689,0.009,0.541,1.59552459163694e-62
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Il18bp",6.56898813498812e-66,-0.424257741967088,0.015,0.595,2.03986788555786e-61
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Batf2",7.06962992297957e-65,-0.494190416326482,0.024,0.676,2.19533217998285e-60
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Apol6",1.38574161103006e-62,-0.218248591098592,0.005,0.459,4.30314342473166e-58
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gbp7",1.71031824710238e-62,-0.49451293573607,0.017,0.595,5.31105125272701e-58
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gbp4",7.971381405118e-60,-0.327344046766244,0.013,0.541,2.47535306773129e-55
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Isg15",5.20159496956683e-57,-1.53880900013503,0.109,0.973,1.61525128589959e-52
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Oasl2",7.28915900392913e-57,-0.405020867582133,0.024,0.622,2.26350254549011e-52
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Zbp1",9.5105695217305e-56,-0.330850764132974,0.028,0.649,2.95331715358297e-51
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ube2l6",1.08488550518827e-55,-0.346018505748829,0.035,0.703,3.36889495926113e-51
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ido1",3.3087762909646e-55,-0.522483983897935,0.029,0.649,1.02747430163324e-50
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Oas3",7.72494390648428e-54,-0.195435605289051,0.005,0.405,2.39882683128056e-49
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Igtp",1.56161855497801e-51,-1.55566833677948,0.145,1,4.84929409877323e-47
Stem.Cd74n_Control_vs_Stem_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tap1",2.79037047840119e-51,-0.853874572249822,0.122,1,8.66493744657921e-47
