"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"mt.Cytb",0,1.21708142555683,1,0.999,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Slc12a2",0,1.2001342302807,0.992,0.726,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ttr",0,1.03561245686508,0.764,0.096,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Uqcrh",0,0.852362539221675,1,0.995,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"mt.Atp6",0,0.802722959814623,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpl37a",0,0.651812317422184,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rps4x",0,0.499059574427091,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Eef1a1",0,0.498030036609599,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpl3",0,0.465174371616528,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpl10a",0,0.438595181667837,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rps19",0,0.431271577071278,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rps5",0,0.423196193812705,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpl18a",0,0.398243753326598,1,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.DMa",0,-0.938844897534319,0.118,0.959,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psmb10",0,-0.941337238073371,0.599,0.996,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.DMb1",0,-0.969720227274351,0.029,0.939,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psme1",0,-0.985199979650321,0.795,0.998,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Plac8",0,-1.07146837778611,0.996,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psme2",0,-1.07425061414468,0.68,0.999,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Irf1",0,-1.10254832220207,0.104,0.967,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tuba1b",0,-1.13135127503765,0.777,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Trim30a",0,-1.14148196984703,0.02,0.959,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.K1",0,-1.14546821411005,0.956,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.Q7",0,-1.16298577214301,0.149,0.982,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Pycard",0,-1.17169996063061,0.993,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ifi47",0,-1.19214312237847,0.085,0.971,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.T23",0,-1.19446109209141,0.25,0.99,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Hmgb2",0,-1.19843239493196,0.79,0.999,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Birc5",0,-1.2337819713574,0.197,0.959,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tubb4b",0,-1.26387053332267,0.866,0.999,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tap1",0,-1.3246902950496,0.122,0.99,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Top2a",0,-1.43477037031703,0.26,0.985,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Irgm1",0,-1.4553786945952,0.138,0.996,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.D1",0,-1.54460793303927,0.914,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Irf8",0,-1.55563171741862,0.583,0.998,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.Eb1",0,-1.57576986455871,0.049,0.993,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"B2m",0,-1.60274465066388,0.991,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Bst2",0,-1.62735076592135,0.429,0.999,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Lgals9",0,-1.70098351609446,0.83,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Iigp1",0,-1.72384116758792,0.031,0.987,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cxcl9",0,-1.838142517481,0.061,0.942,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.Aa",0,-1.91418577643022,0.076,0.998,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.Ab1",0,-2.01879275776525,0.163,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psmb9",0,-2.07052854581598,0.288,0.999,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Igtp",0,-2.14440630990532,0.145,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Lypd8",0,-2.25314394358522,0.973,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psmb8",0,-2.27297580578848,0.267,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ly6c1",0,-2.2769974403682,0.198,0.976,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cxcl10",0,-2.31084083645173,0.121,0.951,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Isg15",0,-2.35446550839826,0.109,0.999,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Areg",0,-2.62043512513693,0.333,0.995,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cd74",0,-2.96805744979255,0.157,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ly6a",0,-3.55414827665847,0.538,1,0
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rps3a1",1.02562426955188e-307,0.375916438382975,1,1,3.18487104423946e-303
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2afv",1.82659611732594e-307,1.04889006882768,0.997,0.923,5.67212892313223e-303
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rplp0",5.18119812046107e-305,0.352621427779956,1,1,1.60891745234678e-300
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Inf2",3.95613122563861e-304,-0.876564584290756,0.092,0.938,1.22849742949756e-299
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rps6",2.23170616795899e-303,0.365149871722854,1,1,6.93011716336306e-299
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ifitm3",6.56608260507547e-302,-1.20329840371211,0.965,0.999,2.03896563135408e-297
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Hsp90aa1",2.3840242167801e-301,-0.855965935154302,0.989,1,7.40311040036724e-297
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpl13",2.59891378449445e-301,0.332583195542935,1,1,8.07040697499061e-297
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"mt.Nd4",4.52590107534158e-301,0.954591019231129,1,0.999,1.40542806092582e-296
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cox5a",1.31849209270982e-299,-0.582432509545125,1,1,4.09431349549182e-295
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Oat",5.34848871540659e-299,1.14985879902294,0.999,0.978,1.66086620079521e-294
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rps16",3.30445842676151e-297,0.36798118139005,1,1,1.02613347526225e-292
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gsr",5.10435427523358e-297,-1.028316670854,0.919,0.998,1.58505513308828e-292
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Lap3",1.44367309110821e-295,-0.84555535642113,0.758,0.997,4.48303804981831e-291
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rac1",3.94836780975282e-295,-0.838314404620274,0.874,0.999,1.22608665596254e-290
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"mt.Nd1",4.3876062909229e-295,0.748448693265679,1,1,1.36248338152029e-290
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tapbp",6.32687626155618e-295,-0.885739777105228,0.236,0.975,1.96468488550104e-290
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"H2.T22",1.09675993127555e-294,-0.892969922941649,0.198,0.951,3.40576861458996e-290
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ppa1",6.45030881440665e-294,-0.803513112605467,0.911,0.999,2.0030143961377e-289
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gbp2",1.12438706792756e-293,-1.06097015253369,0.031,0.886,3.49155916203544e-289
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Upp1",8.08082907960678e-292,-1.16600880600169,0.09,0.915,2.50933985409029e-287
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rps9",6.92593727537284e-291,0.356512900245383,1,1,2.15071130212153e-286
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Smc2",1.0160037301367e-289,-0.979671645106391,0.235,0.97,3.1549963831935e-285
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Hspa5",1.58766742432615e-287,-1.0042926530527,0.866,1,4.93018365275998e-283
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Manf",2.33129211841079e-287,-0.952526463181602,0.797,0.995,7.23936141530101e-283
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psma7",7.76419439084729e-286,-0.67355839742513,0.984,1,2.41101528418981e-281
