"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"Cd74",3.27366161726607e-199,-3.60972928831099,0.002,1,6.03237626213619e-195
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"H2.Eb1",8.0096307199765e-192,-2.17947369156045,0.04,0.997,1.47593465277007e-187
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"H2.Aa",3.21959945617496e-190,-2.14339454814671,0.013,0.976,5.9327559178936e-186
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"H2.Ab1",1.66904078048075e-178,-2.61206526442613,0.147,1,3.07554144619188e-174
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"Psmb8",8.54535879127062e-141,-1.58591059799231,0.582,0.992,1.57465326446744e-136
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"H2.D1",4.01959713246532e-120,-0.974474732424419,0.942,1,7.40691163599384e-116
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"H2.DMa",9.95996341904677e-116,-0.968159272443732,0.163,0.845,1.83532245922775e-111
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"H2.K1",4.80109658325644e-110,-0.92138241412333,0.939,1,8.84698067396663e-106
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"H2.DMb1",6.15913281911261e-109,-0.73015372203979,0.031,0.689,1.13494340457788e-104
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"Psmb9",1.4194213185331e-100,-1.00132381310024,0.572,0.941,2.61556766366094e-96
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"Ifitm3",2.6161896070545e-99,-0.939076804181134,0.893,1,4.82085258891933e-95
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"Ceacam10",8.96324899019666e-98,-1.09663385206648,0.488,0.96,1.65165789142354e-93
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"B2m",1.22791137380414e-93,-0.581448533229745,1,1,2.26267228850888e-89
Stem.Cd74n_Young_vs_Cd74p_Old_wilcox_lfc0.1.csv,"Reg3g",1.3158027935686e-89,-1.48236399084224,0.394,0.914,2.42462980770885e-85
