"","sampleID","celltype_new","count","ratio","hashtag","treatment"
"1","1_shash3","Enterocyte",226,0.242489270386266,"shash3","Control"
"2","1_shash3","Enterocyte-Prog",224,0.240343347639485,"shash3","Control"
"3","1_shash3","Enteroendocrine",41,0.0439914163090129,"shash3","Control"
"4","1_shash3","Goblet-Paneth",31,0.0332618025751073,"shash3","Control"
"5","1_shash3","Stem",139,0.149141630901288,"shash3","Control"
"6","1_shash3","TA",264,0.283261802575107,"shash3","Control"
"7","1_shash3","Tuft",7,0.00751072961373391,"shash3","Control"
"8","1_shash5","Enterocyte",223,0.164212076583211,"shash5","Ifng"
"9","1_shash5","Enterocyte-Prog",403,0.296759941089838,"shash5","Ifng"
"10","1_shash5","Enteroendocrine",87,0.0640648011782032,"shash5","Ifng"
"11","1_shash5","Goblet-Paneth",98,0.0721649484536082,"shash5","Ifng"
"12","1_shash5","Stem",43,0.0316642120765832,"shash5","Ifng"
"13","1_shash5","TA",470,0.346097201767305,"shash5","Ifng"
"14","1_shash5","Tuft",34,0.0250368188512518,"shash5","Ifng"
"15","1_shash7","Enterocyte",306,0.235023041474654,"shash7","Control"
"16","1_shash7","Enterocyte-Prog",309,0.237327188940092,"shash7","Control"
"17","1_shash7","Enteroendocrine",58,0.0445468509984639,"shash7","Control"
"18","1_shash7","Goblet-Paneth",54,0.0414746543778802,"shash7","Control"
"19","1_shash7","Stem",189,0.145161290322581,"shash7","Control"
"20","1_shash7","TA",368,0.282642089093702,"shash7","Control"
"21","1_shash7","Tuft",18,0.0138248847926267,"shash7","Control"
"22","1_shash9","Enterocyte",313,0.207147584381205,"shash9","Ifng"
"23","1_shash9","Enterocyte-Prog",412,0.272667107875579,"shash9","Ifng"
"24","1_shash9","Enteroendocrine",87,0.057577763070814,"shash9","Ifng"
"25","1_shash9","Goblet-Paneth",87,0.057577763070814,"shash9","Ifng"
"26","1_shash9","Stem",83,0.0549305095962938,"shash9","Ifng"
"27","1_shash9","TA",504,0.333553937789543,"shash9","Ifng"
"28","1_shash9","Tuft",25,0.0165453342157512,"shash9","Ifng"
"29","2_shash3","Enterocyte",458,0.257303370786517,"shash3","Control"
"30","2_shash3","Enterocyte-Prog",468,0.262921348314607,"shash3","Control"
"31","2_shash3","Enteroendocrine",66,0.0370786516853933,"shash3","Control"
"32","2_shash3","Goblet-Paneth",72,0.0404494382022472,"shash3","Control"
"33","2_shash3","Stem",200,0.112359550561798,"shash3","Control"
"34","2_shash3","TA",494,0.27752808988764,"shash3","Control"
"35","2_shash3","Tuft",22,0.0123595505617978,"shash3","Control"
"36","2_shash5","Enterocyte",362,0.170272812793979,"shash5","Ifng"
"37","2_shash5","Enterocyte-Prog",603,0.283631232361242,"shash5","Ifng"
"38","2_shash5","Enteroendocrine",165,0.0776105362182502,"shash5","Ifng"
"39","2_shash5","Goblet-Paneth",122,0.0573847601128881,"shash5","Ifng"
"40","2_shash5","Stem",68,0.0319849482596425,"shash5","Ifng"
"41","2_shash5","TA",763,0.358889934148636,"shash5","Ifng"
"42","2_shash5","Tuft",43,0.0202257761053622,"shash5","Ifng"
"43","2_shash7","Enterocyte",473,0.258611262985238,"shash7","Control"
"44","2_shash7","Enterocyte-Prog",483,0.264078731547294,"shash7","Control"
"45","2_shash7","Enteroendocrine",71,0.038819026790596,"shash7","Control"
"46","2_shash7","Goblet-Paneth",65,0.0355385456533625,"shash7","Control"
"47","2_shash7","Stem",236,0.129032258064516,"shash7","Control"
"48","2_shash7","TA",481,0.262985237834882,"shash7","Control"
"49","2_shash7","Tuft",20,0.0109349371241115,"shash7","Control"
"50","2_shash9","Enterocyte",410,0.185018050541516,"shash9","Ifng"
"51","2_shash9","Enterocyte-Prog",605,0.273014440433213,"shash9","Ifng"
"52","2_shash9","Enteroendocrine",185,0.0834837545126354,"shash9","Ifng"
"53","2_shash9","Goblet-Paneth",141,0.0636281588447653,"shash9","Ifng"
"54","2_shash9","Stem",124,0.055956678700361,"shash9","Ifng"
"55","2_shash9","TA",691,0.311823104693141,"shash9","Ifng"
"56","2_shash9","Tuft",60,0.0270758122743682,"shash9","Ifng"
