"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ly6d",0,1.5401939326372,0.889,0.278,0,"0","Ly6d"
"Ebf1",0,1.50815359216311,0.792,0.212,0,"0","Ebf1"
"Cd79a",0,1.49265601140415,0.944,0.313,0,"0","Cd79a"
"Cd79b",0,1.42988041695052,0.872,0.289,0,"0","Cd79b"
"Cd74",0,1.42634721790101,1,0.646,0,"0","Cd74"
"Ighd",0,1.4025070241617,0.492,0.099,0,"0","Ighd"
"Fcmr",0,1.38480745744466,0.565,0.144,0,"0","Fcmr"
"H2-DMb2",0,1.3443660036128,0.753,0.235,0,"0","H2-DMb2"
"Ighm",0,1.34105147101293,0.901,0.401,0,"0","Ighm"
"Ms4a1",0,1.3249580188567,0.749,0.209,0,"0","Ms4a1"
"Iglc2",0,1.32341403958865,0.753,0.246,0,"0","Iglc2"
"Iglc3",0,1.30177138011798,0.681,0.208,0,"0","Iglc3"
"H2-Aa",0,1.2984745130959,0.997,0.488,0,"0","H2-Aa"
"Mef2c",0,1.21794521177724,0.536,0.153,0,"0","Mef2c"
"Bank1",0,1.18612655102072,0.45,0.112,0,"0","Bank1"
"H2-Eb1",0,1.18442563552428,0.99,0.429,0,"0","H2-Eb1"
"H2-Ab1",0,1.17754519434087,0.997,0.538,0,"0","H2-Ab1"
"H2-Ob",0,1.15632302511994,0.5,0.154,0,"0","H2-Ob"
"H2-Oa",0,1.10915869446651,0.501,0.164,0,"0","H2-Oa"
"Vpreb3",0,1.10838116743679,0.436,0.129,0,"0","Vpreb3"
"Gm31243",0,1.10771085006925,0.322,0.066,0,"0","Gm31243"
"Fcer2a",0,1.08092407139176,0.279,0.051,0,"0","Fcer2a"
"Cd83",0,1.07638322539432,0.578,0.219,0,"0","Cd83"
"Fcrla",0,1.01217521286199,0.376,0.111,0,"0","Fcrla"
"H2-DMa",0,1.0118163169033,0.699,0.295,0,"0","H2-DMa"
"Ccr7",0,0.96820468586603,0.473,0.205,0,"0","Ccr7"
"Cd55",0,0.958969982288423,0.256,0.063,0,"0","Cd55"
"Igkc",0,0.956348853550034,0.989,0.76,0,"0","Igkc"
"Cd24a",0,0.952760774823528,0.463,0.169,0,"0","Cd24a"
"Ralgps2",0,0.939083836234511,0.305,0.085,0,"0","Ralgps2"
"Hvcn1",0,0.930500434906611,0.481,0.212,0,"0","Hvcn1"
"Tnfrsf13c",0,0.92577320603441,0.307,0.088,0,"0","Tnfrsf13c"
"Napsa",0,0.90692917835288,0.52,0.211,0,"0","Napsa"
"Siglecg",0,0.90666001725415,0.287,0.082,0,"0","Siglecg"
"Ly86",0,0.884990407837033,0.435,0.158,0,"0","Ly86"
"Chchd10",0,0.881567570769276,0.433,0.189,0,"0","Chchd10"
"Cd37",0,0.859169052561446,0.767,0.447,0,"0","Cd37"
"Irf8",0,0.802160867761996,0.483,0.209,0,"0","Irf8"
"Unc93b1",0,0.784684951439652,0.399,0.173,0,"0","Unc93b1"
"Pou2f2",0,0.784156500458316,0.328,0.131,0,"0","Pou2f2"
"Pold4",0,0.780955003513113,0.504,0.261,0,"0","Pold4"
