source,cell_type,markers,protein
Antibody,T_cell_all,Cd3,CD3
Antibody,T_cell_all,Cd3g,CD3
Antibody,CD4_T_cells,Cd4,CD4
Antibody,CD8_T_cells,Cd8a,CD8
Antibody,Treg,Il2-ra,CD25
Antibody,Treg,Foxp3,FoxP3
Antibody,Exh_T_cells,Sleb2,PD1
Antibody,Exh_T_cells,Pdcd1,PD1
Antibody,Exh_T_cells,Ctla4,CTLA-4
Antibody,Exh_T_cells,Cd274,PD-L1
Antibody,aTreg,Cd81,CD81
Antibody,aTreg,Tapa1,CD81
Antibody,aTreg,Tspan28,CD81
Antibody,pan_Myeloid_lineage_marker,Itgam,CD11b
Antibody,monocyte,Ly6c1,Ly-6C
Antibody,Monocyte,Csf1r,CD115
Antibody,Granulocyte_Neutrophil,Ly6g6e,Ly-6G
Antibody,Granulocyte_Neutrophil,Ng24,Ly-6G
Antibody,Granulocyte_Neutrophil,Ng25,Ly-6G
Antibody,NK_DC,Itgax,CD11c
Antibody,NK_DC,Itga2,CD49b
Antibody,NK_DC,Ncr1,CD335
Antibody,Macrophage,Adgre4,F4/80
Antibody,B_cells_all,Cd19,CD19
Antibody,B_cells_all,Cd300ld3,B220
Antibody,B_cells_all,Lmir7,B220
Alon_classical,Naive_T_cell_rTregs_NaiveIsg15,Lef1,classical
Alon_classical,Naive_T_cell_rTregs_NaiveIsg15,Sell,classical
Alon_classical,Naive_T_cell_NaiveIsg15,Igfbp4,classical
Alon_classical,rTregs,Foxp3,classical
Alon_classical,rTregs,Il2ra,classical
Alon_classical,TEM,Igals1,classical
Alon_classical,TEM,S100a4,classical
Alon_classical,TEM,Itgb1,classical
Alon_classical,NaiveIsg15,Ifit1,classical
Alon_classical,NaiveIsg15,Ifit3,classical
Alon_classical,NaiveIsg15,Isg15,classical
Alon_classical,NaiveIsg15,Stat1,classical
Biton_all,B_cells,Bank1,Protein
Biton_all,B_cells,Fcer2a,Protein
Biton_all,B_cells,Cd79a,Protein
Biton_all,B_cells,Cd79b,Protein
Biton_all,B_cells,Cd22,Protein
Biton_all,B_cells_early,Mki67,Protein
Biton_all,B_cells_early,Cd79a,Protein
Biton_all,B_cells_early,Cd79b,Protein
