Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Th1 and Th2 Activation Pathway	1,4E01	1,87E-01	NaN	CD40LG,ICAM1,CD3E,HLA-A,IL12RB1,CD4,TGFBR3,HLA-DQA1,CXCR3,HLA-DQB1,CD8A,TBX21,NFATC1,CD28,HLA-DMA,PIK3C3,HLA-DMB,CD274,IL27RA,STAT1,ACVR1C,IFNG,IL4R,JAG2,IKZF1,IRF1,STAT4,ITGB2,CD3G,CD80,IRS1,ICOS,JAK3,GATA3,HLA-DRB5
Th1 Pathway	1,4E01	2,19E-01	3,800	CD40LG,ICAM1,CD3E,HLA-A,IL12RB1,CD4,HLA-DQA1,CXCR3,HLA-DQB1,CD8A,TBX21,NFATC1,CD28,HLA-DMA,PIK3C3,HLA-DMB,CD274,IL27RA,STAT1,IFNG,IRF1,STAT4,ITGB2,CD3G,CD80,IRS1,ICOS,GATA3,JAK3,HLA-DRB5
iCOS-iCOSL Signaling in T Helper Cells	1,25E01	2,16E-01	3,962	CD40LG,CD3E,HLA-A,CD4,HLA-DQA1,TRAT1,HLA-DQB1,NFATC1,PTPRC,CD28,LCK,HLA-DMA,PIK3C3,HLA-DMB,AKT3,CAMK2B,ITK,ITPR2,CD3G,CD80,GRAP2,IRS1,ZAP70,ICOS,LAT,HLA-DRB5,LCP2
Th2 Pathway	1,04E01	1,78E-01	1,000	ICAM1,CD3E,HLA-A,IL12RB1,TGFBR3,CD4,HLA-DQA1,HLA-DQB1,TBX21,CD28,HLA-DMA,PIK3C3,HLA-DMB,ACVR1C,IFNG,IL4R,JAG2,IKZF1,STAT4,ITGB2,CD3G,CD80,IRS1,ICOS,GATA3,JAK3,HLA-DRB5
CD28 Signaling in T Helper Cells	1,02E01	1,87E-01	3,153	FYN,CD3E,HLA-A,ITPR2,CD4,HLA-DQA1,HLA-DQB1,NFATC1,PTPRC,CD28,CD3G,LCK,CD80,WAS,HLA-DMA,GRAP2,IRS1,PIK3C3,HLA-DMB,LAT,ZAP70,AKT3,LCP2,HLA-DRB5,ITK
Antigen Presentation Pathway	1,02E01	3,68E-01	NaN	IFNG,HLA-A,CIITA,HLA-DQA1,PSMB8,CD74,HLA-DQB1,TAP1,HLA-G,NLRC5,HLA-DMA,HLA-DMB,TAP2,HLA-DRB5
T Helper Cell Differentiation	9,58E00	2,47E-01	NaN	IFNG,IL4R,CD40LG,IL12RB1,HLA-A,HLA-DQA1,HLA-DQB1,TBX21,STAT4,CD28,CD80,HLA-DMA,ICOS,HLA-DMB,TNFRSF1B,GATA3,STAT1,HLA-DRB5
Neuroinflammation Signaling Pathway	9,23E00	1,21E-01	2,401	Naip1 (includes others),ICAM1,KLK3,HLA-A,PLA2G10,TGFBR3,HLA-DQA1,SLC1A3,FZD1,CCL5,HLA-DQB1,IDE,NFATC1,NOX1,GAD2,GABRB3,PLA2G2F,HLA-DMA,PIK3C3,HLA-DMB,PLA2G5,TLR1,AKT3,STAT1,ACVR1C,IFNG,MYD88,CD200R1,GLS,BIRC5,TLR2,CD80,IRS1,TLR6,SLC1A2,JAK3,HLA-DRB5,P2RX7
PKCθ Signaling in T Lymphocytes	8,1E00	1,5E-01	3,411	FYN,CD3E,HLA-A,CD4,CACNA1H,HLA-DQA1,HLA-DQB1,NFATC1,CD28,LCK,HLA-DMA,PIK3C3,HLA-DMB,CAMK2B,MAP3K13,CACNA1A,CD3G,CD80,CACNA1B,GRAP2,IRS1,LAT,ZAP70,HLA-DRB5,LCP2
Primary Immunodeficiency Signaling	7,39E00	2,6E-01	NaN	CD40LG,CD3E,CD4,CIITA,CD8A,TAP1,PTPRC,IL7R,LCK,ZAP70,ICOS,JAK3,TAP2
Type I Diabetes Mellitus Signaling	7,26E00	1,71E-01	2,646	IFNG,CD3E,HLA-A,MYD88,HLA-DQA1,HLA-DQB1,IRF1,HLA-G,CD28,CD3G,GAD2,PRF1,CD80,HLA-DMA,HLA-DMB,TNFRSF1B,STAT1,PTPRN,HLA-DRB5
B Cell Development	7,14E00	3,06E-01	NaN	IL7R,PTPRC,SPN,CD80,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,IL7,HLA-DRB5
Role of NFAT in Regulation of the Immune Response	6,83E00	1,3E-01	3,962	FYN,CD3E,HLA-A,ITPR2,CD4,GNG2,HLA-DQA1,HLA-DQB1,NFATC1,CD28,CD3G,LCK,CD80,HLA-DMA,IRS1,PIK3C3,GNAO1,HLA-DMB,LAT,ZAP70,LYN,AKT3,LCP2,HLA-DRB5,ITK
T Cell Exhaustion Signaling Pathway	6,73E00	1,32E-01	0,728	IFNG,IL12RB1,HLA-A,TGFBR3,HLA-DQA1,LAG3,HLA-DQB1,TBX21,NFATC1,HLA-G,STAT4,CD28,CD80,HLA-DMA,IRS1,PIK3C3,HLA-DMB,ZAP70,AKT3,CD274,JAK3,STAT1,ACVR1C,HLA-DRB5
Calcium-induced T Lymphocyte Apoptosis	6,7E00	2,12E-01	2,673	CD3G,LCK,CD3E,HLA-DMA,HLA-A,ITPR2,CD4,HLA-DMB,ZAP70,HLA-DQA1,PRKCH,HLA-DQB1,PRKD3,HLA-DRB5
Leukocyte Extravasation Signaling	6,56E00	1,22E-01	3,578	SPN,ICAM1,CLDN6,RHOH,NOX1,ITGB3,CLDN4,PIK3C3,PRKD3,ACTA1,ITGA4,ITK,TIMP3,MMP28,ACTN2,ITGA5,THY1,ITGAL,SELPLG,ITGB2,ITGAM,WAS,IRS1,RASGRP1,PRKCH,MSN
Phospholipase C Signaling	6,46E00	1,15E-01	1,964	FYN,CD3E,PLA2G10,RHOH,NFATC1,LCK,PLA2G2F,PLA2G5,ADCY8,PRKD3,ITGA4,ITK,ARHGEF4,ITPR2,GNG2,ITGA5,ADCY9,CD3G,GRAP2,ADCY1,LAT,ZAP70,LYN,PRKCH,ADCY7,ARHGEF10,ARHGEF9,LCP2
