Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Xenobiotic Metabolism Signaling	1.2E01	3.97E-01	NaN	ABCB1,ABCC2,AHR,AIP,ALDH1A1,ALDH1L1,ALDH3A2,ALDH4A1,ALDH5A1,ALDH6A1,CAMK1,CAMK1D,CAMK2B,CAMK4,CAT,CES1,Ces1e,Ces1g,CES2,CHST11,CHST15,CHST2,CUL3,CYP1A1,CYP2B6,CYP2C8,CYP2C9,CYP3A5,FMO1,FMO2,FMO4,FMO5,GSTA3,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstm6,HDAC5,HMOX1,HS3ST1,HS3ST3B1,HSP90AB1,IL4I1,KEAP1,MAF,MAOA,MAOB,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MGST2,MGST3,MRAS,NFKB2,NOS2,NQO2,NR1I3,NRIP1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SCAND1,SMOX,SRA1,SULT1B1,SULT1C2,Sult1d1,SULT4A1,TNF,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2B10,UGT2B17,UGT2B28,UGT2B7,UST	
Molecular Mechanisms of Cancer	1.19E01	3.68E-01	NaN	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,APC,Aph1c,ARHGEF10,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF3,ARHGEF5,ATM,AURKA,BAK1,BBC3,BCL2,BID,BIRC3,BMP1,BMPR2,CAMK2B,CASP3,CASP7,CASP8,CCND1,CCND3,CCNE1,CDC25B,CDH1,CDK1,CDK13,CDK16,CDK19,CDKN1A,CDKN1B,CDKN2D,CTNND1,DAXX,DHH,E2F2,E2F4,FAS,FOS,FZD1,FZD2,FZD3,FZD6,GAB2,GNA14,GNA15,GNAI1,GNAI2,ITGA2,ITGA4,ITGA5,JAK3,JUN,LAMTOR3,LEF1,LRP1,LRP5,LRP6,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MAX,MRAS,NAIP,Naip1 (includes others),NF1,NFKB2,NFKBIA,NFKBIB,NFKBIE,PA2G4,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PRKACB,PRKAR1B,PRKD3,PRKDC,PSEN1,PTPN11,RABIF,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RAPGEF3,RASA1,RASD1,RASD2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,SHH,SMAD5,SMAD6,SOS2,STK36,SUV39H1,SYNGAP1,TCF4,TGFB1,TGFBR1,WNT11,WNT2B,WNT4,WNT7B,WNT9B,XIAP	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.13E01	4.36E-01	1.688	AKT1,AKT2,AKT3,ALB,APOA2,APOA4,APOB,APOC2,APOD,ARG2,CAT,CLU,FOS,IFNGR2,IKBKE,IKBKG,IRF1,IRF8,JAK3,JUN,LYZ,MAP2K1,MAP2K4,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,NCF2,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PPARA,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKD3,RAC1,RAC2,RBP4,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,STAT1,TLR2,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B	
Signaling by Rho Family GTPases	9.94E00	3.93E-01	2.495	ACTB,ACTG1,ARFIP2,ARHGEF10,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF3,ARHGEF5,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,CDC42EP3,CDC42EP5,CDH1,CDH15,CDH22,CDH23,CDH24,CDH26,CFL1,EZR,FOS,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,IQGAP1,ITGA2,ITGA4,ITGA5,JUN,LIMK1,LIMK2,MAP2K1,MAP2K4,MAP3K12,MRAS,MSN,MYL10,MYL9,MYLK,MYLPF,NCF2,NFKB2,NOX1,PAK1,PAK3,PAK4,PAK6,PARD6A,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIKFYVE,PIP5K1A,PLD1,PTK2B,RAC1,RAC2,RAF1,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,SEPTIN1,SEPTIN10,SEPTIN11,SEPTIN5,SEPTIN6,SEPTIN8,SLC9A1,STMN1,WASF1	
Axonal Guidance Signaling	9.79E00	3.37E-01	NaN	ABLIM2,ADAM11,ADAM15,Adam1a,ADAM22,Adam4/Gm4787,ADAM8,ADAMTS1,ADAMTS10,ADAMTS17,ADAMTS7,AFG3L2,AKT1,AKT2,AKT3,ARHGEF12,ARHGEF15,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,BMP1,CFL1,DPYSL5,ECE2,ECEL1,EFNB2,EGF,EPHA2,EPHA4,EPHA7,FES,FZD1,FZD2,FZD3,FZD6,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,HERC2,ITGA2,ITGA4,ITGA5,KCNJ12,KLC1,L1CAM,LIMK1,LIMK2,LNPEP,MAP2K1,MICAL1,MME,MMP11,MMP15,MMP23B,MMP28,MMP7,MRAS,MYL10,MYL9,MYLPF,MYSM1,NFAT5,NFATC1,NFATC3,NFATC4,NOTUM,NRP1,NRP2,NTN4,NTNG2,NTRK1,PAK1,PAK3,PAK4,PAK6,PAPPA2,PDGFA,PDGFC,PFN1,PFN2,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PLXNA1,PLXNA3,PLXNB1,PLXNB2,PPP3CA,PRKACB,PRKAR1B,PRKD3,PSMD14,PTPN11,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,RASSF5,RGS3,RHOA,RHOD,RND1,ROBO3,ROCK2,SEMA3B,SEMA3D,SEMA3F,SEMA4B,SEMA4C,SEMA4F,SEMA4G,SEMA5A,SEMA6C,SEMA6D,SHANK2,SHH,SLIT2,SLIT3,SOS2,SRGAP1,SRGAP3,STK36,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1,VASP,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	9.33E00	3.65E-01	NaN	AKT1,AKT2,AKT3,APC,ATF2,ATF4,CAMK2B,CAMK4,CCL5,CCND1,CEBPB,CEBPD,CREB3,CREB3L3,CREB3L4,CSF1,CSF2,F2RL1,FOS,FZD1,FZD2,FZD3,FZD6,HNF1A,ICAM1,IKBKE,IKBKG,IL15,IL16,IL17RC,IL18,IL18R1,IL1RAP,IRAK2,JUN,LEF1,LRP1,LRP5,LRP6,LTA,LTB,LTBR,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPKAPK2,MIF,MRAS,MYD88,NFAT5,NFATC1,NFATC3,NFATC4,NFKBIA,NFKBIB,NFKBIE,NOS2,NOTUM,PDGFA,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP3CA,PRKD3,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,ROCK2,RYK,SFRP1,SFRP5,SOCS1,SOCS3,STAT3,TCF4,TCF7L1,TGFB1,TLR1,TLR2,TLR5,TLR9,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRAF2,TRAF4,WIF1,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
PEDF Signaling	9.23E00	5.24E-01	1.151	AKT1,AKT2,AKT3,BCL2,CASP7,CASP8,DOCK3,FAS,HNF1A,HNF1B,IKBKE,IKBKG,MAPK11,MAPK13,MRAS,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PNPLA2,PPARG,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,ROCK2,SOD2,SRF,TCF12,TCF4,TCF7L1	
Hepatic Fibrosis Signaling Pathway	9.11E00	3.51E-01	0.992	ACVR1C,ACVR2A,AGT,AKT1,AKT2,AKT3,ATF2,ATF4,BCL2,BMPR2,CACNA1A,CACNA1D,CAMK4,CASP3,CCL5,CCND1,CD40,CDKN1B,CEBPB,CNR1,COL18A1,CREB3,CREB3L3,CREB3L4,EDN1,FLT4,FOS,FZD1,FZD2,FZD3,FZD6,GNAI1,GNAI2,HNF1A,ICAM1,IKBKE,IKBKG,IL18,IL1RAP,IRAK2,IRS2,ITGA2,ITGA4,ITGA5,JUN,LEF1,LRP5,LRP6,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MRAS,MTOR,MYD88,MYL10,MYL9,MYLK,MYLK3,MYLPF,NCF2,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOX1,PDCD4,PDGFA,PDGFC,PDGFRB,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PPARG,PRKACB,PRKAR1B,PRKD3,PTEN,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,SDHB,SERPINE1,SHH,SNAI1,SOD2,SOS2,STAT3,TCF4,TCF7L1,TFRC,TGFB1,TGFBR1,TIRAP,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRPM7,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
B Cell Receptor Signaling	9.02E00	4.11E-01	1.179	AKT1,AKT2,AKT3,APBB1IP,ATF2,ATF4,BCL10,CAMK2B,CAMK4,CD79B,CFL1,CREB3,CREB3L3,CREB3L4,EGR1,ETS1,GAB2,IKBKE,IKBKG,INPP5D,INPP5J,INPP5K,JUN,MALT1,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MRAS,MTOR,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PAG1,PIK3AP1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PPP3CA,PTEN,PTK2B,PTPN11,PTPRC,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RASSF5,RELA,SOS2,VAV1,VAV3	
NRF2-mediated Oxidative Stress Response	8.93E00	4.07E-01	2.137	ABCC1,ABCC2,ABCC4,ACTB,ACTG1,AKR7A2,AKT1,ATF4,CAT,CBR1,CCT7,CDC34,CLPP,CUL3,DNAJA3,DNAJB1,DNAJB11,DNAJB13,DNAJB4,DNAJB7,DNAJC11,DNAJC13,DNAJC17,DNAJC4,ENC1,FKBP5,FMO1,FOS,FOSL1,GPX2,GSR,GSTA3,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstm6,HMOX1,JUN,JUNB,JUND,KEAP1,MAF,MAFF,MAFK,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MGST2,MGST3,MRAS,NQO2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PMF1/PMF1-BGLAP,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOD2,SQSTM1,STIP1,TXNRD1,UBE2E3	
