"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ighd",0,1.5105681760029,0.512,0.089,0,"B-cell","Ighd"
"Ighm",0,1.37360830715257,0.907,0.361,0,"B-cell","Ighm"
"Ly6d",0,1.30696703302971,0.879,0.325,0,"B-cell","Ly6d"
"Fcmr",0,1.28411818627029,0.568,0.174,0,"B-cell","Fcmr"
"Cd79a",0,1.27587319095319,0.944,0.38,0,"B-cell","Cd79a"
"Ebf1",0,1.24158079687664,0.773,0.275,0,"B-cell","Ebf1"
"Cd79b",0,1.21784089204309,0.89,0.35,0,"B-cell","Cd79b"
"Iglc2",0,1.18474063872807,0.769,0.297,0,"B-cell","Iglc2"
"H2-DMb2",0,1.15467981200449,0.763,0.298,0,"B-cell","H2-DMb2"
"Iglc3",0,1.09161843771459,0.688,0.263,0,"B-cell","Iglc3"
"Cd74",0,1.08007367936634,1,0.704,0,"B-cell","Cd74"
"Ms4a1",0,1.02530138605188,0.737,0.27,0,"B-cell","Ms4a1"
"H2-Aa",0,0.979606849826993,0.998,0.562,0,"B-cell","H2-Aa"
"H2-Eb1",0,0.827113187487126,0.991,0.517,0,"B-cell","H2-Eb1"
"H2-Ab1",0,0.824192093221161,0.997,0.606,0,"B-cell","H2-Ab1"
"Igkc",0,0.532371092451277,0.99,0.801,0,"B-cell","Igkc"
"Cd37",1.08120664569672e-295,0.783129763636371,0.768,0.47,3.35747099688203e-291,"B-cell","Cd37"
"H2-DMa",6.90937380908305e-293,0.825663778868506,0.708,0.354,2.14556784893456e-288,"B-cell","H2-DMa"
"H2-Ob",2.25772991258828e-268,1.04919947295184,0.519,0.196,7.01092869756039e-264,"B-cell","H2-Ob"
"Mef2c",4.5560194286433e-258,1.0046603286923,0.535,0.21,1.4147807131766e-253,"B-cell","Mef2c"
"Cd52",3.44775102865699e-249,0.452254539620033,0.979,0.909,1.07063012692885e-244,"B-cell","Cd52"
"Bank1",4.48692804460653e-243,1.06310956470353,0.436,0.133,1.39332576569167e-238,"B-cell","Bank1"
"Cd83",3.4512988582848e-239,0.896913598486451,0.57,0.257,1.07173183446318e-234,"B-cell","Cd83"
"H2-Oa",1.34200749254741e-238,0.999783725262242,0.504,0.205,4.16733586660747e-234,"B-cell","H2-Oa"
"Hvcn1",8.2141632081844e-232,1.00179754698344,0.503,0.207,2.5507441010375e-227,"B-cell","Hvcn1"
"Fcer2a",4.82429956024891e-224,1.18174719860046,0.305,0.048,1.49808974244409e-219,"B-cell","Fcer2a"
"Rps19",2.84444644317716e-205,0.274353909790696,1,0.989,8.83285953999803e-201,"B-cell","Rps19"
"Vpreb3",1.53190119518716e-200,0.895836101051338,0.474,0.186,4.75701278141469e-196,"B-cell","Vpreb3"
"Napsa",5.12904351137856e-188,0.782489716860893,0.508,0.227,1.59272188158839e-183,"B-cell","Napsa"
"Ly6e",3.01804370304712e-182,0.455733761714688,0.902,0.746,9.37193111107221e-178,"B-cell","Ly6e"
"H3f3a",6.67463674740562e-177,0.546641579444345,0.826,0.671,2.07267494917187e-172,"B-cell","H3f3a"
"Cd55",4.84669214647218e-168,1.03005900763146,0.28,0.062,1.505043312244e-163,"B-cell","Cd55"
"Irf8",2.79485717373121e-167,0.725551004592092,0.483,0.221,8.67886998158754e-163,"B-cell","Irf8"
"Fcrla",9.84449858100866e-161,0.884881894262955,0.377,0.141,3.05701214436062e-156,"B-cell","Fcrla"
"Tnfrsf13c",2.47045556402908e-154,0.883144255125022,0.348,0.119,7.67150566297952e-150,"B-cell","Tnfrsf13c"
"Chchd10",9.23783311190702e-147,0.808565493283375,0.438,0.209,2.86862431624049e-142,"B-cell","Chchd10"
"Gm31243",1.7018284423817e-145,0.92346866040271,0.292,0.084,5.2846878621279e-141,"B-cell","Gm31243"
"Pold4",9.1698177015594e-145,0.692689099756867,0.522,0.292,2.84750349086524e-140,"B-cell","Pold4"
"Klf2",2.46424060502949e-133,0.577002806558066,0.758,0.565,7.65220635079809e-129,"B-cell","Klf2"
"Serp1",3.37748841364325e-128,0.605273467954211,0.586,0.389,1.04881147708864e-123,"B-cell","Serp1"
"Ptp4a3",7.55587122261234e-123,0.755863968894733,0.411,0.212,2.34632469075781e-118,"B-cell","Ptp4a3"
