"cluster","gene","sc_control_p_val","sc_control_avg_logFC","sc_control_pct.1","sc_control_pct.2","sc_control_p_val_adj","sc_ifnr_p_val","sc_ifnr_avg_logFC","sc_ifnr_pct.1","sc_ifnr_pct.2","sc_ifnr_p_val_adj","max_pval","minimump_p_val"
0-conserved_markers.csv,"Top2a",0,1.36029983912396,0.9,0.19,0,0,1.06617451475389,0.984,0.413,0,0,0
0-conserved_markers.csv,"Pclaf",0,1.33331112228296,0.937,0.307,0,0,0.893768225030555,0.985,0.567,0,0,0
0-conserved_markers.csv,"Ube2c",0,1.27730697600264,0.816,0.346,0,0,0.687741046712744,0.941,0.578,0,0,0
0-conserved_markers.csv,"Hmgb2",0,1.12605339391511,0.999,0.761,0,0,0.565237154183287,0.999,0.825,0,0,0
0-conserved_markers.csv,"Tuba1b",0,1.07146643005703,0.996,0.719,0,0,0.787533767417838,0.999,0.807,0,0,0
0-conserved_markers.csv,"Birc5",0,1.0050448282428,0.833,0.32,0,0,0.606668617233959,0.96,0.549,0,0,0
0-conserved_markers.csv,"Cdk1",0,0.994166136589831,0.9,0.227,0,0,0.764615769248323,0.937,0.357,0,0,0
0-conserved_markers.csv,"H2afx",0,0.993982004569752,0.829,0.351,0,1.04663880984578e-303,0.419534983707023,0.806,0.366,3.25012749621409e-299,1.04663880984578e-303,0
0-conserved_markers.csv,"Tubb5",0,0.983690890520063,0.999,0.827,0,0,0.673359478282322,1,0.84,0,0,0
0-conserved_markers.csv,"Stmn1",0,0.962505299800065,0.998,0.727,0,0,0.50100742309897,0.986,0.695,0,0,0
1-conserved_markers.csv,"Malat1",1.21579513883845e-158,-0.516344419231735,0.999,0.998,3.77540864463502e-154,3.65358026611158e-102,-0.522704249714684,0.992,0.991,1.13454628003563e-97,3.65358026611158e-102,2.43159027767684e-158
1-conserved_markers.csv,"Ccnb2",3.50885076455921e-89,0.466507031067263,0.573,0.329,1.08960342791857e-84,1.4632370748844e-131,0.383703878101646,0.736,0.528,4.54379008863853e-127,3.50885076455921e-89,2.92647414976887e-131
1-conserved_markers.csv,"Hspa9",2.22249792988539e-98,0.304195949096878,0.991,0.95,6.9015228216731e-94,3.67989735850122e-129,0.302676957513212,0.949,0.915,1.14271852673538e-124,2.22249792988539e-98,7.35979471700258e-129
1-conserved_markers.csv,"Hspd1",1.6472035971326e-109,0.300303189394859,0.996,0.946,5.11506133017586e-105,4.79421164588466e-114,0.309536322611672,0.957,0.911,1.48874654239656e-109,1.6472035971326e-109,9.58842329176923e-114
1-conserved_markers.csv,"Hist1h1b",8.14125784041458e-78,-0.412422827242051,0.048,0.277,2.52810479718394e-73,2.51769871687084e-111,-0.265632354206541,0.104,0.373,7.818209825499e-107,8.14125784041458e-78,5.03539743374172e-111
1-conserved_markers.csv,"Ncl",1.84755362094199e-109,0.318866906055997,0.997,0.955,5.73720825911116e-105,2.61036152292101e-97,0.325370758399548,0.967,0.898,8.10595563712662e-93,2.61036152292101e-97,3.69510724188403e-109
1-conserved_markers.csv,"Dynll1",5.05483644958966e-51,0.307468718286995,0.942,0.891,1.56967836269108e-46,4.55867560864692e-95,0.289185252775859,0.935,0.939,1.41560553675313e-90,5.05483644958966e-51,9.11735121729382e-95
1-conserved_markers.csv,"Cenpa",2.19809168644199e-29,0.27019800408869,0.479,0.335,6.82573411390831e-25,4.49251401178465e-91,0.340317027515314,0.703,0.502,1.39506037607949e-86,2.19809168644199e-29,8.98502802356926e-91
1-conserved_markers.csv,"Sis",1.08449614043186e-55,-1.06278928840967,0.296,0.484,3.36768586488304e-51,7.15301572216402e-89,-0.802614882133394,0.119,0.34,2.22122597220359e-84,1.08449614043186e-55,1.4306031444328e-88
1-conserved_markers.csv,"Cdhr5",3.45631039942716e-44,-0.320045947787975,0.273,0.461,1.07328806833412e-39,3.51348034466337e-86,-0.470675710922981,0.447,0.663,1.09104105142832e-81,3.45631039942716e-44,7.02696068932682e-86
2-conserved_markers.csv,"Fabp1",0,3.62721871796781,0.923,0.615,0,9.72701740354872e-150,2.17092014569664,0.826,0.675,3.02053071432398e-145,9.72701740354872e-150,0
2-conserved_markers.csv,"Gsta1",0,2.35829259698778,0.964,0.39,0,0,1.31729349375123,0.734,0.224,0,0,0
2-conserved_markers.csv,"Aldob",0,2.02582692327843,0.992,0.949,0,9.16065731045973e-229,1.39733067869443,0.913,0.822,2.84465891461706e-224,9.16065731045973e-229,0
2-conserved_markers.csv,"Rbp2",0,1.91068827141705,0.728,0.168,0,5.04327046284751e-123,1.0195572046267,0.304,0.08,1.56608677682804e-118,5.04327046284751e-123,0
2-conserved_markers.csv,"Sis",0,1.78516838326431,0.863,0.294,0,2.73791750387346e-288,1.41076061522815,0.631,0.2,8.50205522477826e-284,2.73791750387346e-288,0
2-conserved_markers.csv,"Apoa4",0,1.52075373457424,0.673,0.208,0,1.09040675549158e-86,1.37738633715843,0.273,0.089,3.38604009782802e-82,1.09040675549158e-86,0
2-conserved_markers.csv,"Gm3776",0,1.51339012977432,0.75,0.093,0,0,0.875021393187432,0.518,0.096,0,0,0
2-conserved_markers.csv,"Gstm3",0,1.39799563134091,0.951,0.708,0,1.2135837827123e-127,0.657073085402905,0.717,0.501,3.76854172045652e-123,1.2135837827123e-127,0
2-conserved_markers.csv,"Prap1",0,1.30258454328185,0.999,0.919,0,0,1.33259896410451,0.99,0.876,0,0,0
2-conserved_markers.csv,"Gsta4",0,1.2828150102379,0.995,0.888,0,3.71715646337993e-107,0.601702054608787,0.704,0.466,1.15428859657337e-102,3.71715646337993e-107,0
3-conserved_markers.csv,"Olfm4",1.22932142073122e-196,1.43799444803315,0.935,0.694,3.81741180779667e-192,5.69431198887636e-89,2.31782536285463,0.884,0.666,1.76825470190578e-84,5.69431198887636e-89,2.45864284146248e-196
3-conserved_markers.csv,"Rpl3",6.10783535601989e-170,0.288240112870102,1,0.999,1.89666611310486e-165,2.06781139167223e-120,0.454369771587234,1,0.985,6.42117471455978e-116,2.06781139167223e-120,1.22156707120398e-169
3-conserved_markers.csv,"Lgr5",3.91831315543559e-110,0.454680067068059,0.813,0.492,1.21675378415741e-105,1.42090435460532e-168,0.620519067709554,0.736,0.175,4.41233429235589e-164,3.91831315543559e-110,2.84180870921071e-168
3-conserved_markers.csv,"Clca3b",3.27157310498153e-155,0.847007658479586,0.924,0.566,1.01592159628991e-150,1.02782791056042e-103,1.08170935741333,0.83,0.403,3.19171401066326e-99,1.02782791056042e-103,6.5431462099632e-155
3-conserved_markers.csv,"Lypd8",6.81130227192763e-19,-0.28774805413463,0.973,0.978,2.11511369450169e-14,2.99226098534282e-150,-1.85657550214668,0.962,0.988,9.29186803778507e-146,6.81130227192763e-19,5.98452197068552e-150
3-conserved_markers.csv,"Ttr",3.71557659049388e-79,0.447326474490605,0.763,0.491,1.15379799864606e-74,2.29658052375859e-148,0.418620253208762,0.648,0.13,7.13157150042754e-144,3.71557659049388e-79,4.59316104751708e-148
3-conserved_markers.csv,"Aqp1",1.01011227691066e-59,0.334543794781293,0.74,0.51,3.13670165349068e-55,1.69938012049968e-144,0.574657157359045,0.657,0.156,5.27708508818766e-140,1.01011227691066e-59,3.39876024099944e-144
3-conserved_markers.csv,"Slc12a2",3.55130077436751e-136,0.541218886735756,0.992,0.788,1.10278542946434e-131,7.41876400866264e-142,1.02069499586521,0.956,0.526,2.30374878761001e-137,3.55130077436751e-136,1.48375280173254e-141
3-conserved_markers.csv,"Ifitm3",5.93754010909406e-127,0.698129808203485,0.966,0.81,1.84378433007698e-122,4.88217400014065e-86,-1.03407204320222,0.956,0.955,1.51606149226368e-81,4.88217400014065e-86,1.18750802181883e-126
3-conserved_markers.csv,"Gas6",2.54296492869197e-40,0.290528107922836,0.801,0.665,7.89666899306717e-36,1.32169193471182e-124,0.633613694717785,0.767,0.265,4.10424996486061e-120,2.54296492869197e-40,2.64338386942363e-124
4-conserved_markers.csv,"Tph1",0,2.41863502037294,0.538,0.013,0,0,2.65808806423414,0.565,0.02,0,0,0
4-conserved_markers.csv,"Sct",0,2.32023083307722,0.657,0.036,0,0,1.76838521098575,0.656,0.066,0,0,0
4-conserved_markers.csv,"Vim",0,2.24912433195252,0.576,0.006,0,0,1.83086388494328,0.506,0.008,0,0,0
4-conserved_markers.csv,"Cpe",0,2.22138727736689,0.814,0.011,0,0,1.85676041955577,0.74,0.016,0,0,0
4-conserved_markers.csv,"Neurog3",0,1.9599769654496,0.386,0.007,0,0,1.90774702535695,0.37,0.007,0,0,0
4-conserved_markers.csv,"Pcsk1",0,1.89324614579854,0.758,0.016,0,0,1.98406247348172,0.807,0.016,0,0,0
4-conserved_markers.csv,"Aplp1",0,1.69081114630258,0.805,0.02,0,0,1.42647979675178,0.771,0.088,0,0,0
4-conserved_markers.csv,"Rab3c",0,1.55812270825644,0.5,0.003,0,0,1.01796081595505,0.378,0.003,0,0,0
4-conserved_markers.csv,"Fam183b",0,1.54051682290339,0.729,0.026,0,0,1.38207942236164,0.691,0.012,0,0,0
4-conserved_markers.csv,"Insm1",0,1.51147919584532,0.75,0.008,0,0,1.19786998223666,0.689,0.012,0,0,0
5-conserved_markers.csv,"Fcgbp",0,3.30736138127597,0.982,0.101,0,0,2.34632680764864,0.949,0.074,0,0,0
5-conserved_markers.csv,"Muc2",0,1.61402931092763,0.658,0.01,0,0,1.22959047491166,0.587,0.013,0,0,0
5-conserved_markers.csv,"Ccl9",0,1.58886297684976,0.577,0.007,0,0,0.66309160188323,0.333,0.006,0,0,0
5-conserved_markers.csv,"Tpsg1",0,1.34912186043578,0.653,0.005,0,0,1.0073407164478,0.688,0.009,0,0,0
5-conserved_markers.csv,"Hpd",0,1.01807543341329,0.617,0.012,0,6.16305999933142e-246,0.352825721690628,0.33,0.018,1.91381502159239e-241,6.16305999933142e-246,0
5-conserved_markers.csv,"Ramp1",0,1.0084346417567,0.41,0.003,0,4.57573637122841e-257,0.275111693485643,0.203,0.002,1.42090341535756e-252,4.57573637122841e-257,0
5-conserved_markers.csv,"Atoh1",0,0.908251524490349,0.572,0.007,0,0,0.68274522453082,0.489,0.007,0,0,0
5-conserved_markers.csv,"Spdef",0,0.886448030189875,0.563,0.007,0,0,0.950343990505815,0.676,0.011,0,0,0
5-conserved_markers.csv,"Rep15",0,0.763019175700803,0.374,0.006,0,1.54088795603306e-168,0.432796450232948,0.232,0.014,4.78491936986945e-164,1.54088795603306e-168,0
5-conserved_markers.csv,"Ern2",0,0.662398629314813,0.486,0.01,0,0,0.583188978880989,0.545,0.008,0,0,0
6-conserved_markers.csv,"Rgs13",0,3.05126249035408,0.836,0.009,0,0,2.72543571327684,0.858,0.008,0,0,0
