"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-Atp6",1.34324998355484e-229,0.481482836798604,0.997,0.984,4.17119417393284e-225
"Tmsb10",2.30672504107788e-143,-0.658407947999122,0.822,0.908,7.16307327005915e-139
"mt-Co2",4.32725126488075e-134,0.464559945000643,0.971,0.858,1.34374133528342e-129
"Rplp1",2.56796488104824e-126,-0.701607248459575,0.824,0.883,7.97430134511911e-122
"mt-Co3",9.74375300696799e-122,0.32415032167078,0.996,0.995,3.02572762125377e-117
"Rpl41",4.25437766451827e-109,-0.574059884134551,0.955,0.966,1.32111189616286e-104
"Rpl35",3.39869726705843e-104,-0.781303112498608,0.649,0.761,1.05539746233965e-99
"Rplp2",1.84684045749808e-103,-0.47824312271932,0.931,0.943,5.7349936726688e-99
"Rps27rt",2.12398051232841e-86,-0.948397667900069,0.31,0.519,6.59559668493341e-82
"mt-Co1",2.01971522178084e-79,0.294751113413394,0.994,0.976,6.27182167819606e-75
"Rps28",2.95293778367771e-74,-0.567993677402514,0.897,0.91,9.16975769965438e-70
"Rps29",5.34473154630312e-74,-0.70307580061646,0.935,0.922,1.65969948707351e-69
"Rpl38",2.50990866807133e-67,-0.589830107779887,0.782,0.812,7.79401938696189e-63
"Rps21",1.02794844262553e-64,-0.517194619237244,0.796,0.82,3.19208829888506e-60
"Rpl13a",5.96233821281814e-64,-0.565713780804443,0.592,0.699,1.85148488522642e-59
"mt-Nd1",2.2717848127341e-60,0.296773552744972,0.967,0.925,7.05457337898321e-56
"Rpl37",9.43969320171698e-60,-0.37868228648364,0.952,0.947,2.93130792992917e-55
"Rps18",1.52247611264759e-57,-0.319949210500102,0.963,0.967,4.72774507260457e-53
"Rpl11",4.2697507397921e-56,-0.346385857789272,0.893,0.909,1.32588569722764e-51
"Ly6d",2.93110018915467e-53,0.32690832743894,0.924,0.845,9.101945417382e-49
"mt-Cytb",3.66987582563984e-51,0.257720478077578,0.966,0.922,1.13960654013594e-46
"Rpl36",8.0076683927507e-51,-0.298963609532742,0.954,0.951,2.48662126600087e-46
"Rpl37a",5.57332606476442e-50,-0.305595609285616,0.992,0.988,1.7306849428913e-45
"Rpl21",2.86337440133218e-47,-0.346862124460489,0.914,0.918,8.89163652845682e-43
"Rpl9",2.84064675595448e-45,-0.56184454440921,0.272,0.441,8.82106037126543e-41
"Hspa8",3.95842369221576e-45,0.252296205872296,0.933,0.81,1.22920930914376e-40
"Rpl36a",1.5729880756856e-44,-0.455974724252467,0.661,0.735,4.8845998714265e-40
"Rps26",2.22841440387067e-41,-0.293924784653339,0.899,0.912,6.91989524833959e-37
"Snrpg",3.97394221875887e-41,-0.635899960614951,0.123,0.273,1.23402827719119e-36
"Rpl29",2.31442725291088e-40,-0.429273115872557,0.594,0.677,7.18699094846416e-36
"Rpl28",5.33640944375287e-39,-0.257597337764205,0.883,0.913,1.65711522456858e-34
"Rpl10-ps3",9.87208271363213e-38,-0.615966250758551,0.189,0.335,3.06557784506419e-33
"Rps27",2.41185199241095e-36,-0.57169431039441,0.26,0.401,7.48952399203373e-32
"Gm11808",8.56735830544374e-36,-0.602257913135207,0.126,0.262,2.66042177458945e-31
"Rpl7a",9.45085915075749e-36,-0.502546167972879,0.328,0.461,2.93477529208472e-31
"mt-Nd4",8.34857390064572e-35,0.281026074226856,0.864,0.749,2.59248265336752e-30
"Rps12-ps3",2.13683760484899e-30,-0.49707599178563,0.04,0.134,6.63552181433756e-26
"Rps2",1.06883540561748e-28,-0.361081058207311,0.737,0.771,3.31905458506395e-24
"mt-Nd2",1.3125927411975e-28,0.3235193996826,0.669,0.514,4.07599423924059e-24
"Plac8",1.87692406763894e-27,0.326603584722037,0.625,0.476,5.8284123072392e-23
"Rpl36al",3.7631505744935e-27,-0.48995603544352,0.131,0.248,1.16857114789747e-22
"Gm6377",6.93820549751635e-27,0.444615820722281,0.245,0.126,2.15452095314375e-22
"Rpl9-ps6",3.66474769895814e-21,-0.473635487286949,0.105,0.199,1.13801410295747e-16
"Gm8186",2.02271554212191e-20,-0.394518691580952,0.044,0.117,6.28113857295117e-16
"Atp5e",3.22091712064912e-20,-0.298607524018142,0.444,0.54,1.00019139347517e-15
"Gapdh",3.52738979975354e-20,-0.423775072049791,0.101,0.192,1.09536035451747e-15
"Gm10073",5.40590605860109e-20,-0.416275336131058,0.221,0.32,1.6786960083774e-15
"Eif3e",2.33450475014821e-19,0.274399507218813,0.55,0.412,7.24933760063522e-15
"Rpl27-ps3",2.41470043579909e-18,-0.396897599197697,0.079,0.16,7.49836926328692e-14
"Atp5k",3.08816340432386e-16,-0.380937111186735,0.087,0.165,9.58967381944689e-12
"Ifi27l2a",8.38981263006478e-16,-0.40003061729015,0.311,0.403,2.60528851601402e-11
"AW112010",2.61232588081201e-14,0.301661076642296,0.284,0.189,8.11205555768555e-10
"Wdr89",3.72760171336723e-14,-0.350516748172305,0.094,0.166,1.15753216005193e-09
"Grcc10",1.29121282277155e-13,-0.330712298396493,0.059,0.12,4.00960317855249e-09
"Ndufa3",1.83746414855861e-13,-0.320099596887555,0.202,0.285,5.70587742051905e-09
"Rpl13a-ps1",1.88434136749751e-12,-0.32990889135464,0.056,0.112,5.85144524849002e-08
"Tomm7",1.24616914753456e-11,-0.260627661178436,0.226,0.303,3.86972905383907e-07
"Rab20",5.97563627165700e-11,0.258687081845206,0.109,0.058,1.85561433143765e-06
"Pet100",2.03253945771375e-10,-0.301846373170569,0.073,0.127,6.31164477803851e-06
"Cox17",1.02150622629869e-09,-0.258524028560267,0.083,0.138,3.17208328452532e-05
"Uqcr10",2.11393774510831e-09,-0.257085230303997,0.201,0.266,6.56441087988485e-05
"Actb",2.17194514131105e-08,-0.295801168752969,0.965,0.967,0.000674454124731322
"Jun",3.4012018028894e-08,0.255536015571669,0.341,0.266,0.00105617519585124
"Ucp2",4.78614623933864e-08,-0.257621492338356,0.149,0.204,0.00148624199170183
"Igha",0.956299248499205,0.278542319817271,0.278,0.273,1
