"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Klrd1",2.92757119350469e-09,-1.02120115371205,0.009,0.231,9.09098682719011e-05
"Uba52",8.67477854455932e-09,-0.707568834080917,0.005,0.192,0.000269377898144201
"Tnip1",3.76260257129652e-08,-1.05567449748807,0.033,0.308,0.00116840097646471
"Grcc10",5.82789252437576e-08,-0.960507360799383,0.047,0.346,0.00180973546559441
"Rps12-ps3",6.06813318441174e-08,-0.83736797836268,0.023,0.269,0.00188433739775538
"Rps29",7.61652016440492e-08,-1.07503545880568,0.912,0.962,0.00236515800665266
"Gapdh",2.60839963986116e-07,-1.16301737094429,0.107,0.462,0.00809986340166087
"Rpl41",5.32830014138325e-07,-0.736563676988029,0.977,1,0.0165459704290374
"Stab2",5.38086357676345e-07,-0.65585521096896,0.005,0.154,0.0167091956649235
"Slc35e2",5.92195025932503e-07,-0.383256488779332,0,0.115,0.018389432140282
"Efcc1",5.92195025932503e-07,-0.510428845702574,0,0.115,0.018389432140282
"Sumf2",5.92195025932503e-07,-0.524350795328063,0,0.115,0.018389432140282
"Fam110b",5.92195025932503e-07,-0.57915072851933,0,0.115,0.018389432140282
"Gm10076",1.13176525110832e-06,-0.745611655307462,0.033,0.269,0.0351447063426667
"Rplp1",1.28937470416144e-06,-0.900013562338005,0.967,1,0.0400389526883253
"Rps27rt",1.75615146699041e-06,-1.19199426541384,0.34,0.692,0.0545337715044531
"Rpl37a",2.7396421181781e-06,-0.477381667906043,1,1,0.0850741066957844
"mt-Atp6",4.04582290973639e-06,0.532203817333976,0.995,1,0.125634938816044
"Rpl10-ps3",8.8031620671185e-06,-1.08742409945891,0.205,0.577,0.273364591670231
"Rps18",2.43908638879662e-05,-0.506445572933965,0.981,0.962,0.757409496313016
"Rpl38",2.57270821912357e-05,-0.745805689686262,0.907,0.962,0.798903083284443
"Fut11",3.10670266371476e-05,-0.608424968452775,0.005,0.115,0.964724378163344
"Rps28",3.67311798932463e-05,-0.706783551005818,0.87,0.962,1
"Rpl13a",3.72987994922019e-05,-0.763642946781184,0.674,0.808,1
"Tcrg-C1",4.02659886688101e-05,-1.43354063282687,0.093,0.346,1
"Xcl1",4.31233935243029e-05,-0.888186293141974,0.023,0.192,1
"Rpl37",4.94809184303984e-05,-0.582935293426955,0.967,1,1
"Kansl2",5.14167160903191e-05,-0.705600544717059,0.014,0.154,1
"Rpl35",5.78725732167713e-05,-1.129448581527,0.567,0.808,1
"Snrpg",5.90993440987337e-05,-0.767856541962008,0.163,0.5,1
"H2-T23",7.42276866569506e-05,-0.774894779181826,0.223,0.577,1
"Rassf2",7.59125238728672e-05,-0.465794698031578,0.014,0.154,1
"Rps8",8.23713348915244e-05,-0.370125248152015,0.995,1,1
"Ret",8.73251816861616e-05,-0.749507893578309,0.07,0.308,1
"Rps7",0.000100966438303252,-0.426841878375728,0.981,1,1
"Rpl36",0.000104750669205372,-0.381578348411407,0.991,1,1
"Gm10269",0.000124068358170091,-0.783473014413615,0.028,0.192,1
"Rasgrp1",0.000145450908755235,-0.770902429853123,0.056,0.269,1
"Rpl36a",0.000171786652904236,-0.625936777358316,0.758,0.885,1
"Sumo2",0.000182060883931445,0.948679875159834,0.628,0.192,1
"Rpl9-ps6",0.000194968888045502,-0.860792481049368,0.135,0.423,1
"Rpl29",0.000245758363390056,-0.827867960225331,0.647,0.808,1
"Tmem39a",0.000270550956000438,-0.614307536956563,0.019,0.154,1
"Pigo",0.000324643977638887,-0.472587714213707,0.009,0.115,1
"B4galt7",0.000324643977638887,-0.493516139582534,0.009,0.115,1
"Timm9",0.000324643977638887,-0.525893818191031,0.009,0.115,1
"H2-Q4",0.000337235383339637,-0.978147901701316,0.13,0.385,1
"Rpl27",0.000340016241238875,-0.495155656691532,0.009,0.115,1
"Arhgap26",0.000356067433075884,-0.416553550804238,0.009,0.115,1
"Aars",0.000356067433075884,-0.452589672439221,0.009,0.115,1
"Tpm1",0.000356067433075884,-0.460553656278506,0.009,0.115,1
"Polr2j",0.000362158107329249,-0.827192261973668,0.121,0.385,1
"Ctc1",0.000372825099867119,-0.410202684886655,0.009,0.115,1
"Slc41a3",0.000372825099867119,-0.510718631644181,0.009,0.115,1
"Zfp330",0.000374143213971501,-0.714636992061527,0.047,0.231,1
"Ndufa3",0.000386026850538683,-0.72466700328969,0.274,0.577,1
"Las1l",0.000426411378229283,-0.720612499167765,0.047,0.231,1
"Rplp2",0.000430853704278533,-0.489818344376777,0.995,1,1
"Deptor",0.000609850223461884,-0.604135264088228,0.149,0.423,1
"Atp5g2",0.000687631823710644,-0.51986787562407,0.553,0.885,1
"Ccdc115",0.000781838255656405,-0.653290731865746,0.07,0.269,1
"Rpl14",0.000828147573238732,0.29200531501893,0.995,1,1
"Atf7ip",0.000885176240166183,-0.688869343551077,0.037,0.192,1
"Smim27",0.000909636545291573,-0.676981160365028,0.037,0.192,1
"Nlk",0.000950099484629876,-0.50225853362203,0.023,0.154,1
