"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rplp1",9.51522198224396e-33,-1.00187665813802,0.951,0.972,2.95476188214622e-28
"Rps29",6.28070942355233e-31,-1.23761980091479,0.967,0.968,1.95034869729571e-26
"Rpl35",4.39085460639223e-29,-1.14254198872298,0.713,0.91,1.36349208092298e-24
"Rpl41",3.58481987332134e-28,-0.771048495105893,0.984,0.992,1.11319411526248e-23
"Tmsb10",9.91886530261848e-27,-0.746491704254378,0.975,0.989,3.08010524242212e-22
"mt-Co2",1.86332412209221e-26,0.661354674989907,0.967,0.839,5.78618039633293e-22
"Rplp2",1.90272823330416e-26,-0.657081373485228,0.975,0.984,5.9085419828794e-22
"Rps28",1.91453614529544e-25,-0.921822979267165,0.934,0.97,5.94520909198593e-21
"Rpl21",5.48238363213971e-22,-0.625526664654526,0.943,0.976,1.70244458928835e-17
"Rpl37a",2.53874275055817e-21,-0.527627114870578,0.992,0.994,7.88355786330829e-17
"Rps27rt",2.79328418856351e-21,-1.34280135896515,0.361,0.686,8.67398539074626e-17
"Rpl38",5.05523003154157e-21,-0.904235022122255,0.869,0.921,1.5698005816946e-16
"Rps18",2.5909834283798e-20,-0.499540440157984,0.967,0.994,8.04578084014778e-16
"Rpl35a",3.50762745574702e-20,-0.44399346536128,0.951,0.995,1.08922355383312e-15
"Hspa8",8.89064497947788e-20,0.614663046802816,0.984,0.888,2.76081198547727e-15
"mt-Atp6",9.46135963627477e-19,0.452446179399714,1,0.982,2.9380360078524e-14
"Rpl37",2.97489643110229e-18,-0.536178307427595,0.984,0.99,9.23794588750194e-14
"Rps21",1.36372934146886e-17,-0.716587094569621,0.902,0.922,4.23478872406324e-13
"Rpl11",4.30335295141925e-16,-0.475166302850836,0.951,0.975,1.33632019200422e-11
"Rpl36",8.09764529361943e-14,-0.408419812847048,1,0.983,2.51456179302764e-09
"Rps8",1.57084721938229e-13,-0.339413376931506,0.992,0.999,4.87795187034784e-09
"Rpl13a",3.63979710871259e-13,-0.646893611648246,0.803,0.871,1.13026619616852e-08
"Rpl29",5.48504550401708e-13,-0.605085271960428,0.762,0.856,1.70327118036242e-08
"Rps2",6.88352674768959e-13,-0.597371480617469,0.836,0.9,2.13754156096005e-08
"Rps26",2.92235920330253e-11,-0.38522151964201,0.934,0.977,9.07480203401535e-07
"Gm11808",4.43058001433189e-11,-1.04934433714637,0.139,0.432,1.37582801185048e-06
"mt-Co3",1.11373467302581e-10,0.268832761074539,1,0.993,3.45848028014704e-06
"Prr13",1.21893601052174e-10,0.651179413458973,0.352,0.125,3.78516199347317e-06
"Hsp90aa1",3.35649003298884e-10,0.522935316854146,0.828,0.567,1.04229084994402e-05
"Ly6a",4.04754422842016e-10,0.760012321235638,0.344,0.127,1.25688390925131e-05
"Rpl36a",5.01809183024848e-10,-0.523835147519098,0.844,0.883,1.55826805604706e-05
"Rps27",8.85380624952553e-10,-0.828997572538879,0.32,0.559,2.74937245466516e-05
"Bhlhe40",9.23901091813685e-10,0.4911096733179,0.139,0.024,2.86899006040903e-05
"Rps7",9.97479371845792e-10,-0.280316308575167,0.984,0.995,3.09747269339274e-05
"AW112010",1.07348256898024e-09,0.686257635275525,0.705,0.448,3.33348542145434e-05
"S100a6",4.4423132178898e-09,0.807785704312888,0.172,0.04,0.000137947152355132
"Rpl7",8.17746652160642e-09,0.256037802598759,0.984,0.975,0.000253934867895444
"Snrpg",8.99732954026183e-09,-0.878974966379498,0.115,0.376,0.000279394074213751
"Rpl31",1.01607147745588e-08,-0.321250374394021,0.934,0.979,0.000315520675894376
"Rpl9",1.52817645242541e-08,-0.709592516799529,0.426,0.598,0.000474544633771663
"Hsp90b1",2.04681378141053e-08,0.515147257564737,0.377,0.161,0.000635597083541413
"Rpl10-ps3",2.43521339180822e-08,-0.854305530373201,0.279,0.487,0.000756206814558207
"Rpl9-ps6",3.21134279660161e-08,-0.884802980936037,0.123,0.363,0.000997218278628699
"Psma2",6.39469713357978e-08,0.529493320632835,0.566,0.335,0.00198574530089053
