"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rps28",1.58764407971177e-07,-0.54467626692177,0.859,0.952,0.00493011116072897
"Rpl7a",2.64481414781168e-07,-0.573083975519858,0.354,0.576,0.00821294137319961
"AW112010",3.60671448707365e-06,0.844423143092169,0.572,0.36,0.111999304967098
"Rpl35",6.81719025026027e-06,-0.580981940586757,0.669,0.784,0.211694208841332
"Rpl31",6.89474539411394e-06,-0.274275875369622,0.904,0.92,0.21410252872342
"Rpl10-ps3",1.64306885934595e-05,-0.519450376794429,0.232,0.416,0.510222172892698
"Yme1l1",2.58592869739418e-05,-0.382798626727937,0.026,0.128,0.803008438401816
"Rplp1",3.31259316751282e-05,-0.416407983866947,0.817,0.904,1
"Rpl41",3.89346138129632e-05,-0.391965971658406,0.958,0.976,1
"Rpl9",4.41566197032777e-05,-0.535270335515559,0.219,0.4,1
"Rpl21",5.48454554873755e-05,-0.417662911713669,0.817,0.848,1
"Rps2",6.29756847823339e-05,-0.48096514759149,0.572,0.688,1
"Herc1",7.05378818702547e-05,-0.347614485164017,0.055,0.176,1
"Rps29",7.33525975450759e-05,-0.540184239492432,0.916,0.96,1
"H2-Q7",7.61775207745202e-05,-0.313084456972418,0.305,0.52,1
"Rpl37",0.000118713807891407,-0.269660889760164,0.942,0.952,1
"Cd7",0.000143719997047014,-0.588249323518164,0.148,0.304,1
"Cdc42",0.000148336458319584,0.391939900772742,0.781,0.632,1
"Ctcf",0.000155025446595729,-0.413088356666276,0.055,0.168,1
"Sept11",0.000273934906606621,-0.360291626100644,0.045,0.144,1
"Atic",0.00029329820722043,-0.397910260785997,0.032,0.12,1
"Zfp91",0.000320818703889621,-0.348656614074228,0.045,0.144,1
"Rps12-ps3",0.000355606494562189,-0.363666862223063,0.051,0.152,1
"Nelfe",0.000455084414584838,-0.342538584719022,0.039,0.128,1
"Smad7",0.000468947812678009,-0.36800308265985,0.064,0.176,1
"Ddx50",0.000520922111969392,-0.310657847770737,0.093,0.216,1
"Lgals3",0.000606087898276528,0.431775353227045,0.643,0.496,1
"Rpl37a",0.000614169863169211,-0.256084365484337,0.994,0.984,1
"Acap2",0.000801325749824251,-0.311036909207893,0.032,0.112,1
"Txnl4a",0.000902702864831336,-0.403278903112256,0.093,0.208,1
"Grap",0.000927071174919039,-0.306438072709523,0.042,0.128,1
"Prpf38b",0.00111017764258861,-0.300759213686805,0.119,0.248,1
"Drap1",0.00131768042595228,-0.406587139689757,0.106,0.224,1
"Rassf2",0.00141430918320989,-0.387790176632623,0.048,0.136,1
"Rpl9-ps6",0.00150829926403266,-0.364409469346341,0.106,0.224,1
"Rpl36a",0.00152832239456877,-0.347640459104352,0.614,0.736,1
"Cndp2",0.00160296061769562,-0.378090207889392,0.08,0.184,1
"Capzb",0.00164260967341069,0.298252049451258,0.714,0.608,1
"Rpl38",0.00169381704306163,-0.383605665374806,0.855,0.904,1
"S100a4",0.00172362187136176,-0.32573438039116,0.19,0.336,1
"Slamf6",0.00174236850906686,-0.263326858606765,0.035,0.112,1
"Cnot6l",0.00204200106421428,-0.378499936083943,0.055,0.144,1
"Cox6a2",0.00221436752890109,-0.801858654424864,0.042,0.12,1
"Mbnl1",0.00228912316382161,-0.278580962007076,0.212,0.36,1
"Son",0.00252435083843276,-0.253915505383506,0.363,0.536,1
"Atpif1",0.00263280103532404,0.449441367691882,0.505,0.352,1
"Itpr1",0.002827456645989,-0.268688022243398,0.068,0.16,1
"Arl6ip5",0.00295480050648215,-0.334723424977768,0.235,0.368,1
"Tmsb10",0.00310221970685489,-0.374512727906792,0.83,0.904,1
"Apol7c",0.00317375249878534,0.519462481956456,0.277,0.136,1
"Arfgap2",0.00327655247559407,-0.280977438889742,0.064,0.152,1
"Rps21",0.00343251530826244,-0.414729645750378,0.772,0.808,1
"Hypk",0.00345692725239144,-0.252441885749494,0.058,0.144,1
"Phf21a",0.00353311520480486,-0.366432047827836,0.039,0.112,1
"Iglc3",0.00353412392471048,-0.505717572293077,0.122,0.232,1
"P2ry6",0.00353595571291184,-0.295284836902529,0.058,0.144,1
"Lgals1",0.00384999936505507,-0.784219904186397,0.286,0.408,1
"Mtdh",0.0039130593059455,-0.342903004664945,0.296,0.44,1
"Ccl9",0.00425513689241926,-0.408512816542336,0.154,0.28,1
"Prkca",0.00436008922215771,-0.271152362378486,0.08,0.176,1
"Bst2",0.0044057286942302,-0.524280824610881,0.331,0.456,1
"Elf1",0.00442798903353735,-0.296017283499696,0.167,0.288,1
"Ythdc1",0.00479229118836165,-0.262912700222299,0.18,0.304,1
"Klhl24",0.00484521379117464,-0.265649146173525,0.051,0.128,1
"Siglech",0.00484824394180533,-0.664599025750349,0.074,0.16,1
"Ogfr",0.00505833220681098,0.336545973085957,0.145,0.048,1
"Zeb2",0.00507328282533853,-0.358645256602616,0.17,0.288,1
"Ccdc50",0.00510413756458685,0.367967893768644,0.158,0.056,1
"Rpl29",0.00521020739237782,-0.413383001038269,0.566,0.64,1
"Bptf",0.00525253615961143,-0.341507428499164,0.051,0.128,1
"Cflar",0.00534219835308235,-0.334513143706737,0.077,0.168,1
"Nr3c1",0.0056169781368565,-0.292491472522724,0.068,0.152,1
"Sdc4",0.00572429918956884,-0.258578487830894,0.061,0.144,1
"Bcl3",0.00582286720838163,-0.291977065064163,0.068,0.152,1
"Ms4a7",0.00590629795192049,0.622338825223188,0.183,0.08,1
"Pnisr",0.00669632457514918,-0.385570209941965,0.093,0.184,1
"Irf8",0.00676492824863648,-0.389147990656534,0.293,0.44,1
"Map2k2",0.00698112882607973,-0.321465508569616,0.186,0.304,1
"Pcyt2",0.007084360592968,-0.303440986767943,0.064,0.144,1
"Rps27",0.00719767041646797,-0.501049159858143,0.154,0.256,1
"N4bp2l2",0.0081417480546466,-0.363261100109155,0.119,0.216,1
"Hspa14",0.00850004398913217,0.254219407563101,0.113,0.032,1
"Slc38a1",0.00853792413810131,-0.276022600869214,0.186,0.296,1
"Cebpb",0.00863612236522268,-0.444592202348081,0.251,0.376,1
"Rab18",0.00896555340702204,-0.318619018314041,0.119,0.216,1
"Gatad2b",0.00908619976825385,-0.301104961384356,0.055,0.128,1
"Cd9",0.00933693154511985,0.490546459183364,0.338,0.224,1
"Peli1",0.00943603573932487,-0.272088871449405,0.122,0.224,1
"Tiprl",0.00946200617056268,-0.36176739853616,0.074,0.152,1
"Havcr2",0.00985819841148711,0.359320650536448,0.132,0.048,1
"Rps27rt",0.0100659109252969,-0.518548639206254,0.338,0.424,1
"Hnrnph1",0.0105273181266643,-0.442160071715593,0.119,0.208,1
