"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rpl41",1.34338906060671e-15,-0.576177819151142,0.929,0.977,4.171626049902e-11
"mt-Atp6",2.00500072659774e-14,0.416885463854877,0.998,0.985,6.22612875630398e-10
"Rplp1",2.56130660293629e-13,-0.681305022376822,0.814,0.916,7.95362539409806e-09
"Rplp2",7.08112395212147e-11,-0.479274801550685,0.901,0.931,2.19890142085228e-06
"Tmsb10",2.2402462565536e-10,-0.611181993706587,0.797,0.87,6.95663670047589e-06
"Rpl35",4.29419856836523e-10,-0.800717643298984,0.622,0.824,1.33347748143445e-05
"mt-Co2",3.80194886496678e-09,0.356704374415782,0.952,0.924,0.000118061918103813
"H2-Aa",6.73698361143385e-09,0.277538904672502,0.952,0.939,0.000209203552085855
"H3f3b",2.56708188828367e-08,0.456852841753825,0.978,0.977,0.000797155938768727
"Rpl37",2.8475735443403e-08,-0.370605242912668,0.929,0.969,0.000884257012723992
"Rps28",5.88515283248211e-08,-0.628704484705289,0.881,0.924,0.00182751650907067
"Rps27rt",6.56208507304007e-08,-0.766040705695867,0.365,0.565,0.00203772427773113
"Rpl9",1.16463060775151e-07,-0.606353655422428,0.235,0.473,0.00361652742625077
"Rpl13a",2.50022765787241e-07,-0.612811400684336,0.577,0.702,0.00776395694599119
"Rpl28",2.86436770824222e-07,-0.348838677353065,0.853,0.924,0.00889472104440455
"Rpl13a-ps1",3.33177365354742e-07,-0.597305323065243,0.037,0.16,0.0103461567263608
"Rps7",4.10707557182791e-07,-0.309053606739741,0.946,0.939,0.0127537017731972
"Rpl35a",6.24029293908847e-07,-0.273787003918732,0.946,0.969,0.0193779816637514
"Rps29",1.33269524491315e-06,-0.645978999638555,0.935,0.954,0.041384185440288
"Rpl37a",1.57064375320409e-06,-0.353004212411096,0.972,0.977,0.0487732004682465
"Rps27",2.66147217106174e-06,-0.671987340367005,0.263,0.45,0.0826466953279803
"Rpl11",2.98321161770837e-06,-0.382779318743657,0.857,0.901,0.092637670364698
"Rps18",3.00049024215242e-06,-0.295464139545485,0.933,0.954,0.0931742234895592
"Rps21",4.58058470394659e-06,-0.502384070896901,0.797,0.87,0.142240896811653
"Klf2",4.7597327563265e-06,0.620253690176616,0.749,0.618,0.147803981282207
"Rpl31",5.99473085261365e-06,-0.278985603721346,0.868,0.947,0.186154377166212
"Rps15",6.40538017013216e-06,-0.270246701131171,0.972,0.985,0.198906270423114
"Rpl36a",8.45466024079962e-06,-0.438437982362976,0.665,0.794,0.262542564457551
"Rpl36al",9.19323422966067e-06,-0.600885435503034,0.114,0.267,0.285477502533653
"mt-Cytb",1.01605345602479e-05,0.254927633616581,0.959,0.977,0.315515079699379
"Jun",1.93130189271807e-05,0.708698462865714,0.559,0.397,0.599727176745742
"Rpl21",2.77593815607258e-05,-0.405570312845768,0.879,0.954,0.862012075605217
"Rpl10-ps3",2.84353046407193e-05,-0.686818629395224,0.156,0.305,0.883001515008257
"Uba52",2.84714130580397e-05,-0.429502640917969,0.024,0.107,0.884122789691307
"Gm10073",3.50889705034773e-05,-0.488587616398147,0.222,0.397,1
"Rps12-ps3",6.51238260549045e-05,-0.362804600889983,0.048,0.153,1
"Setd2",6.88313940087473e-05,-0.426388763967771,0.05,0.153,1
"mt-Nd1",7.75823822327516e-05,0.282474935513756,0.946,0.947,1
