"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-Atp6",6.02499329854845e-21,0.42035314968536,0.997,0.956,1.87094116899825e-16
"Rpl35",8.97682339893756e-20,-0.933086616556082,0.376,0.667,2.78757297007208e-15
"Rps29",9.31281523075216e-19,-0.82946478968875,0.834,0.906,2.89190851360547e-14
"Rpl41",7.06141100496224e-18,-0.656661048885246,0.897,0.967,2.19277995937092e-13
"Rps27rt",4.40904264157001e-17,-0.897073450771957,0.2,0.494,1.36914001148674e-12
"Rpl36",8.49486170988777e-15,-0.471441819968133,0.862,0.922,2.63790940677145e-10
"Tmsb10",1.59768434781928e-14,-0.583364208192263,0.92,0.95,4.9612892052832e-10
"Rpl37a",2.4397271037653e-14,-0.446609429993094,0.958,0.983,7.57608457532239e-10
"Rplp1",2.53934968091866e-14,-0.668912779414475,0.769,0.833,7.88544256415672e-10
"Rps21",2.63646916096365e-14,-0.645809488981987,0.654,0.844,8.18702768554042e-10
"mt-Co2",3.2624512904969e-14,0.512163606639205,0.91,0.711,1.013088999238e-09
"mt-Co1",2.74352738251337e-12,0.303780946451316,0.983,0.961,8.51947558091876e-08
"Rps28",2.9652456820928e-12,-0.604225913166277,0.734,0.85,9.20797741660277e-08
"Tmsb4x",3.99079368296066e-12,0.283941692106061,1,0.994,1.23926116236977e-07
"Rpl38",2.78117623217313e-11,-0.623550721660338,0.699,0.8,8.63638655376723e-07
"Rplp2",2.8112068018163e-11,-0.442684254653773,0.857,0.944,8.72964048168016e-07
"Rpl37",1.44015402364848e-10,-0.50440903727358,0.87,0.939,4.47211028963563e-06
"Rpl11",1.92293401509244e-10,-0.48986203707571,0.779,0.844,5.97128699706656e-06
"Rpl21",2.61235181499352e-10,-0.539516463397826,0.779,0.856,8.11213609109937e-06
"Rpl36a",2.71408148976455e-10,-0.528401384436731,0.441,0.661,8.42803725016584e-06
"Rps26",9.01226860665918e-10,-0.392980450730671,0.689,0.817,2.79857977042587e-05
"Bst2",1.15422899056726e-09,-0.61429538636601,0.141,0.344,3.58422728440853e-05
"Rpl36al",1.27338166232531e-09,-0.802826480103276,0.095,0.261,3.95423207601878e-05
"Rps15",1.40715461357357e-09,-0.250990163813238,0.957,0.983,4.36963722153001e-05
"Rpl35a",3.5776519266498e-09,-0.358187752157285,0.882,0.944,0.000111096825278256
"Rps18",4.15184764654126e-09,-0.459892540436091,0.852,0.917,0.000128927324968046
"Rpl13a-ps1",5.18210386458086e-09,-0.672133987201562,0.018,0.117,0.000160919871306829
"Gm11808",9.58407795514223e-09,-0.620483381783627,0.085,0.244,0.000297614372741032
"Rpl10-ps3",1.33417320333006e-08,-0.798208600164597,0.136,0.306,0.000414300804830083
"S100a6",1.3553288671991e-08,0.793894085467835,0.356,0.133,0.000420870273131338
"Rpl13a",1.66640870017752e-08,-0.564054677483217,0.434,0.617,0.000517469893666127
"Il22",2.33493725071571e-08,-1.28549279753924,0.22,0.417,0.000725068064464748
"AW112010",2.49432436160802e-08,0.362895879603751,0.918,0.85,0.000774562544010139
"Ncr1",5.49419945313836e-08,0.850926851347933,0.303,0.1,0.00170611375618305
"Cxcr6",6.64290824876653e-08,0.545445421104616,0.686,0.544,0.00206282229848947
"Snrpg",7.37681465403705e-08,-0.644101084629762,0.11,0.261,0.00229072225451812
"Gapdh",8.57317661949979e-08,-0.558475372848157,0.105,0.261,0.00266222853565327
"Rpl28",9.47962035683954e-08,-0.371208419553446,0.689,0.828,0.00294370650940938
"Rpl31",1.3783057955692e-07,-0.341307409250025,0.767,0.85,0.00428005298698103
"Hypk",2.42097227094882e-07,-0.564011139411457,0.033,0.133,0.00751784519297738
"Rps17",2.49237714774758e-07,-0.345514623716054,0.765,0.878,0.00773957875690056
"Gm10073",7.10167894719055e-07,-0.463395788502735,0.191,0.367,0.0220528436347108
"mt-Nd1",7.61566100842693e-07,0.260637350863446,0.91,0.867,0.0236489121294682
"Gimap4",1.72807450370997e-06,0.513634377814849,0.524,0.339,0.0536618975637056
"Rpl17",3.25587473605347e-06,-0.25293184298991,0.922,0.967,0.101104678178668
"Rps8",8.34094842968973e-06,-0.259851852295233,0.905,0.939,0.259011471587155
"Xist",8.55584554301115e-06,-0.288844263819443,0.847,0.883,0.265684671647125
"Btg2",9.68919977064655e-06,0.379164245120289,0.9,0.828,0.300878720477887
"Tcrg-C1",1.06023244845526e-05,-0.544145634415016,0.108,0.239,0.329233982218812
"Rpl9",1.17001278284464e-05,-0.570678928688909,0.205,0.344,0.363324069456748
"Rps2",1.73072081195278e-05,-0.454170770725688,0.493,0.6,0.537440733735696
"Hspa5",2.30528300370227e-05,0.341422855217547,0.592,0.406,0.715859531139666
"Rpl27-ps3",2.65949064964862e-05,-0.323828869728859,0.043,0.133,0.825851631435386
"Rpl29",2.70619008075381e-05,-0.475563817782835,0.454,0.583,0.84035320577648
"Atp5e",2.95065072352354e-05,-0.406808678682602,0.463,0.594,0.916265569175765
"Spry2",3.6554330879861e-05,-0.714857493330597,0.087,0.194,1
"Grcc10",3.93031552831833e-05,-0.524012457177713,0.048,0.133,1
"Gem",6.18352557392521e-05,-0.387038986258255,0.464,0.606,1
"Rpl7a",6.45468639644093e-05,-0.507455011242128,0.22,0.35,1
"Pcp4",6.5404428556883e-05,0.276911566505807,0.318,0.15,1
"Nkg7",8.90656714164608e-05,0.527926439401972,0.306,0.161,1
"Rps7",9.3857492115047e-05,-0.261655165102427,0.837,0.872,1
"Serpinb1a",0.000100540356540405,0.375263340391682,0.602,0.428,1
"Cldnd1",0.000131630233676081,0.430356813217927,0.246,0.111,1
"Chad",0.000142391424365348,-0.475503692490516,0.077,0.172,1
"Klrb1f",0.000156375648662475,0.492768420968053,0.116,0.022,1
"Gadd45g",0.000161209574151515,-0.43330405067813,0.088,0.189,1
"Spcs2",0.00017419245768224,0.319865904851958,0.567,0.389,1
"Emp3",0.000180799358836067,0.642599389978598,0.206,0.089,1
"Uqcrb",0.000245853954223093,0.4227808036256,0.464,0.311,1
"Ltb4r1",0.000247495351327298,0.457986684026803,0.288,0.15,1
"Hmgb1",0.000249404846391249,-0.344674444085838,0.308,0.444,1
"Cxcr3",0.000259968593011045,0.50315981724679,0.196,0.078,1
"AC163354.1",0.000279857184613762,0.530193998145747,0.265,0.139,1
"Rasl11a",0.000316951168318548,-0.568943107820882,0.193,0.311,1
"Lmna",0.000421429843162123,-0.407644427770507,0.048,0.122,1
"Cd69",0.000512317883387212,0.357612593074837,0.524,0.378,1
"mt-Nd2",0.000520354521080322,0.330932883558441,0.619,0.5,1
"Cnn2",0.000535695304770288,0.422381164154371,0.329,0.2,1
"H2afz",0.000607307037210349,0.367912998306567,0.646,0.544,1
"Anxa2",0.000710192827821835,0.489624147872871,0.158,0.061,1
"Pnisr",0.000777289787844661,0.404571563048415,0.13,0.039,1
"Slc3a2",0.000985556411745555,0.407277043831144,0.401,0.278,1
"Ppp1r12a",0.00130521110651674,0.387241629136782,0.298,0.178,1
"Rps27",0.00131524022929348,-0.471149782206212,0.153,0.244,1
"Mrpl13",0.00145323407534085,0.408437375489335,0.103,0.028,1
"Tomm7",0.00159582749481631,-0.35365945626055,0.298,0.417,1
"mt-Nd5",0.00160605595845314,0.429615602946143,0.275,0.167,1
"Ccdc184",0.00174034249814209,-0.356568853356107,0.118,0.211,1
"Gm47283",0.00209313425383576,-0.327032125470855,0.048,0.111,1
"Gm26740",0.00216070522223703,0.433183768510707,0.243,0.139,1
"Jund",0.00226039630353088,-0.300508901175557,0.691,0.744,1
"Ctsw",0.002386214020798,0.305717890474115,0.359,0.233,1
"Atp5g2",0.00271748088133435,-0.335001157026195,0.386,0.478,1
"Bet1",0.00294312550840743,0.404354149639656,0.113,0.039,1
"Bin2",0.00295031819919849,-0.295848065768484,0.115,0.2,1
"Cox6c",0.00296786990492928,-0.253380577260592,0.732,0.789,1
"Akr1b3",0.00305661672331525,0.332251510045064,0.261,0.156,1
"Plcg2",0.00310456609104604,-0.419282051937231,0.072,0.139,1
"Oxa1l",0.00323886727684211,-0.319036519238212,0.047,0.106,1
"S100a4",0.00329599441267356,-0.556644602275845,0.145,0.228,1
"Cdc42se2",0.00335053531092976,0.347198072487594,0.136,0.056,1
"Nfkb2",0.00337433654106142,-0.329620415782525,0.073,0.144,1
"Ptpn1",0.00338702417715456,0.349576806091036,0.136,0.056,1
"Relb",0.00358358950150685,-0.348787206383419,0.065,0.133,1
"Tmem258",0.00368328763623431,-0.306139975968991,0.23,0.339,1
"Bcl2a1b",0.0037625588366687,0.472032032105559,0.165,0.078,1
"Sypl",0.00382173897755519,-0.320489250016489,0.067,0.133,1
"Mcl1",0.00393751281375295,-0.368383730973655,0.105,0.183,1
"Capg",0.00399381950811556,0.314540331807817,0.516,0.406,1
"Nmrk1",0.0040006798515844,-0.525129711530575,0.052,0.111,1
"Rpl22l1",0.00422014450513451,0.25837068694548,0.631,0.544,1
"Odc1",0.00432412035465754,-0.336173452543376,0.498,0.578,1
"Ndufa2",0.00441160247204149,-0.339318240454039,0.381,0.467,1
"Marcksl1",0.00450120870234561,-0.538419450035058,0.101,0.178,1
"Mcts1",0.00456095182670234,0.354151679620082,0.126,0.05,1
