"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rpl41",1.59190621574745e-295,-0.66618663828651,0.946,0.974,4.94334637176056e-291
"Rpl35",2.46408628163138e-291,-0.970869127571957,0.594,0.789,7.65172713034993e-287
"mt-Atp6",1.0567122310916e-264,0.408657007327192,0.991,0.981,3.28140849120875e-260
"Rplp1",1.00957568627357e-255,-0.788114285997894,0.833,0.902,3.13503537858533e-251
"Tmsb10",2.84581081176957e-255,-0.73137193581849,0.855,0.929,8.83709631378806e-251
"Rplp2",1.0891505009818e-242,-0.566771398959558,0.923,0.954,3.38213905069877e-238
"Rps28",4.36641634905782e-210,-0.722899603846991,0.865,0.923,1.35590326887292e-205
"Rps29",1.5625314774435e-209,-0.854287838850999,0.918,0.934,4.85212899690531e-205
"Rpl35a",2.41236833559239e-201,-0.375655576860168,0.958,0.983,7.49112739251505e-197
"Rps18",1.94877695311886e-196,-0.474682273338139,0.937,0.967,6.05153707252001e-192
"Rps27rt",1.95195695772179e-189,-0.978875101073166,0.306,0.545,6.06141194081348e-185
"mt-Co2",1.01647745028671e-173,0.410517880425164,0.944,0.853,3.15646742637533e-169
"Rpl21",8.0263926175246e-168,-0.487089450566033,0.876,0.924,2.49243569951992e-163
"Rps8",1.22162528855272e-164,-0.330885054835819,0.97,0.986,3.79351300854275e-160
"Rpl37",2.15052237535452e-162,-0.446110708447225,0.94,0.959,6.67801713218839e-158
"Rpl11",5.82037578314052e-162,-0.441038179143919,0.871,0.922,1.80740129193863e-157
"Rps7",1.70382843282983e-158,-0.364667220639888,0.934,0.967,5.29089843246646e-154
"Rps21",1.10335827864996e-154,-0.592175557576627,0.779,0.844,3.42625846269171e-150
"Rpl13a",1.28513349776678e-154,-0.645477472836816,0.59,0.735,3.99072505061519e-150
"Rpl31",4.9913590947596e-151,-0.374169116621324,0.875,0.936,1.5499667396957e-146
"Rpl37a",4.69177777912344e-150,-0.385767536682514,0.986,0.99,1.4569377537512e-145
"Rpl28",3.79681184005679e-143,-0.371745676972699,0.841,0.921,1.17902398069284e-138
"Rps26",1.4775554053419e-142,-0.397577915213721,0.85,0.924,4.58825280020819e-138
"AW112010",1.04111496751667e-139,0.924845269692594,0.525,0.3,3.23297430862953e-135
"Rps15",1.27594011254917e-139,-0.270725508195263,0.979,0.99,3.96217683149894e-135
"Rpl38",2.05043935296729e-138,-0.616851820128279,0.791,0.837,6.36722932276934e-134
"Rps2",2.43699351228471e-134,-0.574332473886213,0.673,0.789,7.56759595369772e-130
"Rpl36a",7.09050187369095e-133,-0.574425049296422,0.631,0.764,2.20181354683725e-128
"Rpl36",4.31622961977109e-129,-0.360797611202819,0.938,0.957,1.34031878382752e-124
"Rpl29",2.92010975851397e-127,-0.558587046324753,0.571,0.714,9.06781683311344e-123
"Hspa8",1.96734999292133e-114,0.346795707222957,0.938,0.845,6.1092119330186e-110
"Rpl9",4.22838359742071e-114,-0.653198789371719,0.266,0.468,1.31303995850705e-109
"Rps17",1.0764467229248e-112,-0.305022241573106,0.897,0.943,3.3426900086984e-108
"B2m",4.42533290462805e-104,0.295293353581336,0.984,0.971,1.37419862687415e-99
"H3f3b",4.1280297638342e-102,0.381182954084905,0.97,0.952,1.28187708256343e-97
"Rps27",9.70191333891089e-100,-0.67622924574756,0.236,0.42,3.012735149132e-95
"Rpl10-ps3",1.69394097555475e-98,-0.702020716026497,0.18,0.361,5.26019491139018e-94
"Rpl7a",3.55651016942664e-97,-0.600710631350352,0.314,0.492,1.10440310291205e-92
"Gm11808",2.49110391739522e-96,-0.68835687221936,0.123,0.292,7.73562499468736e-92
"Itm2b",2.99326487566154e-96,0.600231251065582,0.725,0.571,9.29498541839178e-92
"Snrpg",6.424923560449e-84,-0.616394427259641,0.136,0.298,1.99513151322623e-79
"Tmem176a",2.32065542422978e-81,0.869652786115547,0.186,0.055,7.20633128886073e-77
"S100a6",6.3320573890941e-79,0.887120770775191,0.193,0.062,1.96629378103539e-74
"Rpl36al",8.31405342406494e-76,-0.581267396079442,0.133,0.285,2.58176300977489e-71
"Tmem176b",1.92133026492653e-74,0.757049953609579,0.196,0.066,5.96630687167636e-70
"Ddx5",4.1454156120997e-74,0.266842401349007,0.918,0.846,1.28727591002532e-69
"Sub1",1.91202165215804e-69,0.359775733696587,0.728,0.579,5.93740083644637e-65
"Gm10073",5.54369522690554e-68,-0.546665810204614,0.235,0.384,1.72148367881098e-63
"Rps12-ps3",5.83964941302468e-66,-0.495882732454291,0.04,0.143,1.81338633222655e-61
"Cxcr6",2.33928168742287e-64,0.837155640274544,0.134,0.035,7.26417142395423e-60
"Rpl9-ps6",6.39594645245512e-63,-0.552242985346016,0.101,0.229,1.98613325188089e-58
"H3f3a",6.2083621357295e-62,-0.303260986091409,0.707,0.806,1.92788269400808e-57
"Nkg7",8.7447947906486e-58,0.990013791935847,0.251,0.129,2.71552112634011e-53
"Id2",2.52668511320506e-56,0.664706936244408,0.257,0.13,7.84611528203567e-52
"Hspa5",6.70069009217985e-53,0.354019115069053,0.548,0.399,2.08076529432461e-48
"Cd79a",1.02021949543672e-52,-0.323572859396856,0.634,0.743,3.16808759917965e-48
"Junb",1.55369120611659e-51,0.478275659841891,0.841,0.775,4.82467730235385e-47
"Rpl27-ps3",1.65689930815741e-48,-0.439581609912273,0.078,0.181,5.14516942162119e-44
"Rgs1",4.86712712495832e-47,0.659832898677273,0.312,0.191,1.51138898611331e-42
"Ifi27l2a",1.81723800952088e-46,-0.441367940379765,0.263,0.4,5.64306919096519e-42
"Rora",1.91950030404769e-46,0.49791328259614,0.106,0.03,5.96062429415928e-42
"Lef1",2.13913303342428e-45,-0.526788500853521,0.035,0.111,6.64264980869241e-41
"Gapdh",2.55476671440131e-44,-0.428676888656961,0.124,0.233,7.9333170782304e-40
"Gm8186",5.80953024476611e-44,-0.394389329342722,0.046,0.128,1.80403342690722e-39
"Dnaja1",6.84877793805181e-44,0.435906401771809,0.496,0.361,2.12675101310323e-39
"Grcc10",1.58864682519288e-43,-0.415265288803236,0.051,0.134,4.93322498627146e-39
"Jun",3.84408228481e-42,0.621132648107007,0.442,0.322,1.19370287190205e-37
"Bhlhe40",1.81715559910876e-41,0.465789241635895,0.216,0.111,5.64281328191243e-37
"Uqcrb",3.68114537066695e-41,0.350428647459437,0.408,0.274,1.14310607195321e-36
"Rpl13a-ps1",1.27060949485384e-39,-0.408214323589141,0.049,0.126,3.94562366436962e-35
"Hsp90aa1",1.89883733255029e-39,0.261323010456858,0.7,0.589,5.8964595687684e-35
"Btg2",1.05528207634031e-37,0.531354920251047,0.558,0.453,3.27696743165958e-33
"Serpina3g",3.12373685720192e-37,0.434830664630975,0.122,0.047,9.70014006266912e-33
"Nabp1",2.68742308499532e-36,0.592658823663166,0.161,0.077,8.34525490583596e-32
"H2-K1",3.25088317460817e-36,0.260082937934577,0.821,0.765,1.00949675221107e-31
"Ckb",4.46005294660601e-36,0.537610090941323,0.116,0.045,1.38498024150956e-31
"mt-Nd2",8.72596172736412e-36,0.282002117943598,0.628,0.515,2.70967289519838e-31
"Psmb8",9.09921972568518e-36,0.253162321034206,0.657,0.546,2.82558070141702e-31
"Il7r",1.38282406657215e-34,0.521626072840056,0.14,0.063,4.29408357392649e-30
"Smpdl3a",3.08675521628607e-34,0.377627273041744,0.157,0.076,9.58530097313313e-30
"Iglc2",1.09163986922154e-33,-0.30292186168202,0.501,0.609,3.38986928589363e-29
"Emb",5.62539673794295e-33,0.508655079323694,0.23,0.137,1.74685444903342e-28
"Wdr89",5.73492987795609e-33,-0.35734511303694,0.1,0.188,1.7808677750017e-28
"Ccl5",2.24307516551202e-32,1.46891888335525,0.373,0.284,6.96542131146446e-28
"Casp1",3.21308676212079e-32,0.317999113266567,0.106,0.041,9.97759832241367e-28
"S100a10",4.48416717455913e-32,0.341184600136905,0.535,0.427,1.39246843271585e-27
"Gimap4",7.21227654433507e-32,0.33435923014864,0.436,0.326,2.23962823531237e-27
"Actb",1.9866867155937e-31,-0.359551124439217,0.956,0.972,6.16925825793312e-27
"Prr13",1.04076442232709e-30,0.331005337001496,0.334,0.229,3.23188576065231e-26
"Dusp1",1.22603443087282e-30,0.387093755124982,0.426,0.322,3.80720471818938e-26
"Satb1",3.77911582558948e-30,-0.347264717353041,0.152,0.246,1.1735288373203e-25
"Gm8369",9.12407595839977e-30,-0.35758198872349,0.255,0.355,2.83329930736188e-25
"Itm2c",1.58686271588896e-29,0.375136107444217,0.149,0.075,4.92768479164998e-25
"Fcer1g",1.76764619048012e-29,0.613905415206698,0.21,0.126,5.48907171529792e-25
"Atf3",3.02098294020235e-29,0.534013388086725,0.102,0.041,9.38105832421037e-25
"Gm2000",3.41015424859018e-29,-0.314660138889617,0.044,0.106,1.05895519881471e-24
"Ebf1",5.42905685784209e-28,-0.257211246766796,0.498,0.596,1.6858850260657e-23
"Iglc3",5.97000973676306e-28,-0.280352761544505,0.45,0.542,1.85386712355703e-23
"Atp5k",8.36074930816537e-28,-0.328403522887754,0.111,0.192,2.59626348266459e-23
"Nrip1",3.21980870678265e-27,0.424768579378379,0.146,0.077,9.99847197717216e-23
"Fcmr",3.62954709939906e-27,-0.307764016590945,0.34,0.44,1.12708326077639e-22
"Fcer2a",3.29935443229027e-26,-0.363705647949432,0.148,0.23,1.0245485318591e-21
"Aplp2",2.69706022235389e-25,0.386026626221241,0.138,0.072,8.37518110847554e-21
"Cd82",1.86161545782632e-24,0.321808129697663,0.236,0.152,5.78087448118807e-20
"Tspo",2.03066666444179e-24,0.294690171053625,0.421,0.325,6.30582919309108e-20
