"CellTypes","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
B-cell_age.DEG.wilcox.csv,"mt-Atp6",1.34324998355484e-229,0.481482836798604,0.997,0.984,4.17119417393284e-225
B-cell_age.DEG.wilcox.csv,"Tmsb10",2.30672504107788e-143,-0.658407947999122,0.822,0.908,7.16307327005915e-139
B-cell_age.DEG.wilcox.csv,"mt-Co2",4.32725126488075e-134,0.464559945000643,0.971,0.858,1.34374133528342e-129
B-cell_age.DEG.wilcox.csv,"Rplp1",2.56796488104824e-126,-0.701607248459575,0.824,0.883,7.97430134511911e-122
B-cell_age.DEG.wilcox.csv,"mt-Co3",9.74375300696799e-122,0.32415032167078,0.996,0.995,3.02572762125377e-117
B-cell_age.DEG.wilcox.csv,"Rpl41",4.25437766451827e-109,-0.574059884134551,0.955,0.966,1.32111189616286e-104
B-cell_age.DEG.wilcox.csv,"Rpl35",3.39869726705843e-104,-0.781303112498608,0.649,0.761,1.05539746233965e-99
B-cell_age.DEG.wilcox.csv,"Rplp2",1.84684045749808e-103,-0.47824312271932,0.931,0.943,5.7349936726688e-99
B-cell_age.DEG.wilcox.csv,"Rps27rt",2.12398051232841e-86,-0.948397667900069,0.31,0.519,6.59559668493341e-82
B-cell_age.DEG.wilcox.csv,"mt-Co1",2.01971522178084e-79,0.294751113413394,0.994,0.976,6.27182167819606e-75
B-cell_age.DEG.wilcox.csv,"Rps28",2.95293778367771e-74,-0.567993677402514,0.897,0.91,9.16975769965438e-70
B-cell_age.DEG.wilcox.csv,"Rps29",5.34473154630312e-74,-0.70307580061646,0.935,0.922,1.65969948707351e-69
B-cell_age.DEG.wilcox.csv,"Rpl38",2.50990866807133e-67,-0.589830107779887,0.782,0.812,7.79401938696189e-63
B-cell_age.DEG.wilcox.csv,"Rps21",1.02794844262553e-64,-0.517194619237244,0.796,0.82,3.19208829888506e-60
B-cell_age.DEG.wilcox.csv,"Rpl13a",5.96233821281814e-64,-0.565713780804443,0.592,0.699,1.85148488522642e-59
B-cell_age.DEG.wilcox.csv,"mt-Nd1",2.2717848127341e-60,0.296773552744972,0.967,0.925,7.05457337898321e-56
B-cell_age.DEG.wilcox.csv,"Rpl37",9.43969320171698e-60,-0.37868228648364,0.952,0.947,2.93130792992917e-55
B-cell_age.DEG.wilcox.csv,"Rps18",1.52247611264759e-57,-0.319949210500102,0.963,0.967,4.72774507260457e-53
B-cell_age.DEG.wilcox.csv,"Rpl11",4.2697507397921e-56,-0.346385857789272,0.893,0.909,1.32588569722764e-51
B-cell_age.DEG.wilcox.csv,"Ly6d",2.93110018915467e-53,0.32690832743894,0.924,0.845,9.101945417382e-49
