"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"H2.Aa",6.35479050433568e-218,1.68346163379825,0.782,0.027,1.17099724623394e-213
"Cd74",1.56096715252832e-215,2.64603873484154,0.906,0.272,2.87639417196394e-211
"H2.Eb1",2.50570338749958e-213,1.46574960079641,0.809,0.075,4.61725963214547e-209
"H2.Ab1",4.89938833275311e-204,2.02866451548079,0.854,0.201,9.02810288076416e-200
"Psmb8",1.12499891494199e-171,1.42186598565055,0.967,0.821,2.07303550056361e-167
"Psmb9",7.14116343667015e-157,0.92990435085225,0.971,0.824,1.31590218647521e-152
"H2.DMb1",1.8340443239947e-150,0.652510370837252,0.613,0.027,3.37959347582503e-146
"H2.DMa",9.23934665412252e-141,0.779568101523296,0.747,0.206,1.70253440795516e-136
"H2.D1",9.0795925651533e-126,0.637284253251198,0.999,0.993,1.6730965219808e-121
"H2.K1",7.23741631009753e-123,0.669674401719389,0.994,0.987,1.33363870346167e-118
"Ly6e",4.70528180254235e-118,0.718679976588974,0.936,0.664,8.67042277754479e-114
"Ceacam10",2.00003637799404e-111,0.883592295789617,0.829,0.425,3.68546703372962e-107
"Psme2",3.8678827229662e-83,0.410880397191887,0.992,0.993,7.12734749360982e-79
"Reg3b",8.63694106530754e-82,0.484151730033152,0.808,0.351,1.59152913010422e-77
"H2.Q7",1.40594046379849e-79,0.371016758137422,0.469,0.077,2.59072649264147e-75
"B2m",9.53329629351194e-74,0.368817139653455,1,1,1.75670050800545e-69
"Tap1",1.01187240832907e-73,0.415201801779383,0.604,0.21,1.86457728682798e-69
"Reg3g",1.89380733072297e-72,1.04164445773576,0.943,0.755,3.48971876832321e-68
"AW112010",3.52347304978959e-65,0.460096079727987,0.662,0.297,6.49270378884728e-61
"Mt1",1.63488557336352e-62,-0.517528859557333,0.804,0.944,3.01260364603695e-58
"Prap1",1.37518085524075e-56,-0.306493670453671,1,1,2.53404576195213e-52
"Selenow",2.26337338881365e-56,-0.35779512080353,0.794,0.946,4.17071814356692e-52
"Rpl7a",1.35798455412828e-55,0.27536142125692,0.99,0.99,2.50235813789219e-51
"Gstp1",3.14598876318491e-54,0.359617298018593,0.862,0.699,5.79711349392083e-50
"Fth1",1.09994408142676e-53,-0.270952148705756,1,1,2.02686695884508e-49
"Rps7",1.17612034699368e-52,0.164453424780743,1,1,2.16723696340526e-48
"Erh",5.193918054207e-50,0.327421067374516,0.912,0.845,9.57083279848724e-46
"Hspa8",6.94890408765191e-50,-0.252261331302237,1,1,1.28047455623162e-45
"Oat",2.12097901758189e-48,-0.29790417961576,0.999,1,3.90832803569815e-44
"Ifitm3",1.84674400205153e-47,0.803247759462289,0.796,0.594,3.40299517258035e-43
"Rpl9",2.07025919149815e-45,0.306392450928256,0.918,0.868,3.81486661217364e-41
"Igtp",3.19866895981205e-44,0.220770915276856,0.269,0.032,5.89418729224566e-40
"Hsp90aa1",4.42894617107161e-44,-0.300653247767995,0.999,1,8.16121910943365e-40
"Rpl23a",1.57745658906395e-43,0.309995458049612,0.867,0.721,2.90677925666814e-39
"Rpl21",7.42455770698396e-43,-0.155940657975242,1,1,1.36812324866593e-38
"Psmb10",3.94153600265848e-42,0.295109550984242,0.985,0.981,7.26306839209879e-38
"Rps2",1.03267438734633e-41,-0.145384935152407,1,1,1.90290909356308e-37
"St3gal4",3.91412291239261e-41,0.578476410717223,0.77,0.545,7.21255429066585e-37
"Chchd2",2.62586061164203e-40,-0.130189001160628,1,1,4.83867334907277e-36
"Ccl25",5.73043936524223e-40,-0.269449385641053,0.987,0.994,1.05594806183319e-35
"Gpx2",5.73783301024247e-37,0.285054745597017,1,1,1.05731048879738e-32
"Mt2",2.70320040265442e-36,-0.333664072499464,0.094,0.343,4.9811873819713e-32
"Atp1b1",3.09512718555803e-36,-0.237460240626741,0.967,0.993,5.70339086482778e-32
"Hmgcs2",7.35161300572941e-36,-0.286868723683968,0.167,0.453,1.35468172856576e-31
"Ptpn6",5.70594964459607e-35,0.27485970727771,0.512,0.246,1.05143534100972e-30
"Barx2",9.63611677280521e-35,0.297722149770521,0.618,0.352,1.77564723772482e-30
"Gm10020",1.75112824331657e-33,0.249897953498622,0.736,0.52,3.22680401395945e-29
"H2afv",1.80402595904461e-33,-0.208421862940823,0.995,1,3.32427863473151e-29
"Ubb",7.07898584035637e-33,0.206304677640448,1,1,1.30444472080247e-28
"Ccnd2",1.91133480031459e-32,-0.330772601277701,0.933,0.975,3.52201663653969e-28
"Txn1",2.29485764487133e-32,0.138769225315357,1,1,4.2287341822044e-28
"Rbm3",4.7623198937103e-32,0.212797955114741,0.996,0.998,8.77552686813997e-28
"Hmgn2",8.18713070010126e-32,0.281945798448977,0.886,0.803,1.50864257410766e-27
"Zg16",1.12029225932383e-31,0.253537658293034,0.562,0.318,2.06436254625602e-27
"Lgals9",2.34313227651607e-31,0.274170731916068,0.985,0.963,4.31768984593616e-27
"Tifa",5.59425101632748e-31,0.211701118717724,0.392,0.149,1.03085263477866e-26
"Tap2",4.0519459147919e-30,0.207916868960865,0.4,0.163,7.46652073718703e-26
"Gstm3",1.68608146565614e-29,-0.258997537201552,0.457,0.706,3.10694231676458e-25
"Fkbp5",2.78519648213433e-29,-0.149593810845845,0.072,0.282,5.13228155762892e-25
"Etfb",3.61753474788866e-29,-0.193001334397508,0.979,0.997,6.66603127993444e-25
"Scd2",5.81833899851815e-29,0.251747421225804,0.355,0.132,1.07214532725694e-24
"Defa30",3.53210167646802e-28,-0.139426000721663,0.93,0.975,6.50860375922763e-24
"Spink4",3.81849637941087e-28,0.322278753443875,0.799,0.621,7.03634327834041e-24
"Psme1",1.41006367940195e-27,0.220519867049632,0.982,0.975,2.59832434203397e-23
"Psme2b",6.21340316105384e-27,0.238099334149511,0.606,0.39,1.14494380048739e-22
"Acaa2",1.42225331306604e-26,-0.214477630910257,0.865,0.958,2.6207861799868e-22
"Pfn1",1.67609158356507e-26,0.136910615573338,1,1,3.08853396103535e-22
"Prss32",4.21424716497816e-26,0.222329527988544,0.961,0.92,7.76559325090525e-22
"Irf1",4.66516681069566e-26,0.257826936341718,0.635,0.434,8.59650288206889e-22
"Phb",8.60739885229999e-26,0.207925613686267,0.957,0.907,1.58608538651332e-21
"Cps1",1.19700533710931e-25,-0.216707210331553,0.972,0.994,2.20572173469133e-21
"Irgm1",8.83756969888448e-25,0.187546060875254,0.392,0.171,1.62849896841344e-20
"Dhrs4",8.8450660671448e-25,-0.2106474479269,0.945,0.973,1.62988032419277e-20
"Fabp1",1.03143645394333e-24,-0.223018029174152,0.756,0.909,1.90062795368138e-20
"Cd14",1.78653024290745e-24,0.190648554096622,0.405,0.19,3.29203927860556e-20
"Rpl28",1.95731525492636e-24,-0.105795251704408,1,1,3.6067448202528e-20
"Rpl35",2.53300334626419e-24,0.171761848512793,0.984,0.996,4.66756526616103e-20
"Ifi47",7.3391564775669e-24,0.180673135952577,0.355,0.151,1.35238636412125e-19
"Gkn3",8.01053754517761e-24,-0.188562291221158,0.111,0.311,1.47610175344988e-19
"Sult1d1",1.27179990555887e-23,-0.248012170270332,0.847,0.945,2.34354568597333e-19
"Rbp7",1.8073831812984e-23,-0.281587690397783,0.813,0.915,3.33046498817856e-19
"Defa17",1.99236454777509e-23,-0.138805064931392,0.224,0.453,3.67133015218517e-19
"Ubc",2.055431052169e-23,0.250802268786632,0.985,0.967,3.78754279983181e-19
"Gmds",5.31444728945753e-23,0.183881292229786,0.996,0.996,9.79293202028339e-19
"S100a10",5.98169112754873e-23,-0.154514612532826,0.997,0.999,1.1022462240734e-18
"Hsph1",1.04091608798374e-22,-0.220876719104347,0.787,0.922,1.91809607532764e-18
"Eif5a",1.11510766827883e-22,0.129972824616681,1,1,2.0548089003374e-18
"Hsp90ab1",1.57278687939836e-22,-0.140476200324629,1,1,2.89817438266737e-18
"Arg2",2.39002239865053e-22,-0.243585434054796,0.902,0.979,4.40409427399333e-18
"Cldn2",3.50096677308301e-22,-0.247134259430124,0.569,0.739,6.45123147276007e-18
"Slc38a1",3.81257425189159e-22,-0.174036615471405,0.323,0.531,7.02543057396063e-18
"Gsr",5.01166768523446e-22,0.22697986238584,0.96,0.938,9.23500004358155e-18
"Rpl29",6.0758978638342e-22,-0.112957110362369,1,1,1.11960569936873e-17
"Agr2",9.2132811486171e-22,0.311622724105408,0.645,0.427,1.69773131725567e-17
"Psma3",2.29791518244414e-21,0.149662556188237,0.997,0.998,4.23436830668982e-17
"Pgk1",3.36976526561348e-21,0.16035963455475,0.43,0.226,6.20946645494597e-17
"Nfkbiz",3.72871808505956e-21,0.204927238168268,0.491,0.295,6.87090881533925e-17
"Psma5",3.97050188171539e-21,0.160665034683777,0.989,0.994,7.31644381743695e-17
"Sephs2",4.86126357724718e-21,0.19576605468084,0.986,0.973,8.95785039379339e-17
"Gstp2",2.15175465499695e-20,0.117896418794407,0.279,0.106,3.96503830276289e-16
"Sec11c",2.2989720239602e-20,0.215738937101185,0.941,0.932,4.23631574855145e-16
"Rdh7",4.47360447627308e-20,-0.166182234921437,0.296,0.524,8.2435109684284e-16
"Rpl6",5.53716562155404e-20,0.159242667025699,0.984,0.986,1.02033350908376e-15
"Noxa1",7.74008734387696e-20,0.22938971040108,0.599,0.404,1.42626589485621e-15
"Duoxa2",8.22823593877505e-20,0.152062095193996,0.269,0.1,1.51621703643808e-15
"Cox8a",1.08863951519642e-19,-0.102715060419346,1,1,2.00603603465244e-15
