"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",3.36557386236758e-29,2.50933445378381,0.79,0.179,6.20174295618475e-25
"H2.Ab1",5.07942313123411e-28,1.86165798555764,0.772,0.171,9.35985300392509e-24
"H2.Eb1",1.10395974940713e-24,1.29947091839869,0.635,0.043,2.03426663023251e-20
"H2.Aa",2.04037588853155e-23,1.68729549836782,0.589,0.017,3.75980064979708e-19
"H2.DMb1",3.07736976660997e-16,0.636652284019074,0.438,0.009,5.6706692689322e-12
"Muc3",1.11062345435262e-14,-0.586799044795401,0.333,0.718,2.04654583933557e-10
"St3gal4",2.26452566922881e-12,0.404509829854683,0.986,1,4.17284145068792e-08
"H2.DMa",3.59313807468448e-12,0.636870791516617,0.58,0.239,6.62107553022109e-08
"Psmb8",4.23034390171357e-12,0.683327544825193,0.909,0.829,7.79525470768759e-08
"Cldn2",4.25304977870865e-11,-0.276414222851699,0.087,0.393,7.83709482722643e-07
"H2.D1",4.61851077334909e-11,0.515874195491079,0.986,0.983,8.51052980205038e-07
"Ndufa4",8.08384557035947e-11,-0.232738906635861,0.995,1,1.48961022325014e-06
"Hspe1",3.69920220870448e-10,-0.340866743794439,0.977,1,6.81651990997974e-06
"Hsp90ab1",3.93001895489827e-10,-0.308334846016277,0.986,0.991,7.24184592819104e-06
"Rps2",1.05681899675405e-09,-0.319582499847742,0.982,1,1.9474003653187e-05
"Ceacam10",1.92130268669146e-09,0.55426975832452,0.475,0.171,3.54038446076636e-05
"Psmb9",2.33602278889955e-09,0.50623018288862,0.84,0.812,4.3045891931052e-05
"Gstp1",3.44351320883709e-09,0.442805783176687,0.758,0.658,6.3453617899241e-05
"Krtcap2",3.4508721809913e-09,-0.321460052765989,0.849,0.957,6.35892216791268e-05
"Atp5g1",1.96685112754609e-08,-0.189323781915379,0.986,1,0.000362431657272918
"Hsp90aa1",2.21528334119384e-08,-0.374906812557371,0.881,0.974,0.00040821026128179
"Rpl22",2.66697570221443e-08,-0.260063321786239,0.941,1,0.000491443612647053
"H2.K1",3.6584182889266e-08,0.386004217073302,0.968,0.949,0.000674136738100505
"Tm4sf5",4.18507150485614e-08,0.224503896901829,0.991,1,0.000771183126199841
"Hspa8",4.50312668250826e-08,-0.291377903894284,1,1,0.000829791153785797
"Cox6b1",6.31053994416586e-08,-0.169952955921161,0.995,1,0.00116284319551144
"Chchd2",7.29155774746798e-08,-0.175127640010226,1,1,0.00134361534612592
"S100a10",7.43528501675098e-08,-0.233858410283758,0.973,0.991,0.0013700999700367
"Dynll1",7.63039476458221e-08,-0.334765088738658,0.58,0.821,0.00140605284326956
"Gm21814",8.45297808494391e-08,-0.128124071547991,0.009,0.154,0.00155763027171261
"Lman1",2.00704345945652e-07,-0.236406021276773,0.644,0.923,0.00369837898274053
"Ubc",2.55026697303897e-07,0.365564524846858,0.936,0.897,0.0046993769512189
"Mt1",3.33319347349188e-07,-0.385682518854266,0.548,0.821,0.00614207561360348
"Rps27a",3.66496735700342e-07,-0.23322937126918,0.995,1,0.00675343534875019
"Fkbp5",4.0455266571226e-07,-0.118183632602778,0.005,0.128,0.00745469197107981
"Hspd1",4.50877368621284e-07,-0.332589678563951,0.913,0.983,0.00830831727158441
"Rps18",6.03491057520754e-07,-0.214523545588014,1,0.991,0.0111205297169349
"Nceh1",6.32191763366944e-07,-0.209572907820447,0.164,0.393,0.0116493976235627
"Lgals2",6.61243887438981e-07,-0.285313662378869,1,1,0.0121847411138381
"Rps11",6.98414321117922e-07,-0.199618324481427,1,1,0.01286968069524
"Rps16",7.11244482949788e-07,-0.207962035679281,0.991,1,0.0131061020873157
"Rpl28",7.46582217847603e-07,-0.217599276999776,0.991,1,0.0137572705282778
"Kpnb1",8.10125899385098e-07,-0.201836755836797,0.16,0.385,0.0149281899479692
"AA467197",8.22700625259006e-07,0.515882296524527,0.703,0.538,0.0151599044216477
"Eno1",8.54876496631969e-07,0.309785949669209,0.886,0.855,0.0157528092034373
"Rpl27a",9.50191736272351e-07,-0.221738416185978,0.991,1,0.0175091831242906
"H2afv",1.05696278449285e-06,-0.266661611661431,0.927,1,0.0194766532298497
"Cst3",1.11332001381795e-06,-0.285599158074363,0.813,0.94,0.0205151478946233
"Reg3b",1.21865315914342e-06,0.837783785995438,0.872,0.667,0.0224561217635358
"Hsd17b2",1.32251264487608e-06,-0.267349866923677,0.543,0.744,0.0243699405071314
"Rpl24",1.35882140461265e-06,-0.193737133950685,0.991,1,0.0250390020227974
"Rpl21",1.55647352599184e-06,-0.228346695691305,0.982,0.991,0.0286811376634516
"Sephs2",1.72278704129263e-06,0.265803888123139,0.936,0.915,0.0317457968098993
"Ubb",1.87263597145971e-06,0.194679269539687,0.995,1,0.0345070630460882
"Rbp7",3.4045152544548e-06,-0.306669213601115,0.32,0.573,0.0627350025938385
"Cyp4f14",3.41144561479191e-06,0.310281568674923,0.941,0.974,0.0628627083437706
"Tomm5",3.59398325369278e-06,-0.258614598248016,0.836,0.974,0.0662263294157969
"Bmp3",3.75855950902302e-06,-0.314899648638657,0.26,0.496,0.0692589760727672
"Rpl35a",4.39766385305807e-06,-0.215616753425754,0.986,1,0.0810357518203011
"Mlec",5.0159836545345e-06,-0.225291307541066,0.826,0.94,0.0924295308021072
"Spink4",5.15615735819392e-06,0.138662299855053,0.744,0.556,0.0950125116394394
"Cstf2t",6.05525875921414e-06,-0.163023242326247,0.064,0.231,0.111580253156039
"Hikeshi",6.38414037330124e-06,-0.2122689547626,0.429,0.718,0.117640554658822
"Rplp1",6.69223657985041e-06,-0.221858194229951,0.973,0.991,0.123317843456904
"Kcne3",7.19288682145147e-06,-0.201362515401813,0.192,0.419,0.132543325458886
"Igtp",7.22779479483622e-06,0.263155045668609,0.205,0.026,0.133186574684447
"Rps17",7.81342237011612e-06,-0.224806141233188,0.973,1,0.14397793401413
"Bst2",7.8487747249673e-06,-0.190448433507996,0.137,0.333,0.144629371856972
"Nat8",8.93757735798856e-06,0.361786113900797,0.562,0.342,0.164692737975655
"Pnisr",1.15239934062696e-05,-0.230508112458374,0.452,0.684,0.21235262649733
"Atp1b1",1.18657844280248e-05,-0.205774490789924,0.991,1,0.218650809655212
"Oat",1.2831897977917e-05,-0.244791301492196,0.982,0.991,0.236453384039077
"Mep1b",1.3049119544031e-05,0.374685839583779,0.9,0.855,0.240456125837859
"Clca4b",1.31579455315813e-05,0.357657376056534,0.836,0.726,0.242461462310448
"Mrps16",1.31809140189899e-05,-0.238346188269589,0.699,0.88,0.242884702627928
"Pigr",1.33253337969718e-05,0.187316378162851,1,1,0.2455459258768
"Krt19",1.33253337969718e-05,-0.18603172680253,0.995,1,0.2455459258768
"Rps23",1.40610878318084e-05,-0.197706363031373,0.991,1,0.259103665476733
"Abhd14a",1.41051556730302e-05,-0.240947203502186,0.333,0.556,0.259915703586927
"Rpl39",1.46354431911501e-05,-0.218262092195391,0.963,0.991,0.269687311683322
"Sfi1",1.6447319108662e-05,-0.126933889317701,0.078,0.256,0.303074749215315
"Commd7",1.69571794849586e-05,-0.15999929920841,0.356,0.598,0.312469946369331
"Rpl41",2.43335501676325e-05,-0.195354724829666,0.991,1,0.448394328938964
"Eif4e",2.55368747252459e-05,-0.18760485303529,0.452,0.675,0.470567990562106
"Zcchc17",2.57702330341272e-05,-0.204309041115056,0.393,0.615,0.474868084119861
"Clock",2.58426663715848e-05,-0.143508368444255,0.292,0.538,0.476202813229192
"Rpsa",2.66603295809438e-05,-0.219061820130369,0.986,1,0.491269893188052
"Nhp2",3.32589288073817e-05,-0.185055511151274,0.438,0.718,0.612862281133623
"Ces1g",3.34973039460502e-05,0.373671483349715,0.361,0.171,0.617254819813867
"Chordc1",3.38195276399123e-05,-0.181563235181827,0.338,0.581,0.623192435820663
"Hint1",3.60716707426051e-05,-0.180364603647695,1,1,0.664692676773984
"X1600002K03Rik",3.84204738659837e-05,-0.18771828614247,0.279,0.496,0.707974071928482
"H2.Q2",4.12206738678586e-05,0.251636851530039,0.9,0.829,0.75957335736303
"Midn",4.16384102654682e-05,-0.164999359780097,0.251,0.479,0.767270985961783
"Pgk1",4.17200308737503e-05,0.190760353313322,0.347,0.137,0.768775008910596
"Rps15",4.28001179157826e-05,-0.181329476702604,0.973,1,0.788677772834127
"Naca",4.32374127205049e-05,-0.186293848763378,0.973,1,0.796735804200744
"Srp19",4.54265468629902e-05,-0.171908997397329,0.457,0.667,0.83707497904432
