"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",9.48885806610073e-14,2.23291019555956,0.775,0.118,1.74851187584038e-09
"H2.K1",2.43488440289559e-11,0.883264799342258,0.975,0.922,4.48676148921571e-07
"B2m",1.2137600729368e-09,0.933491747325934,0.975,0.863,2.23659568640065e-05
"H2.D1",2.00397877440187e-09,0.727793969054427,0.988,0.902,3.69273168759033e-05
"H2.Ab1",2.09471342586769e-09,1.70217780465116,0.638,0.118,3.8599284298464e-05
"Psmb8",2.33465550204269e-09,0.821505835511193,0.85,0.471,4.30206969361406e-05
"Reg3b",8.24051298483385e-09,0.734246831198246,0.6,0.098,0.000151847932771533
"H2.Aa",3.66441591777603e-08,1.49774298142552,0.45,0,0.000675241921168588
"H2.Eb1",2.46024113937461e-06,1.33236450783851,0.388,0.02,0.0453348634752559
"Snrpn",3.98033815001783e-06,-0.377498820252491,0.088,0.431,0.0733456910903786
"Rpl18",1.3922750466046e-05,-0.282764298936625,1,1,0.25655452283783
"Pigr",2.08238128237743e-05,0.82258868333831,0.888,0.784,0.383720398903689
"Ubb",2.17670424788771e-05,0.25189357645559,1,1,0.401101291758268
"Peg3",2.26488754044123e-05,-0.578156678378263,0.088,0.412,0.417350827077105
"Ppp1r15b",3.19535739046825e-05,0.444545227120881,0.35,0.039,0.588808506341585
"H2.DMb1",4.83662631511085e-05,0.468083465780336,0.275,0,0.891245131085477
"Ceacam10",8.32801355536453e-05,0.977445466924434,0.85,0.686,1
"Sox4",9.82373878252711e-05,-0.76449552304115,0.425,0.725,1
"Rps2",0.000107476352746403,-0.363799099441553,0.962,1,1
"Rps18",0.000146153283853205,-0.349553575163811,1,1,1
"E130309D02Rik",0.000226202780073602,-0.233211582942208,0.062,0.314,1
"Tac1",0.000306498411951214,0.767564682319967,0.625,0.314,1
"Gm1123",0.000354756807470999,0.609278557771068,0.675,0.412,1
"Serbp1",0.000471954728759661,-0.322319329459364,0.9,0.961,1
"Dll1",0.000479682660029268,-0.265451697965525,0.038,0.235,1
"S100a13",0.000573084113102179,0.224301522695582,0.75,0.569,1
"Alb",0.000600305966559082,-0.840137913934991,0.05,0.255,1
"Reg3g",0.000690690411356216,0.57957800908006,0.5,0.255,1
"Ing4",0.000709960273861371,-0.306635914867083,0.225,0.549,1
"Ccdc103",0.00071135646619109,-0.144630760349385,0,0.137,1
"H2.Q7",0.000719704669611888,0.43172816023273,0.2,0,1
"Anxa5",0.000799753712058697,0.587308272208318,0.625,0.392,1
"Smco4",0.000817753587174278,-0.206788968854668,0.038,0.235,1
"Herpud1",0.000879654094031863,0.448662786695295,0.638,0.392,1
"Cdk4",0.000978131490887415,-0.624207943677825,0.525,0.745,1
"Zg16",0.00105080793099992,0.392351189290486,0.488,0.235,1
"Crip1",0.00107740145880302,0.763304825296274,0.888,0.745,1
"Gm42418",0.00109603212834318,1.08325516142022,0.938,0.922,1
"Gm933",0.00110297235593653,-0.323917033763519,0.075,0.294,1
"Vsig2",0.00111781369005107,-0.221427828761318,0.025,0.196,1
"Mvk",0.00115918560072552,0.285402454115491,0.225,0.02,1
"Mcee",0.00116627091670587,0.363670782667429,0.612,0.373,1
"Nisch",0.00128079526036949,-0.258039352030184,0.7,0.902,1
"Cldn7",0.00131723633287838,0.266384074707447,0.975,1,1
"Nubp1",0.00137423730968633,-0.25963817016822,0.162,0.412,1
"Zfand6",0.00143382745053763,-0.332525624300639,0.538,0.843,1
"Ric3",0.00144055935102856,-0.190429985533942,0.012,0.157,1
"Rpl23",0.00145319512882504,-0.284866339308561,1,1,1
"Pycrl",0.00149137485471313,-0.285908505484634,0.325,0.588,1
"Armcx3",0.00149509545426582,-0.176409901133084,0.012,0.157,1
"Slc27a4",0.00155382926981738,0.2998730177442,0.25,0.039,1
"Psmb9",0.00157781071944905,0.501306548800335,0.475,0.275,1
"Chgb",0.0016090240261416,0.665492968477658,0.9,0.824,1
"Far2",0.00165057203861399,-0.220518555642948,0.038,0.216,1
"Mief1",0.0017527446280055,-0.191708131794543,0.038,0.216,1
"Gcn1l1",0.00179782732634457,0.30756867942783,0.275,0.059,1
"Cox15",0.00180246601389312,-0.127207070225287,0,0.118,1
"Tmem171",0.00180246601389312,-0.147925360444018,0,0.118,1
"Sh3bgrl2",0.00180246601389312,-0.155375395279888,0,0.118,1
"Tgif2",0.00180246601389312,-0.163030294597088,0,0.118,1
"Rab40c",0.00180598280447551,-0.171969117853472,0.038,0.216,1
"Homer2",0.00184763067829146,-0.42337813518219,0.088,0.294,1
"Tmem63b",0.00198437066243738,-0.293759266483384,0.312,0.608,1
"Calm3",0.002032595080643,0.298095853377221,0.95,0.882,1
"Hepacam2",0.00206356104792438,-0.356055888273278,0.9,0.941,1
"Calm1",0.00210285484574604,0.190290299644684,1,1,1
"Eps8l2",0.00212196934779235,-0.327071183191257,0.362,0.647,1
"Snx12",0.00224540190337104,0.229598560569507,0.25,0.039,1
"Rrp1",0.00234030265970054,-0.332302132096516,0.662,0.902,1
"Gmds",0.00244104721411376,0.38052392403379,0.888,0.745,1
"Pard6a",0.00254690129771448,-0.18022098839058,0.025,0.176,1
"Zc3h12a",0.00259848829440971,0.197235487634486,0.162,0,1
"Cep295",0.00269026664609798,-0.17872240319157,0.062,0.255,1
"Ppp1r7",0.00277357970993888,0.316247972481182,0.35,0.118,1
"Fam208b",0.00280559994072927,-0.143963146834989,0.025,0.176,1
"Slc22a15",0.00289216781079228,-0.217868095294143,0.075,0.255,1
"Pim2",0.0029258190731006,0.431368350537256,0.588,0.431,1
