"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"A430005L14Rik",0.0110250883286289,-0.132967820693288,0.419,0.549,1
"AA467197",1.51017752680735e-07,0.467607820949006,0.614,0.444,0.00278280412864791
"AW112010",2.30669572587778e-17,0.815400471171628,0.919,0.758,4.25054821407499e-13
"AY761184",0.807407401268647,-0.573069586992587,0.721,0.758,1
"AY761185",0.0019856996007238,0.206477084331701,0.824,0.792,1
"Aadac",2.30301708568631e-05,-0.177615720583222,0.11,0.261,0.424376958379416
"Abcf1",0.0160705274047862,-0.12592900491987,0.574,0.673,1
"Abhd14a",0.00192052476673877,-0.105770319755066,0.287,0.458,1
"Abhd16a",0.00513679063358029,0.145468109205706,0.434,0.301,1
"Abhd2",0.32199644913108,0.14122959178852,0.294,0.268,1
"Abracl",0.0485850255706458,-0.10587378259473,0.886,0.974,1
"Acaa2",0.029778880466637,-0.102607546452654,0.743,0.817,1
"Acat2",0.0723017009675696,0.11320410106251,0.349,0.275,1
"Acin1",0.0103830544235601,-0.108178293228576,0.562,0.699,1
"Acly",0.00300456715229702,-0.102661375305425,0.36,0.516,1
"Actb",0.000785201101697953,0.371068234996689,1,0.993,1
"Add3",0.000862034429663993,-0.102294032910255,0.125,0.255,1
"Adgre5",0.00163218587666676,-0.156469499897131,0.386,0.523,1
"Adipor2",0.0151173109433827,0.151967875039862,0.522,0.431,1
"Agr2",0.0030847583259664,-0.284599874232099,1,1,1
"Agt",5.09289354753705e-05,-0.219530431102352,0.137,0.468,0.938467494004652
"Ahsa1",0.0528099306882872,-0.125539939235631,0.706,0.784,1
"Aig1",0.0209751270141325,-0.106320336447448,0.559,0.706,1
"Aimp1",0.0419916522553508,0.129760463634849,0.772,0.778,1
"Akr1b7",0.00291591777218594,0.136981920933216,0.206,0.098,1
"Akr7a5",0.0161386225879391,-0.110741945440463,0.603,0.745,1
"Alad",0.105560917883214,0.106611762782561,0.431,0.312,1
"Aldh1b1",0.0013439752527891,-0.166102963456677,0.934,0.967,1
"Aldoa",0.00358475075362865,0.165314750823678,0.945,0.98,1
"Alkbh5",0.303355817215719,0.108256553685801,0.471,0.471,1
"Anapc11",0.00276296306794366,-0.145899080532643,0.471,0.621,1
"Anapc13",0.00837047021469605,-0.105426327836912,0.713,0.837,1
"Ang",0.0504793320892455,-0.161152340792433,0.754,0.85,1
"Ang4",0.195947905942589,-0.416406376780505,0.386,0.431,1
"Ang6",0.15688844838248,0.107361201841993,0.569,0.532,1
"Anp32b",0.000425058416597817,-0.209527094866046,0.721,0.856,1
"Anxa2",0.0767677272002239,0.137758820039988,0.875,0.876,1
"Anxa4",0.072349012265974,0.104413404874449,0.952,0.961,1
"Aoc1",0.00121544333127532,-0.192871229887521,0.452,0.582,1
"Ap2m1",0.0340640782544207,-0.102813440085624,0.353,0.571,1
"Ap2s1",0.0214360640017807,-0.145276589620036,0.314,0.519,1
"Ap3s1",0.0380898705738778,-0.11794602864477,0.549,0.805,1
"Apobec3",0.0145985068801399,0.178607177273777,0.574,0.497,1
"Appbp2",0.00365148961108791,-0.121270832151784,0.316,0.458,1
"Aqp1",0.000641235253733966,-0.175673769302119,0.272,0.431,1
"Arcn1",0.113603520804576,0.109197646377614,0.647,0.641,1
"Arf1",0.0892566163428822,-0.106112795163598,0.725,0.87,1
"Arf6",0.00074409862908963,-0.139272214824819,0.324,0.484,1
"Arg2",2.70123944132143e-07,-0.437990372377801,0.254,0.477,0.004977573918523
"Arglu1",0.20905598610183,0.124486598866459,0.511,0.477,1
"Arhgef5",0.0350711014411579,0.103917819413271,0.312,0.222,1
"Arl1",0.0236796451742894,0.108821778176044,0.882,0.908,1
"Arl6ip1",0.0379131713665022,-0.14763137576536,0.216,0.403,1
"Arl8b",0.010595310838477,-0.101568402617331,0.25,0.359,1
"Armcx3",0.000595572868193077,-0.123250121324646,0.114,0.242,1
"Arpc1b",0.149303154447722,-0.111724588589576,0.569,0.74,1
"Arpc3",0.0060265131127261,0.122562600530292,0.96,0.967,1
"Arpc5",0.102769356853224,0.12709522692419,0.549,0.519,1
"Asns",0.174029319372404,0.117981861818264,0.665,0.66,1
"Atad2",0.0226937966395339,-0.137341471614852,0.143,0.222,1
"Atad3a",0.0141598734897964,-0.104639953549435,0.272,0.386,1
"Atf3",0.200751180180089,-0.105282932069664,0.224,0.275,1
"Atg3",0.00457920841455259,-0.107934206224351,0.452,0.627,1
"Atp2c2",0.0750171178173766,-0.131321850242379,0.301,0.379,1
"Atp5d",0.391112516395248,-0.13742305258908,0.824,0.896,1
