"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",4.43604259551585e-41,1.96873250255983,0.79,0.111,8.17429569075706e-37
"H2.Ab1",2.46150454528641e-38,1.18404520954186,0.868,0.366,4.53581442559926e-34
"B2m",1.09586714497939e-33,0.857453634756384,0.996,0.987,2.01935438805353e-29
"H2.D1",3.18917160694792e-33,0.800792492108193,0.993,0.987,5.87668652012294e-29
"H2.K1",1.89006301555531e-32,0.799706474042574,0.985,0.98,3.48281911876377e-28
"Ceacam10",6.73032496634167e-32,1.09082658772136,0.853,0.458,1.24019698154778e-27
"Psmb8",1.19029978508861e-30,0.945779891590198,0.86,0.484,2.19336541398279e-26
"Ly6e",3.70030982509217e-29,0.913755525846037,0.934,0.68,6.81856091469733e-25
"H2.Aa",3.95325395705115e-28,0.94597549049134,0.57,0.02,7.28466106665816e-24
"H2.DMb1",1.27398288110247e-25,0.644885192196946,0.518,0.007,2.34756825500753e-21
"H2.Eb1",2.16140439933693e-25,0.769840942472469,0.544,0.033,3.98281988665816e-21
"Reg3g",1.26992234630311e-19,0.335480207065667,0.783,0.353,2.34008590753274e-15
"AW112010",2.30669572587778e-17,0.815400471171628,0.919,0.758,4.25054821407499e-13
"Cystm1",5.92386200638648e-16,0.432444813655895,0.974,0.948,1.09159005191684e-11
"Psmb9",7.63499565165788e-15,0.547310250006417,0.688,0.418,1.406900648731e-10
"Pigr",1.683442064326e-14,0.400799996601237,0.996,0.987,3.10207869193352e-10
"H2.Q7",5.95945560355082e-14,0.508898688423082,0.393,0.065,1.09814888406631e-09
"Hmgcs2",7.78958743919262e-14,-0.339679317139189,0.081,0.366,1.43538727742002e-09
"H2.DMa",2.22167713519456e-10,0.314204691248559,0.298,0.039,4.09388445702302e-06
"Cd177",2.41015518417524e-10,0.353768473570899,0.353,0.072,4.44119295787971e-06
"Prap1",4.0279984014436e-10,-0.426575431417555,0.64,0.902,7.42239265434012e-06
"Rpl7a",4.88381946488471e-09,0.305333316736095,0.952,0.961,8.99941412794306e-05
"Mettl7b",8.04994771305898e-09,-0.166579253246746,0.062,0.261,0.000148336386508538
"Reg3b",1.12575422394744e-08,-0.582633308741306,0.566,0.255,0.000207442730846795
"Mageh1",2.66250087725078e-08,-0.104491175631505,0.011,0.144,0.000490619036651001
"Hspe1",6.36506306243335e-08,-0.270386776956424,0.967,0.993,0.00117289017051459
"Ces2e",1.04969103865146e-07,-0.199746359032253,0.136,0.359,0.00193426567692304
"AA467197",1.51017752680735e-07,0.467607820949006,0.614,0.444,0.00278280412864791
"Mapk13",1.57065767759679e-07,0.231771728847318,0.989,0.967,0.00289425090250761
"Rpl23a",1.61772522862428e-07,0.277952779430538,0.713,0.556,0.00298098227878595
"Tmem205",1.88399866893173e-07,0.359186436484928,0.824,0.771,0.0034716443472405
"Arg2",2.70123944132143e-07,-0.437990372377801,0.254,0.477,0.004977573918523
"Scin",2.94943671422921e-07,-0.419394319774611,0.43,0.699,0.00543492703331017
"Prss32",3.19968944956487e-07,0.287379211145427,0.849,0.797,0.00589606774871318
"Smim14",3.36560513528684e-07,0.243328184735704,0.985,1,0.00620180058279305
"Tm4sf4",3.44073743958161e-07,-0.22451170137454,0.618,0.869,0.00634024687991704
"Dut",4.67061968515155e-07,-0.348018054293617,0.368,0.588,0.00860655089382876
"Psme1",5.29462666096164e-07,0.278754000831863,0.868,0.83,0.00975640854815401
"Rpl29",7.66268931326535e-07,-0.175272368613885,0.985,1,0.0141200375975541
