"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",4.18467823004073e-136,2.87571960036234,0.904,0.127,7.71110657449606e-132
"H2.Aa",5.44361689653458e-120,1.70123318388547,0.782,0.016,1.00309528552443e-115
"H2.Ab1",3.72826718124642e-115,1.97123829260808,0.83,0.134,6.87007793488279e-111
"H2.Eb1",2.17616090624253e-104,1.35124899686657,0.736,0.042,4.01001170193311e-100
"Psmb8",2.71810333475504e-87,1.26177224210095,0.95,0.795,5.00864901495311e-83
"H2.DMb1",2.36830720584736e-81,0.71081611681808,0.593,0.009,4.36407968821492e-77
"H2.DMa",3.29749382760376e-76,0.827240414172425,0.725,0.187,6.07629187612544e-72
"Psmb9",1.29291664309629e-72,0.834152799116819,0.946,0.795,2.38245749823353e-68
"Ceacam10",1.64348259665722e-59,0.880139821148439,0.739,0.292,3.02844538086025e-55
"H2.D1",4.86683749892187e-56,0.583802449051065,0.993,0.976,8.96812145926333e-52
"H2.K1",1.28419308550199e-55,0.589268918111183,0.989,0.978,2.36638259865451e-51
"Ly6e",3.98626965813987e-51,0.632306542773196,0.88,0.57,7.34549909905434e-47
"Psme2",2.01348643598486e-44,0.416951419940617,0.989,0.984,3.71025145558931e-40
"Reg3g",5.46277473651194e-44,1.38017950399156,0.969,0.889,1.00662550069706e-39
"Reg3b",6.74105274981718e-41,1.37339270942339,0.834,0.479,1.24217379020881e-36
"Oat",1.41365582820424e-37,-0.364433720275462,0.991,0.998,2.60494359463196e-33
"B2m",1.9478887844764e-37,0.378649930457252,0.998,1,3.58937466315465e-33
"H2.Q7",2.74450912064167e-33,0.293029167943573,0.294,0.009,5.0573069566064e-29
"St3gal4",4.31040641570992e-33,0.473034219540689,0.974,0.935,7.94278590222866e-29
"Fth1",1.70730444154452e-31,-0.331600625753753,1,1,3.14604989443409e-27
"Rpl7a",1.94753323901399e-30,0.304847662827115,0.991,0.973,3.58871949953109e-26
"Tap1",5.50915960057577e-28,0.341313332584823,0.516,0.192,1.0151728395981e-23
"Gstp1",8.15574661060789e-28,0.382727903486877,0.823,0.67,1.50285942793672e-23
"H2afv",1.25318625973216e-27,-0.262758147171804,0.985,1,2.30924632080844e-23
"Rpl21",3.19005499425966e-27,-0.181619836797271,1,1,5.87831433792228e-23
"AW112010",1.44359452650505e-26,0.459752776646861,0.569,0.278,2.66011163399086e-22
"Rps7",2.15830704748754e-24,0.175996452354055,1,1,3.9771123964053e-20
"Gstm3",3.28080024655083e-24,-0.463735870992481,0.532,0.806,6.04553061431921e-20
"Mt1",2.93787138942237e-23,-0.406321182614045,0.601,0.808,5.4136156092886e-19
"Apol10a",7.66106113402855e-23,0.47261392653112,0.786,0.63,1.41170373516744e-18
"Sult1d1",9.82597102110349e-22,-0.318486153910918,0.913,0.971,1.81063168005874e-17
"Gsta4",2.49312915584633e-21,-0.387239980035287,0.421,0.695,4.59408909547803e-17
"Rbm3",4.48967373228128e-21,0.261548961836732,0.983,0.98,8.27312178647471e-17
"Igtp",1.49856580467916e-20,0.202086025115305,0.233,0.027,2.76140720828229e-16
"Txn1",2.00743372766813e-20,0.142589996768488,1,1,3.69909812997407e-16
"Rpl23a",5.51609193255156e-20,0.307907007636744,0.765,0.615,1.01645026041128e-15
"Adh6a",6.92504457527328e-20,-0.457680778019819,0.793,0.918,1.27607796388561e-15
"Aldob",1.67914099151478e-19,-0.273121295687647,1,0.998,3.09415310506428e-15
"Ccl25",3.11869130157744e-19,-0.217977500716072,0.989,0.998,5.74681246141675e-15
"Ptpn6",1.17985739617126e-18,0.280585312158316,0.436,0.183,2.17412322392478e-14
"Rbp7",1.77931655104716e-18,-0.33218105379894,0.754,0.895,3.27874660861459e-14
"Ubb",2.4748177390844e-18,0.175778501135182,1,1,4.56034664781082e-14
"Selenow",4.97443604461215e-18,-0.247107819879139,0.81,0.94,9.1663932994068e-14
"Tifa",5.92035282040439e-18,0.21272205861587,0.261,0.058,1.09094341421592e-13
"Hspa8",2.27050163398297e-17,-0.191347337038224,1,1,4.18385336094043e-13
"AA467197",2.66279671533342e-17,0.392716657756603,0.665,0.457,4.9067355073449e-13
"Tagln2",4.75011619223094e-17,-0.269320102878444,0.854,0.953,8.75303910742395e-13
"Gm21814",6.90838464499749e-17,-0.124994004537556,0.026,0.185,1.27300803853369e-12
"Muc3",1.44358018298737e-16,-0.273225852140544,0.213,0.441,2.66008520319083e-12
"Fkbp5",1.95522974365054e-16,-0.118587957546841,0.028,0.183,3.60290184862484e-12
"Atp1b1",2.33789759959908e-16,-0.208836783119672,0.965,0.996,4.30804390678123e-12
"Gpx2",2.57568941459531e-16,0.249247509232889,0.989,0.998,4.74622288427477e-12
"Hmgcs2",2.77472208907592e-16,-0.242006544690501,0.137,0.359,5.11298039354019e-12
"Acaa2",3.6012464169549e-16,-0.248847680347987,0.891,0.964,6.6360167725228e-12
"Ubc",3.67986789043473e-16,0.259319553004403,0.97,0.96,6.78089256170408e-12
"Zg16",4.06445918122575e-16,0.433159904254204,0.519,0.267,7.4895789332447e-12
"Smim24",7.15224882798169e-16,-0.196170428649061,0.998,1,1.31794489153219e-11
"Gm10020",8.57528800948078e-16,0.257010769451653,0.593,0.374,1.58016832150702e-11
"Alpi",1.1814246824432e-15,-0.321227090964101,0.418,0.659,2.17701126233809e-11
"Oit1",1.24245901233414e-15,0.297497696507146,0.795,0.65,2.28947922202811e-11
"Rbp2",2.25193902143972e-15,-0.350677054741677,0.921,0.964,4.14964803480698e-11
"Fam213b",3.05117226282751e-15,-0.252934904088745,0.728,0.913,5.62239512871225e-11
"Tap2",3.70750433215448e-15,0.21667291697167,0.41,0.196,6.83181823286106e-11
"Rps2",4.20948221360587e-15,-0.133761797880513,1,1,7.75681287501154e-11
"Chchd2",4.81000288781861e-15,-0.103638045116907,1,1,8.86339232138335e-11
"Ndrg1",4.84520660737785e-15,-0.222809164069808,0.155,0.372,8.92826221541516e-11
"Rpl35",5.48671838242327e-15,0.227177589209792,0.969,0.98,1.01103759632914e-10
"Psmb10",6.23592593290377e-15,0.239011163827514,0.969,0.969,1.14909407165618e-10
"Rps28",1.60184801423286e-14,-0.177719969738187,0.961,0.993,2.95172533582689e-10
"Hsp90aa1",1.84182894383823e-14,-0.285325922935408,0.978,0.996,3.39393819481071e-10
"Cldn2",2.43321800627012e-14,-0.273881471149414,0.316,0.519,4.48369082015395e-10
"Dhrs4",2.53543802173236e-14,-0.194652507900598,0.865,0.96,4.67205164264622e-10
"Creb3l3",3.14061519233568e-14,-0.266173391762864,0.366,0.597,5.78721161491695e-10
"Ifitm3",3.26553920529043e-14,0.334711422119462,0.506,0.287,6.01740909358868e-10
"Gsr",3.37422635513107e-14,0.255958082962084,0.884,0.842,6.21768690460002e-10
"Ugt2b5",5.05865333163642e-14,-0.260622752482526,0.168,0.379,9.32158049420643e-10
"Prap1",5.20899667283227e-14,-0.184385041366891,1,1,9.59861816902803e-10
"Plet1",1.10786234984466e-13,0.299859220330622,0.131,0.007,2.04145795205875e-09
"Hsd17b2",1.16326451469138e-13,-0.236867251108052,0.433,0.644,2.1435475212218e-09
"Barx2",1.17966392200695e-13,0.288128319735213,0.584,0.39,2.1737667090822e-09
"Duox2",1.40527000081702e-13,0.129235393868236,0.168,0.024,2.58949103050553e-09
"S100g",1.72045850270567e-13,-0.390234162266877,0.272,0.492,3.17028888293574e-09
"Rdh7",2.8559855039553e-13,-0.207020197445587,0.451,0.695,5.26272448813842e-09
"Tff3",2.87146399621858e-13,0.321496866985567,0.701,0.512,5.29124670583198e-09
"Bmp3",2.89276458914741e-13,-0.237818459258702,0.238,0.43,5.33049730842193e-09
"Ces2a",6.06756099922716e-13,-0.19335983799968,0.573,0.793,1.11806946532759e-08
"Duoxa2",1.22706640545557e-12,0.217871805404345,0.211,0.056,2.26111526533298e-08
"Arg2",1.4456648898119e-12,-0.19224883345589,0.978,0.987,2.66392669245638e-08
