"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",4.2987182001399e-15,0.740553855162022,0.706,0.052,7.9212480273978e-11
"Defa36",4.94385061324878e-13,0.923946748125113,0.941,0.909,9.11003352503353e-09
"Ceacam10",1.34887033967744e-12,0.787492507073649,0.804,0.312,2.48556337492362e-08
"Defa23",1.68839820777555e-12,0.644991623008758,0.961,0.922,3.111211377468e-08
"Defa17",3.76977957914496e-09,-0.536058299123995,1,1,6.94657283049042e-05
"H2.Aa",6.78652863489089e-08,0.221954240049381,0.333,0,0.00125055363155134
"H2.Eb1",8.81681967697648e-07,0.214703679554836,0.373,0.039,0.0162467536187646
"Defa35",1.42563470397602e-06,0.517510968185093,0.941,0.935,0.0262701706901662
"Defa34",1.91075103470283e-06,0.791270136426836,0.941,0.961,0.035209409316469
"H2.Ab1",3.86509554688628e-06,0.360207302082642,0.529,0.208,0.0712221156424735
"Gm15293",4.93798039552925e-06,0.627932173176909,0.824,0.779,0.0909921647484174
"Defa21",9.22267382802735e-06,0.852975800523417,0.941,0.922,0.16994621062906
"Clps",1.0834658302697e-05,-0.269459207766741,1,1,0.199650248543798
"Defa22",1.91998016014171e-05,0.809154990987491,0.941,0.922,0.353794744109313
"Agt",5.09289354753705e-05,-0.219530431102352,0.137,0.468,0.938467494004652
"Cd81",6.40072142774857e-05,-0.229386767927461,0.431,0.805,1
"Fndc3b",0.000144972912947804,-0.114577719247208,0.098,0.403,1
"Hspa8",0.000261951150944123,-0.359150527556368,0.98,1,1
"Fam192a",0.000287668353290729,-0.114689865092573,0.078,0.364,1
"Dnajb11",0.000291285633976977,-0.150554131910697,0.333,0.675,1
"Clcn3",0.000385834204874995,-0.173535449293535,0.255,0.623,1
"Snrpd1",0.000410051031303816,-0.174040466973253,0.255,0.584,1
"Zg16",0.000439228715272968,0.907438467480055,0.647,0.468,1
"Ttyh2",0.000491315848539471,0.144256184956245,0.235,0.039,1
"Bet1",0.000499999131961905,-0.208211279035401,0.471,0.779,1
"Ly6e",0.000716331115393427,0.222595117106787,0.882,0.831,1
"Lyz2",0.000720293546960377,0.306656199886512,0.824,0.857,1
"Cdkn1a",0.000723440647617685,-0.320704351276548,0.412,0.688,1
"Dars",0.000728005997065148,-0.119881387166309,0.157,0.429,1
"Nop10",0.000833238410502005,-0.209485465523555,0.627,0.922,1
"Gkn1",0.000891589544819621,0.164249873708715,0.137,0,1
"Ifitm3",0.00097792559611684,0.279798964761051,0.804,0.688,1
"Tomm7",0.00109518915458177,-0.130292676934675,0.51,0.805,1
"Sdf2l1",0.00120372984681025,-0.151318330327791,0.627,0.909,1
"Hsp90b1",0.00121937148045588,-0.297014061123942,0.824,0.922,1
"Gm1123",0.00130684650772128,0.275174756197616,0.922,0.779,1
"Wwp1",0.00132872694516695,-0.122233584426333,0.039,0.26,1
"Rnase1",0.00133940300703807,-0.366758961797742,0.961,0.987,1
"Dnajc3",0.00135635103442589,-0.307598238994482,0.706,0.857,1
