"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",1.01769647158664e-70,2.55969223558597,0.903,0.254,1.87530928819271e-66
"H2.Ab1",9.46722249783282e-61,2.05575567884483,0.805,0.117,1.74452508967565e-56
"H2.Aa",7.97716476239703e-56,1.67341225139419,0.73,0.02,1.4699521507669e-51
"H2.Eb1",9.42860309250321e-52,1.64028234181816,0.704,0.03,1.73740869185557e-47
"Psmb8",6.08161362955883e-48,1.33631732782199,0.834,0.411,1.12065894351881e-43
"H2.D1",8.11735189202906e-42,0.953592819750503,0.953,0.741,1.4957844331442e-37
"H2.K1",3.3754449439431e-37,0.962178027318588,0.901,0.711,6.21993239820394e-33
"Reg3g",5.44387712883503e-32,1.55920220681716,0.795,0.36,1.00314323853043e-27
"Psmb9",5.69123318778645e-27,0.830781608511207,0.724,0.406,1.04872353951341e-22
"Ceacam10",8.70642319377884e-27,0.874499226786274,0.684,0.284,1.60433260191763e-22
"Ly6e",1.80065222291153e-24,0.750791546531843,0.748,0.416,3.31806185115908e-20
"Reg3b",1.07147353143982e-23,1.51128462807842,0.59,0.193,1.97440427638416e-19
"B2m",6.25349475164685e-22,0.552275177224085,0.988,0.985,1.15233147788597e-17
"Atp5a1",5.77112146750771e-21,0.429434494481156,0.994,0.99,1.06344455281765e-16
"Atp5b",1.74217439205889e-20,0.455321328219267,0.994,0.995,3.21030475224692e-16
"H2.DMa",9.02583605468577e-19,0.712727525857519,0.446,0.107,1.66319080979695e-14
"H2.DMb1",1.51950788552422e-18,0.594838423545028,0.339,0.02,2.79999718065549e-14
"Ubc",1.42436640839219e-17,0.591188013624737,0.813,0.629,2.62467998074429e-13
"Prap1",6.14728990084727e-17,-0.324109585558917,0.959,1,1.13276111002913e-12
"Gm1123",2.03883239033373e-16,0.580443293196603,0.83,0.716,3.75695644566796e-12
"Ubb",1.72953008391023e-15,0.378468265055627,0.994,1,3.18700508562138e-11
