"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"H2.Aa",1.08917965776434e-196,1.76891219821355,0.73,0.042,2.00703135536235e-192
"H2.Eb1",4.57411426248684e-179,1.72975132728033,0.785,0.133,8.4287203514845e-175
"H2.Ab1",1.43495845892527e-155,2.04032391670875,0.832,0.281,2.64419795226159e-151
"Cd74",1.25043545231811e-153,2.36646737179274,0.898,0.431,2.30417740798659e-149
"Psmb8",9.29194205494711e-123,1.24089238689938,0.909,0.627,1.7122261624651e-118
"H2.DMb1",5.00902744933199e-101,0.536616997321359,0.506,0.058,9.23013488088405e-97
"H2.DMa",2.460521187508e-94,0.704686394055784,0.674,0.214,4.53400239222099e-90
"Psmb9",3.16996322274316e-90,0.790314267691083,0.864,0.574,5.84129123054883e-86
"H2.K1",1.61053255588884e-88,0.698438527342614,0.98,0.945,2.96772834073636e-84
"H2.D1",2.50179385111844e-87,0.741651064349751,0.979,0.944,4.61005552945594e-83
"Reg3g",3.21791665401107e-84,1.14949588748327,0.834,0.417,5.9296550183462e-80
"H2.Q7",9.31593449280496e-80,0.433405255718267,0.386,0.034,1.71664724898917e-75
"Ly6e",1.93830168358062e-79,0.685575120944885,0.886,0.569,3.57170851233401e-75
"Ifitm3",4.49787733166027e-72,0.663731151916453,0.987,0.905,8.28823855905037e-68
"Reg3b",1.12600720643221e-70,0.796660092150437,0.621,0.202,2.07489347929263e-66
"Ceacam10",4.95669103495135e-63,0.780061962475813,0.825,0.559,9.13369457010485e-59
"Hmgcs2",6.29321012291576e-55,-0.575338151585211,0.44,0.805,1.15964982934969e-50
"Fth1",6.61778324797022e-53,-0.249601855836961,1,1,1.21945891910347e-48
"Rps7",1.21287371661662e-48,0.176690290886475,1,1,2.23496239760945e-44
"Rpl23a",7.98812160073074e-41,0.35792603680668,0.884,0.713,1.47197116736665e-36
"AW112010",1.43063173394577e-40,0.4219209132122,0.53,0.232,2.63622509614188e-36
"Rpl9",6.6419028509515e-40,0.33944815266532,0.937,0.823,1.22390343834483e-35
"Hsp90aa1",6.99881405846593e-40,-0.354839021496715,1,1,1.28967146655352e-35
"Rpl7a",7.94214725873198e-40,0.256249043007298,0.989,0.991,1.46349947536654e-35
"B2m",1.33495490828821e-39,0.367997227695553,1,1,2.45992140950268e-35
"Ptpn6",7.48011380437717e-39,0.384860956803041,0.556,0.258,1.37836057073258e-34
"Psme2",8.55685516003094e-37,0.354796610492397,0.971,0.95,1.5767717003389e-32
"Prss32",7.70963585413292e-35,0.343156999045149,0.873,0.674,1.42065459884107e-30
"Tap1",4.63590168011294e-34,0.259104360693827,0.351,0.106,8.54257602594411e-30
"Ubb",4.92687215498691e-33,0.204237076754594,1,1,9.07874731999438e-29
"Igtp",1.07529665724568e-31,0.182882474082597,0.188,0.023,1.98144915030662e-27
