"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"H2.Aa",6.2555159500763e-209,1.76362089132866,0.794,0.061,1.15270392412056e-204
"H2.Eb1",1.37429761111254e-194,1.57672568361853,0.822,0.13,2.53241820799707e-190
"Cd74",9.55382427487763e-178,2.33345122334421,0.916,0.407,1.7604831991317e-173
"H2.Ab1",1.09147826091637e-174,1.96301319524628,0.87,0.285,2.0112669913906e-170
"H2.DMb1",1.27065818760568e-138,0.605061164713349,0.606,0.046,2.34144184230098e-134
"Psmb8",7.00022156583108e-136,1.30277319664471,0.937,0.783,1.28993082793569e-131
"H2.DMa",1.05744118671158e-119,0.782018872616518,0.738,0.231,1.94854687475342e-115
"H2.D1",2.3418953933036e-113,0.653449333128165,0.995,0.971,4.31541064124054e-109
"Ly6e",2.22282709869254e-111,0.759965521029939,0.921,0.66,4.09600349476075e-107
"Psmb9",3.14194077592413e-104,0.844868069958545,0.926,0.765,5.78965426779539e-100
"Reg3g",5.42496626756115e-99,1.26058129913637,0.915,0.558,9.99658534123494e-95
"H2.K1",5.16289270825684e-93,0.613588305865078,0.989,0.971,9.51366239350487e-89
"H2.Q7",1.07154536139579e-86,0.442927403426173,0.543,0.11,1.97453663744402e-82
"Ceacam10",2.59079584899891e-84,0.760356215901348,0.886,0.555,4.77405951095028e-80
"Reg3b",4.78911215765268e-82,0.795491313802509,0.688,0.233,8.82489697290659e-78
"Ifitm3",1.48405929455565e-74,0.716306045494533,0.982,0.916,2.73467606207769e-70
"Psme2",1.17439647717523e-71,0.405744493998519,0.995,0.975,2.1640603884908e-67
"Hmgcs2",2.29559330037988e-66,-0.530171515235444,0.283,0.728,4.23008977461e-62
"Rps7",2.22337244104024e-61,0.175762249688225,1,1,4.09700839710484e-57
"Rpl7a",7.99914739950915e-60,0.287219312699234,0.998,0.991,1.47400289130755e-55
"Rpl9",6.5570194281038e-56,0.34892406022167,0.963,0.875,1.20826197001669e-51
"AW112010",2.73070150113437e-53,0.406842075600846,0.629,0.28,5.03186365614031e-49
"Tap1",2.14536574748563e-52,0.320073111817671,0.452,0.13,3.95326546289177e-48
"Erh",2.07621877250862e-51,0.336068541769318,0.952,0.871,3.82584833210163e-47
"B2m",7.42373577581994e-51,0.32521308036673,1,1,1.36797179141034e-46
"Hsp90aa1",6.30240645670786e-49,-0.338044578251942,1,1,1.16134443777756e-44
"Rpl23a",8.39028935069661e-48,0.339436834927156,0.902,0.773,1.54607861865286e-43
"Hspa8",2.49550032691227e-47,-0.254544556415013,1,1,4.59845845240124e-43
"Fth1",1.49267667247156e-46,-0.19333888065532,1,1,2.75055530436334e-42
"Rbm3",6.88992496787533e-46,0.258367613769598,0.997,0.993,1.26960647383039e-41
"Igtp",2.01164743608254e-45,0.247965637610717,0.27,0.033,3.7068627304693e-41
"Prap1",9.58664209214356e-44,-0.317795259886884,0.995,0.998,1.76653053831929e-39
"Gpx2",1.10260571250079e-43,0.293635123645724,0.998,0.998,2.03177154642521e-39
"Ptpn6",3.19897881666677e-40,0.313399507613995,0.619,0.317,5.89475826547185e-36
"Gstp1",4.67999287459949e-38,0.331076871084477,0.789,0.567,8.62382287002449e-34
"Defa30",2.96834996707345e-37,-0.23063218389769,0.95,0.984,5.46977848432624e-33
"Hsp90ab1",3.16667423440228e-37,-0.170305029546423,1,1,5.83523061173309e-33
"Prss32",9.40416026211009e-35,0.304325560888767,0.918,0.796,1.73290461149903e-30
"Lgals9",2.65911281925527e-34,0.28714972769872,0.982,0.961,4.89994719204169e-30
"Psmb10",8.77067685495574e-34,0.281875544841051,0.961,0.947,1.61617262406269e-29
"Gkn3",1.53384739781666e-33,-0.412519555270835,0.434,0.734,2.82642059995676e-29
"Atp1b1",2.42383147416945e-33,-0.252692554648564,0.965,0.993,4.46639425745204e-29
"Rps2",3.29738112102182e-33,-0.120126249521915,1,1,6.07608419170691e-29
"Selenow",1.06243797177053e-32,-0.278766229190611,0.814,0.935,1.95775445058156e-28
"Rpl21",2.83449241525012e-32,-0.133381392922877,1,1,5.2231191735814e-28
"Cd14",2.16955314221104e-31,0.265546018440478,0.514,0.263,3.99783557515228e-27
"Erdr1",5.24608748155273e-31,0.225065579233724,0.426,0.171,9.66696540225721e-27
"Irf1",6.58065816946497e-31,0.292276612845489,0.611,0.356,1.21261788088731e-26
"Rpl35",2.88096773604478e-30,0.202320387182978,1,0.995,5.30875924720971e-26
"Oat",3.03780454766332e-30,-0.233953173011748,1,1,5.5977624399792e-26
"Noxa1",3.19465391381935e-29,0.286060548458487,0.804,0.64,5.88678876699492e-25
"Ccnd2",3.70539865546835e-29,-0.346805721345849,0.957,0.966,6.82793810243152e-25
"Gm10020",6.90259514136955e-29,0.248163134317533,0.754,0.563,1.27194120670017e-24
"Hsph1",7.77438869433643e-29,-0.289848104758748,0.818,0.911,1.43258660470537e-24
"Cox6b2",1.76404230571187e-28,-0.170598514970317,0.063,0.291,3.25060075673526e-24
"S100a10",1.39854725388616e-27,-0.222620151292726,0.976,0.996,2.57710302473603e-23
"Spink4",1.73146007290433e-27,0.317916332222775,0.849,0.669,3.19056147634081e-23
"Irgm1",5.86955752986261e-27,0.232662518065305,0.429,0.194,1.08158336602778e-22
"Ifi47",4.26296512284801e-26,0.205994173649809,0.428,0.194,7.85536583187203e-22
"Stip1",7.21732156316055e-26,-0.240803985680889,0.831,0.908,1.32993584444359e-21
"Ccl25",1.45401820377819e-25,-0.213615543953127,0.971,0.994,2.67931934410208e-21
"Hmgn2",2.90763498801911e-25,0.259896201804825,0.934,0.841,5.35789899242282e-21
"Zg16",2.90928848583535e-25,0.292047308912973,0.582,0.33,5.3609458928488e-21
"Sfrp5",3.17863092507306e-25,-0.237817142077553,0.185,0.422,5.85726320563213e-21
"Ubb",4.19918719738915e-25,0.170148873330432,1,1,7.73784224862899e-21
"Nrn1",4.87877025593369e-25,-0.140119984672919,0.029,0.215,8.99010995060901e-21
"Krt19",7.43098787374551e-25,-0.238807945774,1,1,1.36930813549508e-20
"Txn1",2.15259096848736e-24,0.160611484349606,1,1,3.96657937763166e-20
