"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"H2.K1",1.00467726678881e-07,0.912880217864452,1,1,0.00185131879951175
"H2.D1",1.72439339370038e-07,0.8688211460334,1,0.966,0.00317753970657169
"Psmb8",8.14581864628949e-07,0.773727307257429,0.845,0.379,0.0150103000195177
"Hspa8",1.36084659398267e-06,-0.323354360737047,1,1,0.0250763201873187
"H2.Ab1",2.0709613839543e-06,0.855000360373602,0.586,0.034,0.038161605422126
"B2m",7.32495376541958e-06,1.06064536721944,0.983,0.966,0.134976923035387
"Actn1",1.09995749391494e-05,-0.484648997369572,0.483,0.862,0.202689167403705
"Reg3g",3.18488084220361e-05,0.557159639035898,0.621,0.172,0.58687799279286
"Hspe1",4.61457952435457e-05,-0.436543541965099,0.966,1,0.850328568952816
"Imp3",4.73617930630323e-05,-0.512307527992834,0.552,0.828,0.872735760772496
"Pard3",5.54920016433651e-05,-0.321047394972892,0.069,0.414,1
"Gstp1",8.30239607511895e-05,0.446313980444059,0.621,0.172,1
"Srp72",0.000102009827048035,-0.361704920343534,0.569,0.862,1
"Dpysl2",0.000108341981418064,0.679713628391698,0.931,0.759,1
"Apool",0.000220789782489464,-0.391175037715462,0.414,0.724,1
"Eif2b1",0.000221131065036727,-0.391468662439224,0.328,0.724,1
"Brd9",0.000271407873357363,-0.232768097098956,0.034,0.31,1
"Hsph1",0.000271845507833055,-0.487957206159089,0.69,0.897,1
"Fkbp4",0.000279942034640559,-0.377043892561461,0.948,1,1
"Rps2",0.000310822998048368,-0.458863335190086,1,1,1
"Sfrp5",0.000376231999756751,-0.434893131262419,0,0.207,1
"Rpl21",0.000554305980494535,-0.367693195261586,0.983,1,1
"B3galt4",0.000661961311387152,-0.299831317474517,0.086,0.379,1
"Hspd1",0.000721394209255314,-0.404033450329147,0.914,1,1
"Slc38a1",0.00073117663792101,-0.319121903077793,0.121,0.448,1
"Rpl34",0.000746232970144443,-0.245624646011326,0.983,1,1
"Zfp637",0.000766650524862397,-0.354788852786914,0.172,0.517,1
"Cib2",0.000878217236670707,-0.290803985226814,0.052,0.31,1
"Zfp472",0.000926752626638115,-0.275160765067219,0.052,0.31,1
"Rpl36a",0.000966944353691859,-0.240552130023393,1,1,1
"Ahsa1",0.00116331952902369,-0.419742248357187,0.862,0.966,1
"Rpl26",0.00117060212829784,-0.293066610063415,1,1,1
"Pbx3",0.00125747199040529,-0.173038832669495,0,0.172,1
"Hsp90aa1",0.00132766400149761,-0.408456524662313,1,1,1
"Fabp5",0.0014143348991591,-0.222932253746078,0.052,0.31,1
