"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ly6a",0,3.44393842001476,0.991,0.571,0
"Cd74",0,2.95240254379888,0.986,0.164,0
"Isg15",0,2.34061816228088,0.97,0.107,0
"Ly6c1",0,2.32174568969791,0.933,0.199,0
"Psmb8",0,2.30028322857903,0.968,0.206,0
"Cxcl10",0,2.28823722735382,0.889,0.128,0
"Areg",0,2.22336328495368,0.985,0.56,0
"Lypd8",0,2.16149033157305,0.987,0.982,0
"Igtp",0,2.12512563998068,0.956,0.153,0
"H2.Ab1",0,2.09031122364754,0.958,0.146,0
"Psmb9",0,2.04622435352208,0.96,0.278,0
"Cxcl9",0,1.94479127367402,0.884,0.07,0
"H2.Aa",0,1.8575865315779,0.932,0.081,0
"Iigp1",0,1.76339846907343,0.931,0.039,0
"B2m",0,1.69289972263878,0.988,0.989,0
"H2.Eb1",0,1.61068297618915,0.916,0.053,0
"Bst2",0,1.58963296559327,0.95,0.526,0
"Ifitm3",0,1.58283540225614,0.973,0.929,0
"Lgals9",0,1.56185954102435,0.972,0.863,0
"H2.D1",0,1.55822083267926,0.985,0.894,0
"Irf8",0,1.52706633375494,0.944,0.62,0
"Irgm1",0,1.38738552840733,0.923,0.125,0
"Tap1",0,1.35816241039603,0.927,0.121,0
"H2.T23",0,1.28546421120181,0.916,0.217,0
"Irf1",0,1.25342312117255,0.903,0.1,0
"Plac8",0,1.23568764644752,0.98,0.989,0
"Ifi47",0,1.19633958196895,0.863,0.078,0
"H2.Q7",0,1.19095496834396,0.901,0.174,0
"H2.K1",0,1.17782691486811,0.985,0.966,0
"Upp1",0,1.13697922533085,0.814,0.139,0
"Gbp2",0,1.10683083792862,0.785,0.019,0
"Psme1",0,1.10473354973307,0.946,0.718,0
"Trim30a",0,1.0822815434858,0.844,0.024,0
"Inf2",0,1.0538265903954,0.845,0.12,0
"Psme2",0,1.04385478734647,0.922,0.67,0
"Pycard",0,0.990624694837915,0.986,0.996,0
"Psmb10",0,0.989467399877776,0.918,0.602,0
"H2.DMb1",0,0.975743188475041,0.825,0.029,0
"H2.T22",0,0.96494301143488,0.842,0.212,0
"H2.DMa",0,0.962665575393186,0.836,0.126,0
"Oasl1",0,0.951931206322482,0.718,0.057,0
"Tapbp",0,0.940001631446303,0.857,0.186,0
"Serping1",0,0.931555852858814,0.681,0.026,0
"Wars",0,0.912391956141497,0.882,0.421,0
"Socs1",0,0.875815147581399,0.716,0.04,0
"Irf7",0,0.868061060908642,0.774,0.049,0
"Lap3",0,0.840064195681356,0.911,0.759,0
"Batf2",0,0.798780341717626,0.706,0.028,0
"Gbp7",0,0.793686367621042,0.722,0.008,0
"Tspo",0,0.779344694692326,0.955,0.947,0
"Oasl2",0,0.737346197282069,0.696,0.02,0
"Tapbpl",0,0.72165386646824,0.774,0.124,0
"Gm4951",0,0.701499274755059,0.665,0.009,0
"Zbp1",0,0.685594247095829,0.688,0.022,0
"Xaf1",0,0.676247769891005,0.704,0.027,0
"Ifi44",0,0.662404499720611,0.683,0.009,0
"Xdh",0,0.646302425986212,0.693,0.038,0
"Rps6",0,-0.301927872400498,0.993,1,0
"Rps5",0,-0.30195590359993,0.998,1,0
"Rps3a1",0,-0.318966919465472,0.99,1,0
"Rpl3",0,-0.36280156780341,0.991,1,0
"Eef1a1",0,-0.418719487424322,0.994,1,0
"Rps4x",0,-0.426458733338841,0.99,0.999,0
"Rpl37a",0,-0.456144342107637,0.99,0.999,0
"Uqcrh",0,-0.677797583763103,0.938,0.996,0
"Jaml",0,-0.755318489395184,0.827,0.987,0
"Ociad2",0,-0.792194231998963,0.739,0.969,0
"Hadh",0,-0.828875614180318,0.757,0.978,0
"Tm4sf5",0,-0.836143456979416,0.74,0.971,0
"Lgals2",0,-0.874654434444798,0.979,1,0
"Slc12a2",0,-0.906714732620268,0.559,0.951,0
"Oat",0,-1.01358649347723,0.883,0.997,0
"Mt1",0,-1.04702842336911,0.981,0.999,0
"H2afv",0,-1.05179244638918,0.778,0.991,0
"Gsta4",0,-1.21105383495813,0.413,0.939,0
"Stat1",1.80487847132189e-307,0.757953828175969,0.735,0.09,5.60468911699587e-303
"Adssl1",2.54463333062835e-307,0.764839753792244,0.715,0.07,7.90184988160022e-303
