"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Isg15",0,3.42523694871419,0.986,0.139,0
"Ly6a",0,3.41292966767962,0.982,0.587,0
"Cd74",0,3.01693862856134,0.977,0.177,0
"Igtp",0,2.70856647661541,0.965,0.163,0
"Upp1",0,2.60265661305261,0.964,0.322,0
"Psmb8",0,2.32227357431932,0.953,0.259,0
"Irf8",0,2.20990872572364,0.967,0.595,0
"Lypd8",0,2.20977610661581,0.998,0.997,0
"Areg",0,2.15819744206643,0.992,0.68,0
"Psmb9",0,2.07770095308565,0.95,0.362,0
"H2.Ab1",0,2.03859541385314,0.943,0.155,0
"Casp3",0,1.96496580757589,0.935,0.299,0
"H2.Aa",0,1.95283899334904,0.903,0.079,0
"Ifitm3",0,1.93448427349445,0.917,0.6,0
"Duoxa2",0,1.82077026487855,0.814,0.036,0
"Irgm1",0,1.81991374243475,0.937,0.129,0
"Oasl1",0,1.77163984120904,0.916,0.126,0
"B2m",0,1.67426944729665,0.995,0.996,0
"H2.D1",0,1.59260070267487,0.984,0.919,0
"Lgals9",0,1.58619271090254,0.957,0.891,0
"Ifi47",0,1.55883919970527,0.878,0.06,0
"H2.Eb1",0,1.41251253698506,0.855,0.058,0
"Tap1",0,1.40173902513758,0.904,0.109,0
"Slfn2",0,1.39318450813089,0.846,0.081,0
"Irf1",0,1.38624882265235,0.886,0.119,0
"Irf7",0,1.36599096071985,0.881,0.1,0
"Inf2",0,1.33888656658318,0.877,0.103,0
"Trim30a",0,1.33637775205749,0.857,0.025,0
"Bst2",0,1.32940323784315,0.905,0.435,0
"Batf2",0,1.3196924620918,0.829,0.042,0
"H2.T23",0,1.31649525766968,0.916,0.341,0
"Samhd1",0,1.30620503693392,0.901,0.357,0
"Iigp1",0,1.26788893438887,0.8,0.04,0
"Clic1",0,1.23804771900152,0.969,0.969,0
"Xdh",0,1.23568801491365,0.879,0.125,0
"Tmsb10",0,1.22200832076975,0.991,0.988,0
"H2.K1",0,1.21292947803462,0.988,0.968,0
"Usp18",0,1.20737264314554,0.772,0.023,0
"Socs1",0,1.13839201966236,0.745,0.025,0
"Oasl2",0,1.11938361875629,0.782,0.033,0
"Actg1",0,1.08493405599873,0.999,0.999,0
"Parp14",0,1.02833229046678,0.765,0.061,0
"H2.DMb1",0,0.999832647097133,0.781,0.035,0
"Zbp1",0,0.983817058147696,0.745,0.021,0
"Hadh",0,-1.08324940457283,0.761,0.99,0
"H2afv",0,-1.08864690557972,0.609,0.977,0
"Tm4sf5",0,-1.15742348945454,0.81,0.994,0
"Akr1c19",0,-1.44659309623357,0.394,0.949,0
"Gsta4",0,-1.61303060871675,0.704,0.995,0
"Oat",0,-1.61630930710966,0.745,0.981,0
"Tapbp",5.23893610938727e-308,1.04566517867068,0.863,0.254,1.62684683004803e-303
"Wars",3.32409870405504e-306,1.10086254738049,0.853,0.247,1.03223237057021e-301
"Ociad2",3.09766116197164e-305,-0.967313193001965,0.65,0.973,9.61916720627054e-301
"Ifit1",7.68570729829527e-305,1.2072408605331,0.722,0.033,2.38664268733963e-300
"Plac8",1.03014434266335e-304,1.04693717837272,0.991,0.998,3.1989072272725e-300
"Acaa2",2.56724892958212e-301,-1.01084596273875,0.599,0.962,7.97207810103136e-297
"Rac1",6.07592387286786e-298,1.05116646616344,0.943,0.914,1.88675664024166e-293
"Tax1bp1",2.76041516914941e-294,1.04139396400829,0.956,0.936,8.57191722475966e-290
"Serping1",1.9089878229017e-289,1.33307343489085,0.685,0.027,5.92797988645666e-285
"Uqcrh",1.721296755203e-286,-0.71329703955086,0.938,0.998,5.34514281393186e-282
"Rrbp1",3.57228653166193e-286,1.02956288165872,0.993,0.962,1.10930213667698e-281
"Rpl37a",1.11756089524947e-284,-0.608465647514777,0.964,1,3.47036184801817e-280
"Misp",1.1994732996033e-284,1.09796583122551,0.945,0.666,3.72472443725812e-280
"Adh1",2.30093372601996e-282,-1.51115450226843,0.326,0.882,7.14508949940979e-278
"Adssl1",3.6288898420933e-282,0.954836216845736,0.7,0.046,1.12687916266523e-277
"Mt1",6.75381541458441e-282,-1.53881319822682,0.975,1,2.0972623006909e-277
"Pycard",3.00616423692487e-281,0.953164196830939,0.978,0.991,9.33504180492281e-277
"Xaf1",4.85732264424562e-280,0.720669397009461,0.673,0.024,1.50834440071759e-275
"Ifi44",1.05477636984159e-278,0.739597863718423,0.654,0.012,3.2753970612691e-274
"Parp12",6.90913610703667e-277,0.726698020201218,0.683,0.038,2.1454940353181e-272
"Dstn",1.85221989763604e-276,1.08984967751972,0.996,0.999,5.7516984481292e-272
"Eef1a1",2.17761943061162e-275,-0.561281382930406,0.98,1,6.76216161787825e-271
"Rps4x",1.51918932159559e-272,-0.604163885890098,0.963,0.999,4.71753860035078e-268
"Lap3",1.58237530281281e-272,1.01635494619322,0.912,0.744,4.91375002782461e-268
"Rps8",2.14473269006073e-270,-0.610401318314998,0.973,0.999,6.6600384224456e-266
"Tnfrsf1a",3.46911711936117e-270,0.977999115510885,0.896,0.496,1.07726493907522e-265
"Rnf213",1.54457903015577e-269,0.858880890097667,0.742,0.108,4.7963812623427e-265
"Rps16",7.47871781692546e-269,-0.539960175270048,0.971,0.999,2.32236624368986e-264
"H2.Q7",1.98045727198874e-267,0.883209638855309,0.755,0.122,6.14991396670663e-263
