"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",1.59068257192001e-93,3.26890920423951,0.931,0.186,4.93954659058321e-89
"H2.Ab1",5.2283940054169e-90,2.81818933511928,0.92,0.178,1.62357319050211e-85
"Psmb8",2.74081512850297e-87,2.1321398166359,0.935,0.326,8.51105321854027e-83
"H2.Aa",2.91340148700544e-87,2.67322844942024,0.882,0.055,9.04698563759801e-83
"H2.D1",1.63819648965155e-83,1.753833826731,0.985,0.818,5.08709155931495e-79
"B2m",1.76561443883626e-82,2.3943157097529,0.964,0.856,5.48276251691823e-78
"H2.Eb1",3.99068502521951e-82,2.12623189978964,0.865,0.068,1.23922742088141e-77
"H2.K1",7.74812996385342e-80,1.62694143632354,0.979,0.89,2.4060267976754e-75
"H2.Q7",1.9057902708912e-79,1.93246399089294,0.859,0.102,5.91805052819844e-75
"Ly6a",1.1502461796212e-75,2.33798339371865,0.939,0.597,3.57185946157773e-71
"Psmb9",2.63321518659021e-74,1.74024108121712,0.863,0.242,8.17692311891859e-70
"Irgm1",3.2399946560415e-73,1.61552956262776,0.819,0.089,1.00611554054057e-68
"Zbp1",7.12438488090985e-73,1.62005724323181,0.802,0.042,2.21233523706894e-68
"Serping1",2.86919904578469e-71,2.24165958598641,0.798,0.064,8.90972379687519e-67
"Isg15",7.83295030642241e-71,2.01588440368847,0.803,0.085,2.43236605865335e-66
"Igtp",2.05756275919197e-70,1.69470482762427,0.83,0.157,6.38934963611882e-66
"Ly6e",4.7325411380829e-68,1.4306929231779,0.945,0.678,1.46959599960888e-63
"H2.T23",1.99759477141761e-67,1.59951946021297,0.887,0.436,6.2031310436831e-63
"Gbp7",9.85458989993017e-66,1.51212659731404,0.731,0.008,3.06014580162532e-61
"Tap1",2.37462747527145e-65,1.27659347312779,0.763,0.051,7.37393069896043e-61
"H2.T22",3.42692169693335e-64,1.42376519630062,0.805,0.157,1.06416199454871e-59
"H2.DMb1",1.21994544029009e-63,1.30934553753261,0.735,0.034,3.78829657573283e-59
"Lgals9",3.31132836991521e-62,1.43641005862024,0.878,0.492,1.02826679870977e-57
"Iigp1",9.61288950415634e-62,2.36636694306756,0.719,0.042,2.98509057772567e-57
"Wars",1.15418995478074e-61,1.64597331510358,0.859,0.335,3.58410606658063e-57
"Stat1",1.29983239652592e-61,1.35356844912253,0.758,0.097,4.03636954093194e-57
"Il18bp",4.73492833268923e-59,1.31157312327504,0.7,0.034,1.47033729514999e-54
"Irf8",1.46847497808656e-58,1.52714624322954,0.838,0.326,4.5600553494522e-54
"Irf1",1.91374535214342e-55,1.24863721243985,0.784,0.178,5.94275344201095e-51
"Psmb10",7.20231863413557e-55,1.22092666834444,0.866,0.445,2.23653600545812e-50
"Ifi47",9.01352393112119e-55,1.25727560507698,0.689,0.059,2.79896958633106e-50
"Pla2g16",1.2993895114634e-52,1.15816497479203,0.813,0.326,4.03499424994728e-48
"Psme2",4.4325100088518e-52,1.14304440803452,0.874,0.53,1.37642733304875e-47
"Bst2",5.06967695413813e-52,1.34922480684039,0.76,0.208,1.57428678456851e-47
"Psme1",5.82600763798498e-52,1.05557138401262,0.914,0.653,1.80915015182348e-47
"H2.DMa",1.38532185523546e-48,1.05343421105188,0.639,0.059,4.30183995706267e-44
"Irf7",2.25365795235323e-48,1.21754648000968,0.71,0.14,6.9982840394425e-44
"Usp18",4.09451995043694e-47,1.23236933557938,0.676,0.097,1.27147128020918e-42
"Rtp4",4.08910090338261e-45,1.01356987160081,0.609,0.038,1.2697885035274e-40
"Tapbp",1.33018534708817e-43,1.01138546590309,0.761,0.233,4.13062455831289e-39
"X2210407C18Rik",1.62704830052957e-43,1.77088243760683,0.714,0.199,5.05247308763446e-39
"Xaf1",1.80076659489673e-43,0.924772100132655,0.573,0.017,5.59192050713282e-39
"Ifit1",3.45939847079471e-42,1.17207909219139,0.55,0.013,1.07424700713588e-37
"Gbp4",7.0336247524739e-41,1.20001781244555,0.542,0.017,2.18415149438572e-36
"Parp14",1.52277226180749e-39,0.882523067908078,0.54,0.025,4.7286647045908e-35
"Ccnd2",1.6882415368641e-39,0.953698501304524,0.824,0.411,5.2424964444241e-35
"Socs1",2.83183788267183e-39,1.03810850380236,0.557,0.034,8.79370617706082e-35
"Ifi27l2b",5.40675645186049e-39,1.1158766021338,0.796,0.386,1.67896008099624e-34
"Ifit1bl1",6.60231899858824e-39,1.68328279778285,0.529,0.025,2.05021811863161e-34
"Plac8",1.61986208558052e-38,0.839474296404701,0.968,0.958,5.0301577343532e-34
"Oasl2",1.71065772451341e-38,0.799835852598431,0.555,0.042,5.31210543193148e-34
"Ido1",1.77007326946169e-37,1.98591626306573,0.523,0.034,5.49660852365938e-33
"Ddx60",8.75943642992865e-37,0.991841872766728,0.529,0.038,2.72006779458575e-32
"Apol9a",9.99392930179999e-37,0.94935741239589,0.511,0.025,3.10341486608795e-32
"Ube2l6",1.4228975602571e-36,0.780798816880007,0.569,0.068,4.41852379386637e-32
"Batf2",2.73473641951491e-36,0.902390242535243,0.519,0.03,8.49217700351965e-32
"Lap3",2.14420167637126e-35,0.786084215569711,0.865,0.576,6.65838946563566e-31
"F830016B08Rik",2.63019105060968e-33,1.49104682669556,0.445,0,8.16753226945824e-29
"Shisa5",2.568410488298e-31,0.762447880034542,0.781,0.403,7.97568508931179e-27
