"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cd74",1.67001019469066e-91,2.94422741759606,0.96,0.207,5.18588265757291e-87
"Psmb8",8.0824641344529e-91,2.12326943301171,0.962,0.221,2.50984758767166e-86
"Ly6a",5.59326141308353e-89,3.18638580366646,0.973,0.55,1.73687546660483e-84
"Isg15",7.97278146525904e-88,2.12841990587235,0.946,0.131,2.47578782840689e-83
"Gbp2",2.06292950404507e-87,1.87216500039132,0.915,0.014,6.40601498891116e-83
"Ifitm3",3.73821816359335e-86,2.12726921331278,0.98,0.761,1.16082888634064e-81
"Psmb9",4.85033996152471e-86,1.89421041405752,0.938,0.176,1.50617606825227e-81
"B2m",1.0731494110757e-85,2.08366941231561,0.989,0.932,3.33245086621338e-81
"Bst2",2.25646070976372e-85,1.76061313666002,0.96,0.324,7.00698744202928e-81
"Cxcl9",6.86659127517661e-85,2.77774863194328,0.92,0.081,2.13228258868059e-80
"H2.Ab1",9.13892094074376e-85,1.88209603805962,0.938,0.131,2.83790911972916e-80
"Ido1",4.17191700282625e-84,2.90809373399041,0.908,0.059,1.29550538688764e-79
"H2.D1",2.03998549791343e-83,1.83400466148233,0.975,0.73,6.33476696667058e-79
"Irgm1",8.72428613428447e-83,1.48422153718405,0.922,0.117,2.70915257327936e-78
"Lgals9",3.44167689546876e-82,1.62586940059608,0.967,0.626,1.06874392634992e-77
"H2.Q7",1.83064623304529e-81,1.57541690106028,0.915,0.135,5.68470574747555e-77
"H2.K1",4.30230592518614e-81,1.29920867510854,0.987,0.892,1.33599505894805e-76
"Cxcl10",7.67190829374896e-81,2.62838433536591,0.917,0.149,2.38235768245787e-76
"H2.Eb1",1.38842572600461e-80,1.66640941434326,0.895,0.063,4.3114784069621e-76
"Iigp1",1.42361023400399e-80,1.7814633674103,0.879,0.036,4.4207368596526e-76
"H2.T23",5.68554731335164e-80,1.49479334447708,0.949,0.306,1.76553300721509e-75
"H2.Aa",1.63389455569089e-79,1.80643822939289,0.902,0.117,5.07373276378691e-75
"Igtp",1.7148402166528e-79,1.78468200913381,0.922,0.171,5.32509332477195e-75
"Lypd8",4.00670624467671e-77,1.48876751759433,0.998,0.946,1.24420249015946e-72
"Areg",8.43681027604103e-75,2.41147226715824,0.926,0.311,2.61988269501902e-70
"Plac8",9.32209936954564e-75,1.21480684225237,0.989,0.95,2.89479151722501e-70
"Psme1",1.74509482838218e-73,1.20914888227889,0.96,0.491,5.41904297057519e-69
"Ifi47",1.57965185589895e-72,1.26182298086238,0.875,0.095,4.90529290812302e-68
"Wars",5.56072263297095e-72,1.32008827156615,0.967,0.545,1.72677119921647e-67
"Gbp7",2.33911335319094e-71,1.24103601609108,0.806,0.005,7.26364869566381e-67
"Tap1",2.94623764451154e-71,1.22748207341354,0.866,0.099,9.14895175750168e-67
"Ifi27l2b",1.51249798051425e-70,1.25012382276456,0.98,0.703,4.6967599788909e-66
"H2.DMb1",1.09029569287317e-69,1.24626344553373,0.819,0.032,3.38569521507905e-65
"H2.DMa",3.34762722274111e-67,1.01807232933071,0.788,0.023,1.0395386814778e-62
"Trim30a",4.06617373313979e-67,1.01393509993929,0.79,0.014,1.2626689293519e-62
"Irf8",6.47292523417486e-67,1.26688927562708,0.92,0.419,2.01003747296832e-62
"Psmb10",8.04903935073504e-67,1.08375482906802,0.929,0.441,2.49946818958375e-62
"Serping1",3.80997065482187e-66,1.33587793327213,0.79,0.027,1.18311018744184e-61
"H2.T22",1.61116843054909e-64,1.16066905236311,0.891,0.266,5.00316132738408e-60
"Psma7",1.67728061711151e-64,0.841573854449235,0.98,0.838,5.20845950031636e-60
"Irf1",9.07499841802895e-63,1.02915515900862,0.857,0.135,2.81805925875053e-58
"Stat1",4.3379085562548e-62,1.05373255117886,0.788,0.068,1.3470507439738e-57
"Pycard",9.56438250619275e-62,0.883176954222035,0.989,0.901,2.97002769964804e-57
"Irf7",2.4926673381705e-61,1.10135131488659,0.835,0.113,7.74047988522086e-57
"Mmp7",7.08194340022946e-59,1.91512385132034,0.893,0.356,2.19915588407325e-54
"Psme2",1.62827708206412e-57,0.972504720742661,0.915,0.477,5.0562888229337e-53
"AW112010",4.20903586580949e-57,2.22056103836269,0.783,0.117,1.30703190740982e-52
"Oasl2",8.48307181826382e-56,0.827828729224917,0.69,0.005,2.63424829172546e-51
"Tapbp",8.52125378653045e-56,0.950339660233341,0.828,0.198,2.6461049383313e-51
"Rps19",1.42139373072853e-54,-0.376264991909242,1,1,4.41385395203132e-50
"Inf2",8.19626668955138e-54,0.832583878909622,0.795,0.099,2.54518669510639e-49
