"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Isg15",1.68656901216884e-46,0.773590707236317,0.481,0.109,5.23730275348789e-42
"Areg",8.33354521925551e-38,1.1038843616971,0.66,0.331,2.58781579693541e-33
"Cd74",1.50196257095988e-37,0.982678385619708,0.506,0.169,4.66404437160173e-33
"Iigp1",4.76910775040932e-37,0.338006400622746,0.289,0.03,1.48095102973461e-32
"Inf2",1.75402234189985e-29,0.327464140571829,0.365,0.09,5.4467655783016e-25
"Igtp",9.01013307484843e-27,0.556000530222871,0.412,0.145,2.79791662373268e-22
"H2.Aa",1.24599462936876e-24,0.406656587614784,0.302,0.075,3.86918712257882e-20
"Cxcl10",3.92151561978179e-24,0.49301833108059,0.377,0.122,1.21774824541084e-19
"Tap1",8.08455613638526e-24,0.308694820294795,0.374,0.122,2.51049721703171e-19
"H2.Eb1",1.26419921728872e-23,0.306018592757948,0.252,0.048,3.92571782944665e-19
"Ly6a",9.60625434150745e-23,1.30160013771543,0.742,0.537,2.98303016066831e-18
"Irgm1",1.94495780211089e-22,0.296890415466336,0.396,0.137,6.03967746289496e-18
"Upp1",1.60631737078672e-21,0.318666045737648,0.318,0.089,4.988097331504e-17
"Olfm4",3.72344218378729e-21,-0.548644607128708,0.884,0.935,1.15624050133147e-16
"H2.Ab1",3.81386669804262e-21,0.539530076019649,0.396,0.161,1.18432002574318e-16
"Stc2",5.45061888905259e-20,0.32370581620266,0.522,0.242,1.6925806836175e-15
"Cxcl9",1.41229710663748e-19,0.420838270908567,0.245,0.06,4.38560620524137e-15
"Tubb4b",1.53621003787904e-19,0.436892586932126,0.912,0.864,4.77039303062578e-15
"Pfkp",8.99610794048573e-19,0.333526630874233,0.777,0.545,2.79356139875903e-14
"Cenpa",3.14054418241923e-18,0.329585845116418,0.368,0.14,9.75233184966643e-14
"Hmgb2",9.15719460211252e-18,0.580675398951475,0.893,0.787,2.843583639794e-13
"Mki67",1.30283717968153e-17,0.272347226975333,0.374,0.141,4.04570029406505e-13
"Birc5",1.9177355131598e-17,0.396604136684033,0.425,0.195,5.95514408901512e-13
"Mthfd2",2.53323770593468e-17,0.341025496598178,0.752,0.568,7.86646304823896e-13
"Slc12a2",4.16973028423975e-17,-0.251885862649571,0.956,0.992,1.29482634516497e-12
"Smoc2",6.61594062669429e-17,-0.261181244998604,0.928,0.974,2.05444804280738e-12
"Cdca8",1.55384052026175e-16,0.285315430427777,0.44,0.203,4.82514096756881e-12
"Psmb8",1.92291591924657e-16,0.617535072142587,0.472,0.263,5.97123080403637e-12
