"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ly6a",0,3.50364026954843,0.995,0.676,0
"Cd74",0,2.93682748865201,0.991,0.217,0
"Isg15",0,2.33502255873376,0.991,0.152,0
"Areg",0,2.30734475156314,0.989,0.546,0
"Lypd8",0,2.29084260921314,1,0.996,0
"Cxcl10",0,2.28783663491704,0.94,0.175,0
"Psmb8",0,2.26071205343503,0.991,0.33,0
"Ly6c1",0,2.24750501104961,0.966,0.28,0
"Igtp",0,2.1095786171227,0.99,0.218,0
"H2.Ab1",0,2.01368368816589,0.989,0.194,0
"Psmb9",0,1.99524397311394,0.993,0.457,0
"H2.Aa",0,1.89199563588079,0.987,0.109,0
"Cxcl9",0,1.81578803452902,0.928,0.09,0
"B2m",0,1.72613363488395,1,0.999,0
"Iigp1",0,1.70361492256311,0.975,0.051,0
"Lgals9",0,1.62460498248201,0.998,0.932,0
"Ifitm3",0,1.61701090018657,0.999,0.95,0
"Bst2",0,1.56713608907232,0.992,0.615,0
"H2.Eb1",0,1.54791382917432,0.979,0.085,0
"Irf8",0,1.54085223423662,0.993,0.704,0
"H2.D1",0,1.51820637624629,1,0.949,0
"Irgm1",0,1.45132938729863,0.986,0.172,0
"Plac8",0,1.42718759640628,1,0.999,0
"Tap1",0,1.31229474091445,0.979,0.162,0
"H2.T23",0,1.24922246235526,0.981,0.242,0
"Ifi47",0,1.18641340059928,0.957,0.093,0
"Upp1",0,1.12859619940967,0.906,0.174,0
"Trim30a",0,1.12751697099033,0.946,0.037,0
"H2.K1",0,1.11632761711816,1,0.986,0
"Psme1",0,1.11284617322516,0.995,0.818,0
"Irf1",0,1.10490606798521,0.955,0.123,0
"Reg3g",0,1.07530185290455,0.885,0.251,0
"Gbp2",0,1.05075330042091,0.871,0.037,0
"H2.Q7",0,1.03875402049282,0.973,0.361,0
"Psme2",0,1.03137388114361,0.994,0.826,0
"Psmb10",0,1.00154119509576,0.991,0.678,0
"Pycard",0,0.984856732348104,1,1,0
"Ero1l",0,0.982152975978528,0.993,0.861,0
"H2.DMb1",0,0.947772364464068,0.924,0.05,0
"Serping1",0,0.934142104328862,0.789,0.035,0
