"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"B2m",8.99128863184088e-29,2.91667619520813,0.988,0.791,2.79206485884555e-24
"Psmb8",9.86885836234061e-29,2.60274446053405,0.944,0.209,3.06457658725763e-24
"Isg15",1.01176372256934e-28,3.07584858467337,0.938,0.164,3.14182988769456e-24
"H2.T23",1.99122626116765e-27,2.18064041167642,0.926,0.254,6.1833549088039e-23
"H2.Q7",2.77251711217464e-27,2.05698414883115,0.907,0.09,8.60949738843591e-23
"Ly6e",2.96092269781976e-27,2.34981618139264,0.957,0.537,9.19455325353969e-23
"Zbp1",3.06833653636929e-26,1.90248442565229,0.864,0,9.52810544638754e-22
"Psmb9",4.20805622331035e-26,2.05497477238207,0.895,0.149,1.30672769902456e-21
"Cd74",4.2690697896628e-26,3.08520951075792,0.889,0.134,1.32567424178399e-21
"H2.K1",4.32645558677366e-26,2.00388414498755,0.981,0.806,1.34349425336083e-21
"Iigp1",8.53535268341493e-26,2.23685786895288,0.864,0.03,2.65048306878084e-21
"Igtp",1.40750678171774e-25,2.08336342079923,0.901,0.194,4.37073080926809e-21
"Psmb10",9.73555856964707e-25,1.76337675697082,0.895,0.239,3.0231830026325e-20
"Oasl2",1.04050998353216e-24,1.63837913367863,0.84,0.015,3.23109565186241e-20
"H2.D1",2.01891281364115e-24,1.53637571606428,1,0.955,6.26932996019988e-20
"H2.Eb1",2.07401894585939e-24,2.09347265702344,0.852,0.075,6.44045103257717e-20
"Lgals9",5.9721903128303e-24,1.69103304187691,0.951,0.657,1.85454425784319e-19
"Stat1",8.55030108917461e-24,1.99166186571678,0.852,0.104,2.65512499722139e-19
"H2.Ab1",9.05245762266481e-24,2.40919377780211,0.846,0.119,2.8110596655661e-19
"Irgm1",1.00893942262818e-23,1.67641904641299,0.858,0.149,3.1330595890873e-19
"H2.T22",1.44259811253631e-23,1.68065602181588,0.864,0.164,4.47969991885901e-19
"Gbp2",2.04833090393473e-23,2.18809285268001,0.809,0.015,6.36068195598852e-19
"Tap1",2.13287518090721e-23,1.53704015006466,0.84,0.09,6.62321729927117e-19
"Ifi27l2b",2.31758542123635e-23,1.93926987591624,0.932,0.567,7.19679800856523e-19
"Usp18",4.39778917377299e-23,1.87894256273151,0.796,0,1.36564547213173e-18
"Ly6a",4.4383789046391e-23,2.71680173867368,0.907,0.433,1.37824980125758e-18
"Bst2",4.50304239686576e-23,2.00667725597041,0.87,0.269,1.39832975549872e-18
"H2.Aa",5.2280011266913e-23,2.14060263960818,0.815,0.045,1.62345118987145e-18
"Wars",5.29042629221822e-23,1.69664000091412,0.877,0.269,1.64283607652252e-18
"Ddx60",7.77309441666678e-23,1.55003294313521,0.802,0.015,2.41377900920753e-18
"Psme1",2.4909436571074e-22,1.32377001097164,0.938,0.746,7.73512733841562e-18
"Irf7",2.57869485851663e-22,1.61603435981544,0.883,0.254,8.00762114415168e-18
"Lypd8",1.24669711217442e-21,1.85827513280309,0.963,0.746,3.87136854243522e-17
"Xaf1",5.48294676563731e-21,1.41085143587923,0.765,0.03,1.70261945913336e-16
"Tapbp",9.2355280067952e-21,1.38582459188424,0.858,0.254,2.86790851195011e-16
"Irf1",1.10776689286365e-20,1.38856295173374,0.784,0.075,3.43994853240949e-16
"Ifi47",2.83332071186686e-20,1.60013591596394,0.802,0.119,8.79831080656017e-16
"mt.Cytb",1.43780934275125e-19,-0.7518243737247,1,1,4.46482935204547e-15
"Parp14",1.76511131677085e-19,1.15126153401586,0.759,0.045,5.48120017196853e-15
"Lgals3bp",3.66129702962053e-19,1.27011493605354,0.883,0.358,1.13694256660806e-14
"Trim30a",3.81031563113864e-19,1.17285060453509,0.728,0.03,1.18321731293748e-14
"Ifit1bl1",4.64003671483655e-19,1.94648780860086,0.71,0.015,1.44087060105819e-14
"Ifitm3",4.68481438965848e-19,2.30911234985536,0.877,0.493,1.45477541242065e-14
"Gm4951",5.75142246903164e-19,1.1840569106626,0.698,0,1.78598921930839e-14
"Gbp7",7.30187381904727e-19,1.25879632543818,0.722,0.03,2.26745087702875e-14
"Ifi27l2a",2.17978573130769e-18,2.56780116063958,0.704,0.03,6.76888863142977e-14
"Samhd1",2.23917069978346e-18,1.17165510239962,0.833,0.328,6.95329677403758e-14
"Ido1",2.64025721505982e-18,2.31154288574089,0.735,0.09,8.19879072992527e-14
"Il18bp",2.97322132872018e-18,1.28657320531646,0.679,0,9.23274419207477e-14
"Slfn2",3.51380087762204e-18,1.66992908019507,0.741,0.09,1.09114058652797e-13
"Rtp4",3.62890537812701e-18,1.27107185376743,0.698,0.03,1.12688398706978e-13
"H2.DMb1",7.12274098775935e-18,1.08004180010854,0.704,0.045,2.21182475892891e-13
"Gbp3",8.69226913767036e-18,1.18153224059124,0.667,0,2.69921033532078e-13
"Txn1",1.69010039714686e-17,0.708931514770122,0.994,0.985,5.24826876326015e-13
"Psme2",1.83978754349622e-17,1.20393735941535,0.852,0.507,5.7130922588188e-13
"Gbp4",2.4968513612568e-17,1.12382759907327,0.654,0,7.75347253211075e-13
"Apobec3",4.65067631677737e-17,1.21690968949367,0.815,0.313,1.44417451664888e-12
"Ifi44",1.17679189065848e-16,1.00530988551601,0.636,0,3.65429185806178e-12
"Ifit1",1.48557488984894e-16,1.27569526364066,0.642,0.015,4.61315570544792e-12
