"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ly6a",0,3.33809122444217,0.973,0.598,0
"Cd74",0,2.96316769286198,0.957,0.185,0
"Isg15",0,2.61913852614339,0.944,0.128,0
"Psmb8",0,2.24897297393711,0.948,0.266,0
"Igtp",0,2.18694360390242,0.933,0.174,0
"Areg",0,2.14358549000423,0.925,0.531,0
"H2.Ab1",0,2.11756317002707,0.934,0.164,0
"Cxcl10",0,2.09844319745418,0.768,0.139,0
"Ly6c1",0,2.07337293120625,0.822,0.227,0
"Lypd8",0,2.03930657559596,0.987,0.977,0
"Psmb9",0,1.97008193411447,0.937,0.343,0
"H2.Aa",0,1.95166821840975,0.909,0.087,0
"Cxcl9",0,1.81445097981019,0.766,0.077,0
"B2m",0,1.73688341813123,0.991,0.984,0
"Iigp1",0,1.71568743790751,0.874,0.041,0
"Irf8",0,1.64539228725934,0.941,0.607,0
"H2.Eb1",0,1.60333723555768,0.89,0.064,0
"H2.D1",0,1.59952431813495,0.987,0.909,0
"Ifitm3",0,1.57589337613121,0.955,0.83,0
"Upp1",0,1.56638811946407,0.806,0.202,0
"Lgals9",0,1.5484704344095,0.966,0.858,0
"Bst2",0,1.52333559818959,0.925,0.491,0
"Irgm1",0,1.50485507589273,0.914,0.139,0
"Ido1",0,1.36924913704506,0.544,0.05,0
"H2.T23",0,1.35527677131407,0.916,0.272,0
"Tap1",0,1.31331442310409,0.899,0.125,0
"Ifi47",0,1.26789079952321,0.858,0.079,0
"Reg3g",0,1.26231714575537,0.731,0.23,0
"H2.K1",0,1.24504615582465,0.989,0.963,0
"Nfkbia",0,1.22064747833446,0.884,0.631,0
"H2.Q7",0,1.21255832120203,0.871,0.203,0
"Serping1",0,1.20608970576493,0.706,0.029,0
"Irf1",0,1.2036090051863,0.877,0.116,0
"Gbp2",0,1.14444027050041,0.743,0.028,0
"Plac8",0,1.10377822778602,0.989,0.992,0
"Oasl1",0,1.09579521530854,0.729,0.072,0
"Trim30a",0,1.09148981353694,0.81,0.027,0
"Reg3b",0,1.08225629482499,0.424,0.026,0
"Wars",0,1.07585826593925,0.89,0.375,0
"Psme1",0,1.04519326336757,0.947,0.76,0
"Irf7",0,1.03761288511662,0.806,0.073,0
"Duoxa2",0,1.03137291603517,0.594,0.04,0
"Psme2",0,1.00769085328456,0.929,0.721,0
"H2.DMb1",0,0.998974691006092,0.813,0.037,0
"Casp3",0,0.988024317991536,0.806,0.37,0
"Inf2",0,0.979080801450205,0.81,0.12,0
"H2.T22",0,0.97825972287239,0.85,0.254,0
"Psmb10",0,0.976311258132985,0.925,0.632,0
"Ubd",0,0.970375786423191,0.433,0.031,0
"Tapbp",0,0.957574669615666,0.865,0.233,0
"Usp18",0,0.919982245378087,0.713,0.033,0
"H2.DMa",0,0.906930206077502,0.807,0.127,0
"Slfn2",0,0.904865330662818,0.759,0.142,0
"Pycard",0,0.898961048036057,0.966,0.972,0
"Zbp1",0,0.885937769012414,0.728,0.023,0
"Stat1",0,0.876930155884544,0.765,0.108,0
"Socs1",0,0.875385806499849,0.708,0.037,0
"Ifi27l2a",0,0.866117519668542,0.443,0.05,0
"Hspa5",0,0.865384498106959,0.964,0.915,0
"Lap3",0,0.863812209179711,0.929,0.757,0
